titulo,subtitulo,texto,data,url,portal
Trump vira piada nas redes após pedir ajuda para abrir o Estreito de Ormuz,"Publicações viralizadas nas plataformas digitais ironizaram a situação, com usuários afirmando que o governo norte-americano estaria “implorando” por ajuda","247 - O presidente dos Estados Unidos, Donald Trump, tornou-se alvo de críticas e piadas nas redes sociais após pedir apoio de outros países para ajudar a garantir o controle e a segurança do Estreito de Ormuz, uma das rotas marítimas mais importantes do comércio global de petróleo. A repercussão ocorreu depois que vídeos e mensagens circularam na internet sugerindo que Washington estaria buscando auxílio internacional para manter a navegação na região em meio à escalada do conflito com o Irã.

Publicações viralizadas nas plataformas digitais ironizaram a situação, com usuários afirmando que o governo norte-americano estaria “implorando” por ajuda para lidar com a crise no estreito. Um vídeo divulgado por perfis ligados ao Irã também circulou amplamente nas redes, reforçando a narrativa de que os Estados Unidos estariam enfrentando dificuldades para consolidar apoio militar externo.

Nos bastidores diplomáticos, autoridades do governo americano intensificaram uma ofensiva para reunir aliados em torno de uma possível coalizão destinada a proteger o tráfego marítimo no estreito. No entanto, ainda há incerteza sobre quais governos aceitariam participar ou quando um anúncio oficial poderá ser feito.

A iniciativa de Trump enfrenta cautela inclusive entre aliados tradicionais de Washington. Autoridades de diversos países avaliam que enviar forças militares para a região poderia ampliar a tensão em um momento em que confrontos entre forças americanas, israelenses e iranianas ainda estão em andamento.",2026-03-16 11:33:39+00:00,https://www.brasil247.com/tanostrends/trump-vira-piada-nas-redes-apos-pedir-ajuda-para-abrir-o-estreito-de-ormuz,brasil247
"BNDES e Finep aprovam R$ 71,5 bilhões para inovação","Volume de crédito cresce 321% e impulsiona política industrial com foco em tecnologia, digitalização e competitividade no Brasil","247 - O Banco Nacional de Desenvolvimento Econômico e Social (BNDES) e a Financiadora de Estudos e Projetos (Finep) aprovaram R$ 71,5 bilhões em crédito voltado a projetos de inovação entre janeiro de 2023 e dezembro de 2025, dentro do programa Nova Indústria Brasil. O montante representa um crescimento de 321% em relação ao ciclo anterior, de 2019 a 2022, quando foram liberados R$ 17 bilhões, segundo a Folha de São Paulo.

Do total aprovado, R$ 35,9 bilhões foram contratados pela Finep e R$ 35,6 bilhões pelo BNDES, demonstrando equilíbrio na atuação das duas instituições no financiamento à inovação. O ritmo das aprovações também se intensificou ao longo do período: apenas entre janeiro e setembro de 2025, os desembolsos chegaram a R$ 14 bilhões, valor equivalente a todo o crédito aprovado em 2023.

Subvenções e estímulo a projetos de alto risco tecnológico

Além do crédito tradicional, a Finep atua com subvenções econômicas — recursos não reembolsáveis destinados a iniciativas com elevado risco tecnológico. No ciclo entre 2024 e 2025, a instituição, em parceria com o Ministério da Ciência, Tecnologia e Inovação, lançou 13 editais que somaram R$ 2,5 bilhões.

Esses investimentos viabilizaram cerca de 200 projetos, envolvendo aproximadamente 400 empresas, 2.800 pesquisadores e 140 instituições científicas e tecnológicas. Mais recentemente, uma nova rodada foi anunciada, com R$ 3,3 bilhões distribuídos também em 13 editais, ampliando o alcance das iniciativas de pesquisa e desenvolvimento.

Programa Nova Indústria Brasil mira competitividade

Lançado em 2024 pelo presidente Luiz Inácio Lula da Silva (PT), o programa Nova Indústria Brasil prevê R$ 300 bilhões em recursos administrados pelo BNDES, Finep e Embrapii (Empresa Brasileira de Pesquisa e Inovação Industrial). A estratégia está estruturada em seis áreas prioritárias: cadeias agroindustriais, saúde, infraestrutura, transformação digital, transição energética e defesa nacional.

A proposta central é fortalecer a ",2026-03-26 08:23:46+00:00,https://www.brasil247.com/industria/bndes-e-finep-aprovam-r-71-5-bilhoes-para-inovacao,brasil247
Xangai acelera aposta em indústrias do futuro e reforça ambiente de negócios de classe mundial,Conferência global de investimentos apresenta novas plataformas públicas e projetos industriais em sintonia com o novo plano de desenvolvimento da China,"247 – Xangai reforçou sua estratégia de se consolidar como um ambiente de negócios de classe mundial ao sediar, em 14 de março, a Conferência Global de Promoção de Investimentos de Xangai 2026, em um movimento alinhado ao novo plano quinquenal de desenvolvimento aprovado pela China na semana anterior. A iniciativa sinaliza estabilidade para investidores e fortalece a mensagem de que o país pretende avançar de forma decisiva nas indústrias emergentes e nas tecnologias do futuro.

Segundo reportagem publicada pelo Global Times, a conferência reuniu uma sessão principal de promoção, duas mesas-redondas empresariais, múltiplos encontros de negócios, eventos temáticos de investimento e uma série de atividades da semana “Invest in Shanghai”, em uma demonstração clara de que a metrópole chinesa quer aprofundar sua posição como polo estratégico para capital nacional e estrangeiro.

No centro dessa ofensiva está a tentativa de remover gargalos que ainda limitam o crescimento empresarial e a transformação tecnológica. Durante a conferência, Xangai apresentou 31 novos vetores de qualidade voltados precisamente para entraves no desenvolvimento das empresas. Entre as medidas anunciadas estão 11 plataformas de serviço público, incluindo uma destinada à coordenação de capacidade computacional, com o objetivo de enfrentar fatores críticos de produção e bloqueios nas cadeias industriais.

A cidade também destacou 10 plataformas de testes em escala piloto para enfrentar um dos maiores desafios da inovação global: a travessia do chamado “Vale da Morte”, estágio em que muitas tecnologias promissoras não conseguem sair do laboratório e alcançar viabilidade comercial. Entre essas iniciativas, está a primeira plataforma-piloto do mundo voltada a componentes de robôs humanoides.

A estratégia de Xangai não se limita à infraestrutura de apoio. Aproveitando sua condição de megacidade, o município apresentou ainda 10 cenários de aplicação considerados exemplares em áreas como inteligência art",2026-03-21 06:00:33+00:00,https://www.brasil247.com/globaltimes/xangai-acelera-aposta-em-industrias-do-futuro-e-reforca-ambiente-de-negocios-de-classe-mundial,brasil247
Lula sugere Alckmin senador e coloca em dúvida manutenção da chapa atual,"Presidente afirma que vaga de vice está aberta, mas defende que aliado pode fortalecer candidatura de Haddad ao governo de São Paulo","247 – O presidente Lula afirmou nesta quinta-feira (19) que a vaga de vice em sua eventual chapa à reeleição segue aberta para Geraldo Alckmin (PSB), mas indicou que o aliado pode ser mais útil ao projeto político disputando uma vaga no Senado por São Paulo. As declarações foram feitas durante o lançamento da pré-candidatura de Fernando Haddad ao governo paulista.

Segundo informações do jornal Estado de S. Paulo, Lula destacou que Alckmin continua sendo um nome de confiança, mas ponderou que sua presença na disputa ao Senado poderia fortalecer a chapa encabeçada por Haddad contra o atual governador, Tarcísio de Freitas (Republicanos).

— “Eu ficarei imensamente feliz em ter o Alckmin vice outra vez. É um companheiro que eu aprendi a gostar, de muita lealdade, com muita competência de trabalho, um executivo extraordinário, ele só me ajuda. Mas você tem que conversar com o Haddad para saber onde colheremos mais frutos dele. Se ser candidato ao Senado, sabe, ajuda mais” — afirmou o presidente.

Lula reforçou que a decisão final dependerá de uma avaliação estratégica dentro do grupo político, considerando as necessidades da disputa em São Paulo.

— “Se ele for meu vice, estou tranquilo, mas o Haddad precisa de uma chapa para ganhar. Eles não têm senador para disputar conosco, vão inventar nomes. Já tivemos dois senadores em São Paulo e podemos voltar a ter. Não sei se o Geraldo vai ser candidato ao Senado. A vaga de vice está aberta para ele” — completou.

Estratégia eleitoral em São Paulo

O posicionamento de Lula ocorre no momento em que o PT oficializou a pré-candidatura do ministro da Fazenda, Fernando Haddad, ao governo de São Paulo. O partido aposta na repetição da estratégia de 2022, quando Haddad chegou ao segundo turno, mas acabou derrotado por Tarcísio.

Durante o evento realizado no Sindicato dos Metalúrgicos do ABC, em São Bernardo do Campo, Lula destacou a importância de montar uma chapa competitiva no estado e afirmou ter incentivado Haddad a disputar nov",2026-03-20 05:24:59+00:00,https://www.brasil247.com/poder/lula-sugere-alckmin-senador-e-coloca-em-duvida-manutencao-da-chapa-atual,brasil247
"Turismo corporativo bate recorde e fatura R$ 13,7 bilhões no Brasil em 2025","Os dados foram divulgados pela Abracorp, entidade que acompanha o comportamento de 11 segmentos do mercado de turismo corporativo no País","247 - O turismo de negócios no Brasil alcançou, em 2025, o maior faturamento de sua história, com receitas estimadas em cerca de R$ 13,7 bilhões. O desempenho representa a superação do recorde registrado no ano anterior e confirma a força das viagens corporativas como um dos segmentos mais dinâmicos da cadeia turística nacional.

Os dados foram divulgados pela Associação Brasileira de Agências de Viagens Corporativas (Abracorp), entidade que acompanha o comportamento de 11 segmentos do mercado de turismo corporativo no país. Segundo o levantamento, o faturamento de 2025 superou o resultado de 2024, quando o setor havia movimentado aproximadamente R$ 13,6 bilhões.

Além do volume financeiro, o turismo de negócios segue exercendo papel relevante na geração de emprego e renda, impulsionando serviços ligados ao transporte, à hotelaria e a atividades complementares às viagens corporativas. Entre os segmentos analisados pela Abracorp, os serviços aéreos concentraram a maior fatia do faturamento total em 2025, respondendo por 57,51% da receita do mercado corporativo.

O transporte aéreo movimentou R$ 7,87 bilhões ao longo do ano, consolidando-se como o principal componente das viagens de negócios. Na sequência, o setor hoteleiro registrou faturamento de R$ 4,2 bilhões, equivalente a cerca de 31% do total arrecadado pelo mercado corporativo brasileiro.

Os serviços complementares às viagens de negócios também apresentaram desempenho relevante. Esse conjunto de atividades, que inclui produtos associados à logística e à experiência do viajante corporativo, somou R$ 893,35 milhões em 2025, o que corresponde a 6,53% do faturamento consolidado do setor.

Outros segmentos monitorados pela Abracorp tiveram crescimento expressivo na comparação com 2024. As operações de cruzeiros corporativos avançaram 44,97%, enquanto os serviços de transfer registraram alta de 25,36%. O transporte rodoviário também apresentou expansão significativa, com crescimento de 14,89%, e os demais serviços ",2026-01-28 22:42:53+00:00,https://www.brasil247.com/turismo/turismo-corporativo-bate-recorde-e-fatura-r-13-7-bilhoes-no-brasil-em-2025-0qit298y,brasil247
Mastercard sofre prejuízo bilionário após colapso do Banco Master,Empresa arcou com parte das transações não liquidadas da fintech Will e busca reembolso junto ao liquidante,"247 - A liquidação do Banco Master provocou um impacto financeiro bilionário para a Mastercard no Brasil, após a empresa assumir custos relacionados a transações realizadas por clientes da fintech Will Financeira, ligada ao banco. O prejuízo decorre da necessidade de garantir pagamentos a varejistas que processaram compras com cartões emitidos pela instituição antes de sua quebra.

As informações foram divulgadas pela Bloomberg, com base em fontes com conhecimento direto do caso. Segundo a reportagem, a Mastercard foi envolvida por atuar como bandeira dos cartões da Will Financeira e, diante da inadimplência gerada pelo colapso, precisou cobrir parte dos valores pendentes.

De acordo com as fontes, os clientes do Will Bank acumulavam até R$ 5 bilhões em compras não liquidadas quando o Banco Master entrou em colapso. A Mastercard teria assumido cerca de metade desse montante, correspondente às transações realizadas nos primeiros 30 dias após a liquidação da instituição.

Em comunicado, a empresa informou que já realizou os pagamentos exigidos pela regulamentação vigente, utilizando majoritariamente recursos próprios. Agora, aguarda o reembolso por parte do liquidante nomeado pelo Banco Central, responsável por administrar os ativos remanescentes do banco.

O episódio representa apenas uma fração dos efeitos da crise envolvendo o Banco Master, que colapsou em novembro sob acusações de fraude. O ex-presidente e acionista da instituição, Daniel Vorcaro, chegou a ser preso duas vezes e firmou acordo de colaboração com autoridades brasileiras.

Para mitigar parte das perdas, a Mastercard pode recorrer a garantias oferecidas anteriormente pela fintech, incluindo participações acionárias em empresas como o Banco de Brasília (BRB) e a varejista Westwing. Parte das ações do BRB já teria sido vendida, segundo uma das fontes, após a empresa receber 6,9% do capital do banco.

O Will Bank, adquirido pelo Banco Master em 2024, operava com foco em crédito para população de menor re",2026-03-23 20:13:43+00:00,https://www.brasil247.com/negocios/mastercard-sofre-prejuizo-bilionario-apos-colapso-do-banco-master,brasil247
Vergonha - 26 de março de 2026,,"Miguel Paiva é chargista e jornalista, criador de vários personagens e hoje faz parte do coletivo Jornalistas Pela Democracia

2795 artigos",2026-03-26 05:29:27+00:00,https://www.brasil247.com/charges/vergonha-26-de-marco-de-2026-laehlwq6,brasil247
Ibovespa recua com incertezas sobre o conflito no Oriente Médio,"Guerra impede acordo entre EUA e Irã, eleva petróleo a US$108 e derruba bolsa brasileira pelo fim de uma sequência de altas","Reuters - O sinal negativo prevaleceu na bolsa paulista nesta quinta-feira, com a aversão a risco global desencadeada por incertezas envolvendo um desfecho para o conflito no Oriente Médio voltando a derrubar o Ibovespa após três altas seguidas.

Índice de referência do mercado acionário brasileiro, o Ibovespa recuou 1,45%, a 182.732,67 pontos, chegando a 182.570,44 pontos na mínima e marcando 185.423,77 pontos na máxima do dia. O volume financeiro somou R$26,5 bilhões.

No exterior, o barril de petróleo sob o contrato Brent fechou em alta de 5,66%, a US$108,01, enquanto o S&P 500, uma das referências do mercado acionário norte-americano, recuou 1,74%.

O presidente dos EUA, Donald Trump, disse nesta quinta-feira que o Irã precisa chegar a um acordo para encerrar a guerra ou enfrentará uma ofensiva contínua, mas uma fonte iraniana afirmou à Reuters que a proposta dos EUA é ""unilateral e injusta"".

Na pauta brasileira, IPCA-15 de março mostrou alta de 0,44%, após avanço de 0,84% em fevereiro, segundo o IBGE, acima das previsões compiladas pela Reuters, que apontavam acréscimo de 0,29%. Em 12 meses, o índice subiu 3,90%.

De acordo com economistas do Bradesco, a surpresa no IPCA-15 foi concentrada basicamente em passagens aéreas e, em menor magnitude, alimentos no domicílio, esperando um resultado para o mês ainda mais elevado.

Eles destacaram que, com a atual conjuntura, com aumentos dos custos de combustíveis e fertilizantes, será mais difícil uma devolução da alta desses grupos no curto prazo.

""A geopolítica segue como maior risco para nosso cenário de inflação neste ano.""

Para estrategistas do Safra, embora o mercado ainda esteja hesitante quanto a como as tensões geopolíticas podem afetar a inflação, ainda há espaço para cortes de juros no Brasil.

""Assim, o ambiente volátil pode ser visto como uma oportunidade para buscar alternativas no mercado de ações"", afirmaram em relatório a clientes, elevando a previsão para o Ibovespa no final do ano para 220 mil pont",2026-03-26 18:14:05+00:00,https://www.brasil247.com/economia/ibovespa-recua-com-incertezas-sobre-o-conflito-no-oriente-medio,brasil247
Fim de semana será marcado por fortes chuvas e queda nas temperaturas em regiões do Brasil,Instabilidade causada por área de baixa pressão mantém risco de temporais e acumulados elevados em várias regiões do país,"247 - A previsão do tempo para esta quinta-feira (12) indica um cenário de instabilidade em diversas regiões do Brasil, com destaque para o Sul e o Sudeste, onde a presença de uma área de baixa pressão próxima ao litoral e o transporte de umidade do oceano favorecem a formação de nuvens carregadas. O fenômeno deve provocar chuva frequente, temperaturas mais amenas e possibilidade de temporais em vários estados. As informações são do portal g1, em reportagem do jornalista Roberto Peixoto.

No Sudeste, o dia começa com muitas nuvens e chuva em diferentes momentos, principalmente no estado de São Paulo. Na capital paulista, o céu permanece encoberto durante boa parte do dia, com pancadas de chuva que podem ser intensas em alguns períodos e vir acompanhadas de trovoadas. A grande quantidade de nuvens impede a elevação significativa das temperaturas, e a máxima deve ficar em torno de 24 °C, deixando a tarde mais fresca do que o habitual para o mês de março.

O litoral paulista concentra um dos maiores riscos de acumulados elevados. Municípios como Santos, Bertioga, Ilhabela, Caraguatatuba e Ubatuba podem registrar volumes superiores a 120 milímetros de chuva. Esse cenário aumenta o risco de alagamentos, inundações e deslizamentos de terra, principalmente em áreas de encosta.

No Rio de Janeiro, o tempo também deve permanecer fechado durante grande parte do dia. A previsão indica pancadas de chuva em vários momentos, com possibilidade de temporais isolados. A temperatura máxima na capital fluminense deve alcançar cerca de 25 °C.Na região serrana do estado, o volume de chuva pode ultrapassar 100 milímetros, o que eleva o risco de deslizamentos em áreas de morro. Já na cidade do Rio de Janeiro, os acumulados podem chegar a aproximadamente 60 milímetros ao longo do dia.

Em Belo Horizonte, o tempo apresenta variação entre momentos de sol e aumento de nuvens. As pancadas de chuva tendem a se intensificar principalmente no período da tarde, quando podem ocorrer episódios moder",2026-03-12 08:18:01+00:00,https://www.brasil247.com/meioambiente/fim-de-semana-sera-marcado-por-fortes-chuvas-e-queda-nas-temperaturas-em-regioes-do-brasil,brasil247
"Latam encomenda 24 jatos Embraer e Lula celebra ""parceria fantástica"" para ampliar voos e empregos no Brasil","Anúncio reforça investimentos de US$ 4 bilhões da companhia no país e projeta expansão da conectividade aérea, da indústria nacional e da geração de renda","247 – O presidente Luiz Inácio Lula da Silva celebrou nesta quarta-feira, 25 de março, o anúncio da compra de 24 aeronaves Embraer modelo E195-E2 pela Latam Brasil, em uma agenda realizada no Latam MRO, em São Carlos, interior de São Paulo. A aquisição foi apresentada como um marco para a aviação nacional, para a indústria brasileira e para a ampliação da malha aérea do país.

Segundo informações da Agência Gov, divulgadas após a visita presidencial ao maior centro de manutenção aeronáutica da companhia, o anúncio ocorreu durante a celebração dos 25 anos do complexo tecnológico e operacional da Latam, considerado o maior centro de manutenção do grupo e uma referência estratégica para o setor aéreo brasileiro.

Ao comentar a operação entre Latam e Embraer, Lula definiu o acordo como uma iniciativa de grande alcance econômico e logístico para o país. “Essa parceria é fantástica, porque os companheiros da Latam vão ter que criar novos mercados, vão ter que desenvolver novas cidades, e a gente vai ter que ter mais voos. Eu tenho certeza de que vamos nos encontrar daqui a 10 anos. Como vou viver até os 120 anos, não penso que vou partir tão cedo. Vou ficar muito tempo por aqui. E vamos ver que essa parceria da LATAM com a Embraer será um sucesso. Será um sucesso para as empresas, para o Brasil e para os continentes que o país precisa agregar”, destacou o presidente.

A fala de Lula buscou situar a compra das aeronaves para além de uma simples transação comercial. O presidente vinculou o investimento à necessidade de expandir mercados, integrar cidades e ampliar a presença brasileira em rotas nacionais e internacionais. Em sua avaliação, o fortalecimento da parceria entre a empresa aérea e a fabricante nacional tende a produzir efeitos positivos em cadeia sobre emprego, produção industrial, mobilidade e turismo.

Lula também ressaltou o impacto econômico do ciclo de expansão da aviação no país. “O Brasil e a empresa vão ganhar dinheiro. Vocês vão ter mais passageiros, vão",2026-03-26 04:14:00+00:00,https://www.brasil247.com/economia/latam-encomenda-24-jatos-embraer-e-lula-celebra-parceria-fantastica-para-ampliar-voos-e-empregos-no-brasil,brasil247
