titulo,subtitulo,texto,data,url,portal
Caso Epstein: Arquivos citam grupo de mulheres brasileiras,"Notícia, esporte, entretenimento e vídeos com credibilidade",,2025-12-24 10:43:56-03:00,https://jovempan.com.br/videos/programas/jornal-da-manha/caso-epstein-arquivos-citam-grupo-de-mulheres-brasileiras.html,jovem_pan
Zambelli pode desistir de recurso na Itália e aceitar extradição ao Brasil,"No último dia 26, a defesa da ex-deputada federal havia informado à Jovem Pan que recorreria a decisão","No último dia 26, a defesa da ex-deputada federal havia informado à Jovem Pan que recorreria a decisão

Nino Cirenza/ATO Press/Estadão Conteúdo Ex-deputada federal, Carla Zambelli



A ex-deputada federal Carla Zambelli pode desistir de entrar com recurso na Itália e aceitar a extradição ao Brasil diante de um cenário jurídico cada vez mais desfavorável. A informação é da Marcia Dantas, apresentadora da Jovem Pan.

O marido de Zambelli, o coronel Antônio Aginaldo de Oliveira, teria alertado à ex-parlamentar que insistir no processo apenas seria mais tempo de prisão e aumento dos custos, sem mudança no desfecho.

No momento, o processo depende apenas da assinatura do ministro da Justiça da Itália, Carlo Nordio, responsável por validar a extradição.

No último dia 26, a Justiça da Itália determinou a extradição da ex-deputada federal. A defesa havia informado à Jovem Pan que recorreria a decisão. Agora, essa medida é vista como de baixo potencial de reversão.

Condenação de Zambelli

Zambelli foi condenada pelo STF a 10 anos de prisão pela invasão ao sistema eletrônico do Conselho Nacional de Justiça (CNJ), ocorrida em 2023. De acordo com as investigações, ela foi a autora intelectual da invasão para emissão de um mandato falso de prisão contra Alexandre de Moraes. O hackeamento foi executado por Walter Delgatti, que também foi condenado e confirmou ter realizado o trabalho a mando da parlamentar.

Após a fuga para a Itália, o governo brasileiro solicitou a extradição da deputada para o Brasil.

Procurado pela Jovem Pan, o Ministério das Relações Exteriores afirmou que a embaixada brasileira em Roma foi informada da decisão e ressaltou que ainda cabe recurso antes de uma decisão final do governo italiano. O STF ainda não se manifestou.",2026-03-31 19:12:21-03:00,https://jovempan.com.br/noticias/politica/zambelli-pode-desistir-de-recurso-na-italia-e-aceitar-extradicao-ao-brasil.html,jovem_pan
Linfoma de Hodgkin: entenda a doença que vitimou a ginasta Isabelle Marciniak,Câncer que afeta o sistema linfático é mais comum em jovens adultos e tem altos índices de cura quando diagnosticado precocemente,"Câncer que afeta o sistema linfático é mais comum em jovens adultos e tem altos índices de cura quando diagnosticado precocemente

Divulgação Ginasta Isabelle Mariciniak morreu nesta quarta-feira (24), vítima de um câncer chamado Linfome de Hodgkin



A morte da ginasta brasileira Isabelle Marciniak, de 18 anos, confirmada na quarta-feira (24), trouxe à tona o debate sobre o linfoma de Hodgkin. A atleta, que foi campeã brasileira e paranaense, tratava a doença, mas não resistiu. O caso chama a atenção para um tipo de câncer que, embora menos frequente que outros linfomas, possui uma incidência significativa justamente na faixa etária de adultos jovens, entre 15 e 30 anos.

O que é a doença

O linfoma de Hodgkin é um tipo de câncer que se origina no sistema linfático, uma rede complexa de órgãos (como linfonodos ou ínguas) e tecidos responsáveis pela defesa do organismo e produção de células imunes. A doença ocorre quando um linfócito (célula de defesa) se transforma em uma célula maligna — conhecida como célula de Reed-Sternberg — e passa a se multiplicar de forma descontrolada, podendo se disseminar para outras partes do corpo através dos vasos linfáticos.

Sintomas e sinais de alerta

Diferente de infecções comuns que causam inchaço nos gânglios, o principal sinal do linfoma de Hodgkin é o aumento indolor dos linfonodos, frequentemente percebido no pescoço, axilas ou virilha. Outros sintomas sistêmicos, conhecidos como “sintomas B”, podem incluir:

– Febre persistente sem infecção aparente;

– Suores noturnos intensos;

– Perda de peso inexplicada (superior a 10% do peso corporal);

– Coceira na pele e fadiga extrema;

Diagnóstico e tratamento

O diagnóstico definitivo é realizado por meio de biópsia, na qual um fragmento do gânglio alterado é removido e analisado em laboratório. Exames de imagem, como tomografia computadorizada e PET-Scan, são utilizados para determinar o estágio da doença (estadiamento).

O tratamento padrão envolve a poliquimioterapia (uso de m",2025-12-25 12:52:27-03:00,https://jovempan.com.br/saude/linfoma-de-hodgkin-entenda-a-doenca-que-vitimou-a-ginasta-isabelle-marciniak.html,jovem_pan
Governo entrega ao Senado indicação de Messias ao STF,O advogado-geral da União ocupará vaga deixada por Luís Roberto Barroso,"O advogado-geral da União ocupará vaga deixada por Luís Roberto Barroso

Renato Menezes/AscomAGU Em fevereiro, a Jovem Pan noticiou que a indicação do advogado-geral da União seria aprovada com tranquilidade após o Carnaval



O governo Lula (PT), por meio da Secretaria Especial de Assuntos Jurídicos da Casa Civil da Presidência, anunciou, na tarde desta quarta-feira (1), a indicação de Jorge Messias ao Supremo Tribunal Federal (STF) ao Senado. A informação foi confirmada pela Casa.

O atual advogado-geral da União ocupará vaga deixada por Luís Roberto Barroso no STF.

Após meses de espera, Lula e o presidente do Senado, Davi Alcolumbre (União-AP), chegaram a um acordo para aprovação da indicação. A Jovem Pan apurou que a sabatina deve ocorrer nos próximos dias. Primeiro, a indicação é votada na Comissão de Constituição e Justiça (CCJ). Depois, é levada a plenário.

Ainda não há um nome definido para substituir Messias na AGU. A ideia do Governo Federal é resolver cada etapa por vez.

Em fevereiro, a Jovem Pan noticiou que a indicação do advogado-geral da União seria aprovada com tranquilidade após o Carnaval, inclusive com apoio de bolsonaristas.

Em dezembro do ano passado, o presidente do Senado, Davi Alcolumbre (União-AP), decidiu adiar a sabatina do advogado-geral da União. Oficialmente, o senador afirmou que o governo não havia enviado a mensagem de indicação, mas o adiamento ocorreu em meio à preferência de Alcolumbre pelo nome do senador Rodrigo Pacheco (PSD-MG) para a vaga no STF.

“Humildade”

Messias afirmou nesta terça-feira (31), que dará continuidade à sua jornada no Senado “com humildade e fé” e que buscará o diálogo com todos os senadores neste momento em que busca apoio pela sua indicação como ministro do STF.

O AGU ainda disse que preza pela paz e visa a melhor maneira de solucionar as divergências. “Continuarei meu empenho pela pacificação e estabilidade. Como profissional do direito, sempre valorizei o diálogo e a conciliação como as melhores ma",2026-04-01 14:36:53-03:00,https://jovempan.com.br/noticias/politica/governo-entrega-ao-senado-indicacao-de-messias-ao-stf.html,jovem_pan
"Esportes, Meio Ambiente e Casa Civil: veja quem são os novos ministros de Lula","Presidente realizou nesta terça-feira (31) uma reunião ministerial, onde confirmou Alckmin como pré-candidato a vice na chapa do petista","Presidente realizou nesta terça-feira (31) uma reunião ministerial, onde confirmou Alckmin como pré-candidato a vice na chapa do petista

Fabio Rodrigues / Agência Brasil Presidente Lula (PT) durante reunião ministerial desta terça-feira (31)



O presidente Lula (PT) realizou nesta terça-feira (31) uma reunião ministerial, onde confirmou que Geraldo Alckmin seguirá como pré-candidato a vice na chapa dele, nas eleições deste ano. O evento aconteceu em meio a saídas de ministros que desejam concorrer a algum outro cargo na corrida eleitoral de 2026. O prazo para a descompatibilização vai até 4 de abril para renunciar aos atuais mandatos, segundo o Tribunal Superior Eleitoral (TSE).

A última saída confirmada pelo governo foi a de Camilo Santana, do Ministério da Educação (MEC). Na segunda-feira (31), Lula anunciou que Leonardo Barchini, secretário-executivo do MEC, assumirá a pasta.

A Jovem Pan apresenta abaixo todos os novos ministros do governo Lula. Veja:

Ministério dos Transportes

Quem assume o Ministério dos Transportes é George Santoro, secretário-executivo da pasta. Advogado, ele possui trajetória na gestão pública — incluindo oito anos à frente da Secretaria da Fazenda de Alagoas e passagens pelo Tribunal de Contas do Rio de Janeiro —. Santoro também é professor, mestre em contabilidade e administração pela Fucape Business School, com especializações em economia empresarial pela Universidade Candido Mendes; em administração pública pela Fundação Getúlio Vargas; e em direito, trabalho e previdência pela Universidade Candido Mendes.

Ministério de Portos e Aeroportos

Tomé Barros Monteiro da Franca, que atuava como secretário-executivo da pasta, é o novo ministro de Portos e Aeroportos. Ele consolidou sua carreira na administração pública ocupando cargos como secretário nacional de Aviação Civil, secretário de Desenvolvimento Urbano e Habitação de Pernambuco e secretário de Saneamento do Recife. Com passagens pelo Legislativo, como assessor no Senado e na Câ",2026-03-31 14:38:56-03:00,https://jovempan.com.br/noticias/politica/esportes-meio-ambiente-e-casa-civil-veja-quem-sao-os-novos-ministros-de-lula.html,jovem_pan
Jantar leve e saudável: 3 receitas com proteínas vegetais para o dia a dia,Aprenda a preparar pratos nutritivos para incluir no cardápio,"Aprenda a preparar pratos nutritivos para incluir no cardápio

Cozido de grão-de-bico Imagem: BBA Photography | Shutterstock

Garantir a ingestão adequada de proteínas é essencial para o bom funcionamento do organismo, e as versões de origem vegetal surgem como alternativas completas e funcionais. Elas contribuem para a manutenção da massa magra, ajudam no controle do apetite e ainda oferecem compostos antioxidantes que beneficiam a saúde.

Diante disso, explorar preparações com proteínas vegetais é uma maneira prática de renovar suas refeições e incluir mais nutrientes no dia a dia. Abaixo, confira três receitas para um jantar leve e saudável!

1. Cozido de grão-de-bico

Ingredientes

1 xícara de chá de grão-de-bico cozido

1 cenoura cortada em pedaços médios

1/2 xícara de chá de tomate pelado picado

pelado picado 1/2 xícara de chá de cebola picada

2 dentes de alho picados

2 colheres de sopa de azeite de oliva

1/2 colher de chá de sal

1/2 colher de chá de pimenta-do-reino moída

1/2 colher de chá de páprica doce

1/2 colher de chá de cominho em pó

1/2 colher de chá de cúrcuma

1/2 xícara de chá de água

2 colheres de sopa de salsinha picada

Modo de preparo

Em uma panela média, aqueça o azeite de oliva em fogo médio e refogue a cebola até ficar macia e levemente dourada. Acrescente o alho e mexa por alguns segundos até liberar aroma. Adicione o tomate pelado e cozinhe até formar um molho mais encorpado. Em seguida, coloque a cenoura, misture bem e deixe refogar por alguns minutos para começar a amolecer.

Acrescente o grão-de-bico cozido, tempere com sal, pimenta-do-reino, páprica doce, cominho em pó e cúrcuma. Misture bem e adicione a água. Deixe cozinhar em fogo médio por cerca de 10 a 15 minutos, até que a cenoura esteja macia e o molho levemente reduzido. Finalize com a salsinha e sirva ainda quente.

Sopa de lentilha com legumes Imagem: New Africa | Shutterstock

2. Sopa de lentilha com legumes

Ingredientes

1 xícara de chá de lentilha

2 xícaras de c",2026-03-31 18:00:00-03:00,https://jovempan.com.br/edicase/jantar-leve-e-saudavel-3-receitas-com-proteinas-vegetais-para-o-dia-a-dia.html,jovem_pan
3 EM 1 – 01/04/26,"Notícia, esporte, entretenimento e vídeos com credibilidade",,2026-04-01 16:00:11-03:00,https://jovempan.com.br/videos/programas/3-em-1/3-em-1-01-04-26.html,jovem_pan
Almoço saudável: 5 receitas leves com peixe para a semana santa,Confira opções simples e saborosas para agradar e surpreender toda a família,"Confira opções simples e saborosas para agradar e surpreender toda a família

Salmão assado com ervas e limão Imagem: odetteungureanu | Shutterstock

Durante a Semana Santa, muitas pessoas buscam por alternativas mais leves e equilibradas para as refeições, mas sem abrir mão do sabor. É nesse contexto que as receitas com peixe ganham destaque, trazendo praticidade e variedade para o cardápio. Além de nutritivos, esses alimentos são versáteis e combinam com diferentes preparos, desde opções assadas até grelhadas e ensopadas. Outro ponto positivo é que essas receitas costumam ser rápidas, ideais para quem quer otimizar o tempo na cozinha.

A seguir, confira 5 receitas leves com peixe para a semana santa!

1. Salmão assado com ervas e limão

Ingredientes

4 filés de salmão

3 dentes de alho picados

2 colheres de sopa de azeite de oliva

Suco de 1 limão

Rodelas de limão, ramos de alecrim fresco, sal, pimenta-do-reino moída e tomilho a gosto

Modo de preparo

Forre uma assadeira com papel-manteiga ou alumínio e disponha os filés de salmão. Tempere os filés com sal, pimenta-do-reino, alho e as ervas. Regue com o azeite e o suco de limão, espalhando bem sobre o peixe. Coloque as rodelas de limão por cima e ao redor do salmão. Leve ao forno preaquecido a 180 °C por cerca de 15 a 25 minutos, dependendo da espessura dos filés, até que o peixe esteja macio e levemente dourado. Retire do forno e sirva em seguida.

2. Tilápia assada com legumes

Ingredientes

4 filés de tilápia

1 cenoura cortada em rodelas finas

1 abobrinha cortada em rodelas

1/2 pimentão cortado em tiras

1 tomate cortado em rodelas

Suco de 1 limão

2 colheres de sopa de azeite

Sal, ervas secas e pimenta-do-reino moída a gosto

Modo de preparo

Em um recipiente, tempere os filés de tilápia com o suco de limão, sal, pimenta-do-reino e ervas secas. Deixe descansar por cerca de 10 minutos para que o peixe absorva bem os sabores. Enquanto isso, organize os legumes em uma assadeira, formando uma camada unifor",2026-03-31 12:30:00-03:00,https://jovempan.com.br/edicase/almoco-saudavel-5-receitas-leves-com-peixe-para-a-semana-santa.html,jovem_pan
"Jovem Pan lança ‘Miragem Podcast’, novo programa sobre tecnologia, consciência e os futuros possíveis da humanidade","Estreia acontece na sexta-feira, 15 de agosto, no YouTube, e no sábado, 16 de agosto, às 23h30, na TV, com apresentação de Fernando Gabas, Tuta Neto…","Estreia acontece na sexta-feira, 15 de agosto, no YouTube, e no sábado, 16 de agosto, às 23h30, na TV, com apresentação de Fernando Gabas, Tuta Neto e Samy Dana

Jovem Pan Ao lado de Gabas, participam Tuta Neto, diretor de novos negócios do Grupo Jovem Pan e CEO da Sampi, e Samy Dana, comentarista do Pânico



A Jovem Pan anuncia a estreia do Miragem Podcast, novo programa semanal que estreia na sexta-feira, 15 de agosto, no canal JP News no YouTube, e no sábado, 16 de agosto, às 23h30, na Jovem Pan News na TV, além das redes sociais oficiais da emissora. Apresentado por Fernando Gabas, empreendedor e educador com atuação internacional, o podcast propõe reflexões profundas sobre os impactos da tecnologia no presente e nos caminhos que a humanidade pode trilhar nas próximas décadas. Gabas é fundador e CEO da Academia Soul, referência nacional em inovação educacional baseada em inteligência artificial e desenvolvimento socioemocional, além de sócio-fundador da FreshCodes, empresa da área de tecnologia que desenvolve soluções baseadas em IA para negócios.

Ao lado de Gabas, participam Tuta Neto, diretor de novos negócios do Grupo Jovem Pan e CEO da Sampi, e Samy Dana, economista, professor da FGV e comentarista do programa Pânico, fundador da Sampi e sócio da FreshCodes. A cada episódio, o programa contará com convidados especiais para discutir temas que conectam ciência, cultura, inovação, ética e consciência humana, com o objetivo de analisar como essas dimensões influenciam o futuro da sociedade.

Siga o canal da Jovem Pan News e receba as principais notícias no seu WhatsApp! WhatsApp

Sobre a Jovem Pan

Com 83 anos no setor de comunicação, o Grupo Jovem Pan está focado na produção de conteúdo utilizando a tecnologia na distribuição de informação, entretenimento e esportes. O jornalismo Jovem Pan é reconhecido por estar presente na cobertura dos principais fatos do Brasil e do mundo. Historicamente, a Jovem Pan sempre defende a Liberdade de Imprensa, a Liberdade de ",2025-08-11 18:36:30-03:00,https://jovempan.com.br/jpnews/jovem-pan-lanca-miragem-podcast-novo-programa-sobre-tecnologia-consciencia-e-os-futuros-possiveis-da-humanidade.html,jovem_pan
Seo Tuta e Jovem Pan: familiares e colaboradores detalham perfil ímpar do comunicador,"Notícia, esporte, entretenimento e vídeos com credibilidade",,2025-12-08 11:59:08-03:00,https://jovempan.com.br/videos/programas/documento-jovem-pan/seo-tuta-e-jovem-pan-familiares-e-colaboradores-detalham-perfil-impar-do-comunicador.html,jovem_pan
