titulo,subtitulo,texto,data,url,portal
Governo sanciona lei que amplia licença-paternidade para 20 dias e cria salário-paternidade,,,Data Indisponível,https://canalgov.ebc.com.br/programas/brasil-em-dia/260401102449_bd-01-04-26-04-vt-ampliacao-licenca-paternidade,agencia_brasil
Antiga casa de Maradona é transformada em refeitório na Argentina,"No último mês, o quintal da humilde residência vem sendo utilizado por um grupo de voluntários, que cozinham para os vizinhos. A Argentina declarou a casa como local histórico nacional em 2021, um ano após a morte do jogador.","Toda semana, centenas de pessoas fazem fila para encher um contêiner de plástico com alimentos em um lugar improvável: a humilde casa onde nasceu a lenda do futebol argentino Diego Armando Maradona.

A casa em Villa Fiorito, um bairro pobre nos arredores de Buenos Aires, não pertence mais à família de Maradona, que morreu em 2020 após um ataque cardíaco, mas no último mês, seu atual proprietário emprestou seu quintal de terra para um grupo de voluntários que cozinha para os vizinhos.

Na última quinta-feira (26), Maria Torres preparou um ensopado em duas panelas grandes, enquanto vários outros descascavam batatas e cortavam pedaços de frango. Um mural pintado na fachada da casa mostra o jogador de futebol ao lado das palavras ""A casa de Deus.""

A pobreza tem apresentado uma tendência de queda na Argentina, com as estatísticas oficiais mostrando que ela caiu para 31,6% no primeiro semestre de 2025, ante 52,9% no primeiro semestre de 2024, quando o presidente Javier Milei desvalorizou drasticamente o peso e a inflação disparou. Os números referentes ao segundo semestre de 2025 serão publicados na terça-feira (31).

Embora tenha havido uma ""queda muito importante"" na pobreza, a Argentina precisa ver mais crescimento do PIB em setores de mão de obra intensiva, como a mineração, em oposição aos setores de capital intensivo, como a agricultura, disse Eduardo Donza, sociólogo da Universidade Católica da Argentina.

A queda na taxa de pobreza foi acompanhada por uma queda substancial na inflação mensal, de dois dígitos quando Milei assumiu o cargo para 2,9% em fevereiro.

No entanto, as medidas de austeridade de Milei reduziram drasticamente a força de trabalho do setor público e muitos dizem que perderam o poder de compra, enquanto o governo cortou os subsídios ao transporte e à energia.

Leonardo Fabian Alvarez, um pastor que administra o refeitório improvisado, disse que viu a demanda por alimentos em Villa Fiorito e em outros bairros crescer com o fechamento de pequenas",2026-03-01 00:00:00,https://agenciabrasil.ebc.com.br/esportes/noticia/2026-03/antiga-casa-de-maradona-e-transformada-em-refeitorio-na-argentina,agencia_brasil
01.04.2026 (Fortaleza - CE) Presidente Lula participa da cerimônia que celebra os 2 anos do Programa Pé-de-Meia. 04,,© Todos os direitos reservados pela EBC,Data Indisponível,https://agenciagov.ebc.com.br/distribuicao/agenda-do-presidente/260401123305_ce-campus-ita-pe-meia-selado-3,agencia_brasil
Rádio,,"Universidade do Estado do Rio Grande do Norte - UERN

Caso note alguma inconsistência nos dados, contate a RNCP através dos emails tvbrasil.rncp@ebc.com.br (TV) ou rncp.radios@ebc.com.br (Rádios).",Data Indisponível,https://rncp.ebc.com.br/emissoras/radio?afiliada=Universidade do Estado do Rio Grande do Norte - UERN,agencia_brasil
"Sem Censura, da TV Brasil, fecha temporada de programas ao vivo com Claudia Raia, Jarbas Homem de Mello e Alice Wegmann",Roda de conversa vespertina da emissora pública ainda traz um papo com o psiquiatra Higor Caldato,"Programação Sem Censura, da TV Brasil, fecha temporada de programas ao vivo com Claudia Raia, Jarbas Homem de Mello e Alice Wegmann Roda de conversa vespertina da emissora pública ainda traz um papo com o psiquiatra Higor Caldato

01/04/2026 | 11:30 compartilhar notícia

Fernando Frazão / Agência Brasil

No último programa ao vivo da atual temporada do Sem Censura, nesta quinta (2), às 16h, a apresentadora Cissa Guimarães recebe o casal formado por Claudia Raia e Jarbas Homem de Mello, a atriz Alice Wegmann e o psiquiatra Higor Caldato para um papo na tradicional bancada da TV Brasil. A debatedora é a jornalista Katy Navarro.

A produção ainda tem um especial inédito com o grupo Farofa Carioca nesta sexta (3), no mesmo horário, antes de um período que traz a reapresentação das melhores conversas do ano. A roda de conversa destaca participações especiais e encontros marcantes. As entrevistas do Sem Censura retornam à programação com as atrações inéditas em maio.

No ar de segunda a sexta, às 16h, o Sem Censura pode ser acompanhado pelo app TV Brasil Play e no YouTube da emissora. O conteúdo ainda fica disponível em formato de podcast no Spotify. A produção tem horário alternativo mais tarde no mesmo dia, às 23h30.

Temas do último bate-papo ao vivo

Para a produção que marca o término das edições ao vivo, Cissa Guimarães entrevista a atriz Claudia Raia, que abriu a temporada de 2024 do programa, e o ator e diretor Jarbas Homem de Mello, marido da diva. O casal entra em cartaz com uma curta temporada do espetáculo ""Cenas da Menopausa"" no Teatro João Caetano, no Rio de Janeiro. Depois, eles viajam o Brasil com a turnê da montagem.

Na roda de conversa, a atriz aborda o enredo da peça e discute assuntos relacionados à saúde mental feminina. Ela fala sobre as fases da menopausa e abre o coração para comentar sua experiência. Também destaca a longevidade e analisa como mulheres que vivem mais precisam se reinventar para continuar no mercado de trabalho ou empreender.

Ali",Data Indisponível,https://www.ebc.com.br/imprensa/2026/sem-censura-da-tv-brasil-fecha-temporada-de-programas-ao-vivo-com-claudia-raia-jarbas-homem-de-mello-e-alice-wegmann,agencia_brasil
Boletim Gov Notícias - resumo de notícias da tarde deste 20 de novembro de 2025,,,Data Indisponível,https://canalgov.ebc.com.br/programas/gov-informa/251120191605_boletim-gov-noticias-15h40,agencia_brasil
Rádio,,"Instituto Federal de São Paulo - IFSP

Caso note alguma inconsistência nos dados, contate a RNCP através dos emails tvbrasil.rncp@ebc.com.br (TV) ou rncp.radios@ebc.com.br (Rádios).",Data Indisponível,https://rncp.ebc.com.br/emissoras/radio?afiliada=Instituto Federal de São Paulo - IFSP,agencia_brasil
Rádio,,"Caso note alguma inconsistência nos dados, contate a RNCP através dos emails tvbrasil.rncp@ebc.com.br (TV) ou rncp.radios@ebc.com.br (Rádios).",Data Indisponível,https://rncp.ebc.com.br/emissoras/radio?afiliada=Rádio Encontro das Águas,agencia_brasil
França assume liderança do ranking da Fifa; Brasil cai para 6ª posição,"Equipe Les Blues ultrapassou Espanha e Argentina após cravar vitórias sobre Brasil e Colômbia nos últimos amistosos. Seleção brasileira, que ganhou apenas da Croácia (3 a 1), foi ultrapassada por Portugal.  A Inglaterra manteve a quarta posição.","A 71 dias para a abertura da Copa do Mundo, a França chegou ao topo do ranking da Fifa pela primeira vez desde 2018 e o Brasil caiu para a sexta posição. A atualização da lista ocorreu nesta quarta-feira (1º), após o término da Data Fifa. Os Les Blues (Os Azuis, apelido da seleção francesa) ultrapassaram Espanha e Argentina, após as vitórias sobre Brasil (2 a 1) e Colômbia (3 a 1) nos últimos amistosos.

Já a Amarelinha perdeu a quinta posição para Portugal, que ganhou dos Estados Unidos (2 a 0) e empatou com o México (0 a 0), enquanto o Brasil somou um único triunfo, sobre a Croácia. (3 a 1). A Inglaterra manteve a quarta posição – empatou com o Uruguai (1 a 1) e perdeu para o Japão (1 a 0).

>> Siga o canal da Agência Brasil no WhatsApp

A Espanha liderava a lista, mas caiu para a segunda posição após vitória sobre a Sérvia (3 a 0) e empate com o Egito (0 a 0). A atual campeã Argentina foi para o terceiro lugar ao somar dois triunfos: contra a Mauritânia (2 a 1) e Zâmbia (5 a 0).

Embora sirva de referência, o ranking da Fifa não antecipa o desempenho das seleções no Mundial. Na última edição da Copa, no Catar (2022), o Brasil era o número 1 do ranking e a Argentina, então terceira colocada, faturou o título. Na Copa da Rússia (2018), a Alemanha chegou como líder e a campeã foi a França, então sétima colocada na lista da Fifa.",2026-04-01 00:00:00,https://agenciabrasil.ebc.com.br/esportes/noticia/2026-04/franca-assume-lideranca-do-ranking-da-fifa-brasil-cai-para-6a-posicao,agencia_brasil
Anvisa lança canal oficial no WhatsApp,Novo meio de comunicação da Agência é ferramenta de combate à desinformação e vai aproximar a Vigilância Sanitária da população.,"A Anvisa, Agência Nacional de Vigilância Sanitária, lançou, nesta quarta-feira, dia 1º, um canal oficial no WhatsApp. Vão ser divulgados conteúdos em linguagem simples, como notícias, alertas, enquetes e até figurinhas sobre temas que impactam o dia a dia dos brasileiros.

O canal funciona como uma lista de transmissão: apenas a Anvisa envia as mensagens, que podem ser compartilhadas pelos usuários. A iniciativa também ajuda a identificar conteúdos oficiais da Agência, o que contribui para evitar a circulação de notícias falsas em grupos e conversas.

Segundo a Anvisa, o canal é público, gratuito e garante a privacidade de quem se inscreve. Para acompanhar, basta acessar o canal oficial da Agência no WhatsApp e ativar as notificações. Consulte mais informações em gov.br/anvisa.

Da Agência Rádio Gov, em Brasília, Lucilly Araújo",Data Indisponível,https://radiogov.ebc.com.br/programas/e-noticia/anvisa-lanca-canal-oficial-no-whatsapp,agencia_brasil
