titulo,subtitulo,texto,data,url,portal
Golpe de IA: Músico confessa fraude no streaming de R$ 40 milhões,Músico confessa fraude no streaming de R$ 40 milhões. Ele usou bots e Inteligência Artificial para roubar royalties de artistas reais. Entenda o esquema.,"00:00 A+ A-

Ler o resumo da notícia Michael Smith, músico norte-americano de 53 anos, declarou-se culpado de fraudar plataformas de streaming com bots e IA, roubandomais de US$ 8 milhões (R$ 40 milhões) em royalties.

O esquema operava cerca de 10 mil contas falsas que reproduziam músicas geradas por IA 24 horas por dia, diluindo os plays para evitardetecção dos algoritmos de segurança.

A fraude durou desde 2018 e gerou aproximadamente 661 mil streams diários, o equivalente a mais de US$ 1,2 milhão por ano em pagamentosfraudulentos.

Smith enfrentapena de até 5 anos de prisão e deve devolver US$ 8,09 milhões; a sentença será proferida em 29 de julho de 2026.

A promessa da Inteligência Artificial como ferramenta de criação artística esconde um submundo financeiro obscuro. O músico norte-americano Michael Smith, de 53 anos, declarou-se culpado na última quinta-feira (19) de orquestrar uma imensa fraude no streaming, um esquema milionário que expõe a fragilidade das grandes plataformas. O crime? Criar uma “audiência fantasma”.

Em um caso inédito conduzido pelo Departamento de Justiça dos Estados Unidos (DoJ), Smith confessou ter utilizado bots (contas automatizadas) e músicas geradas por Inteligência Artificial para acumular bilhões de reproduções falsas. Com a manobra, ele embolsou de forma fraudulenta mais de US$ 8 milhões (cerca de R$ 40 milhões) em royalties — dinheiro que, pelas regras do mercado, deveria ter ido para o bolso de músicos e compositores de verdade.

O que é a ‘audiência fantasma’ e como a fraude no streaming funcionava

No mundo da política e da publicidade, a prática de simular um falso apoio popular é chamada de astroturfing. Smith levou esse conceito para o mercado musical. Em vez de disputar a atenção de ouvintes reais, ele fabricou o próprio público.

Segundo os documentos da Procuradoria do Distrito Sul de Nova York, o esquema funcionava com precisão industrial, dividido em três frentes:

Criação de perfis falsos: Smith comprou milhares de",2026-03-31 09:51:11-03:00,https://revistaforum.com.br/tecnologia/fraude-no-streaming-musico-inteligencia-artificial-bots/,revista_forum
Potência do BRICS projeta plano bilionário para revolucionar infraestrutura de transporte aéreo,"A Índia anunciou um investimento de US$ 3,06 bilhões para ampliar o transporte aéreo, com foco em regiões carentes e pouco atendidas pela malha atual. A","Projeto combina obras e subsídios para expandir a malha aérea, facilitar deslocamentos e reduzir desigualdades regionais em áreas fora dos principais centros

00:00 A+ A-

Ler o resumo da notícia Não é possível gerar o resumo, pois a matéria fornecida contém apenas a palavra ""brics"" sem o texto completo da notícia. Por favor, informe o conteúdo completo da matéria para que eu possa criar o resumo jornalístico.

A Índia anunciou um investimento de US$ 3,06 bilhões para ampliar o transporte aéreo, com foco em regiões carentes e pouco atendidas pela malha atual. A decisão foi divulgada pelo governo nesta semana.

A medida integra uma nova fase do programa Ude Desh ka Aam Nagrik, criado em 2016 para facilitar o acesso da população ao transporte aéreo. O plano prevê a construção de 100 novos aeroportos e a ampliação das conexões regionais.

Um dos principais pontos é o reforço de apoio financeiro às companhias aéreas. O governo reservou US$ 1,07 bilhão em subsídios para garantir a operação de rotas que não seriam economicamente viáveis sem intervenção estatal.

O programa terá duração de dez anos, entre 2026 e 2036, e busca ampliar a presença da aviação em áreas hoje fora do alcance de voos regulares.

A iniciativa ocorre em um cenário de forte expansão do setor. A Índia é atualmente o mercado de aviação que mais cresce no mundo e pretende usar esse avanço para estimular a economia e gerar empregos.

Apesar do crescimento, o setor ainda enfrenta limitações. Problemas de infraestrutura e questões tributárias continuam sendo apontados como entraves à expansão.

O governo liderado por Narendra Modi estabeleceu como meta elevar o número de aeroportos no país para entre 350 e 400 até 2047, ante os 163 existentes em 2025.",2026-03-31 16:50:53-03:00,https://revistaforum.com.br/revista-forum/potencia-do-brics-projeta-plano-bilionario-para-revolucionar-infraestrutura-de-transporte-aereo/,revista_forum
"TV Fórum: Eleição será ‘todos contra Lula’, diz Renato Meirelles, do Locomotiva","Em entrevista ao Fórum Onze e Meia desta terça-feira (31), o presidente do Instituto Locomotiva, Renato Meirelles, afirmou que a eleição de outubro será ""de","À Fórum, pesquisador analisa cenário para as eleições de outubro e alerta sobre risco da propagação de fake news

00:00 A+ A-

Ler o resumo da notícia TV Fórum: Eleição será 'todos contra Lula', diz Renato Meirelles, do Locomotiva

Em entrevista ao Fórum Onze e Meia desta terça-feira (31), o presidente do Instituto Locomotiva, Renato Meirelles, afirmou que a eleição de outubro será ""de todos contra Lula"". Para Meirelles, não haverá uma frente ampla contra a extrema direita e todos os outros candidatos vão adotar uma postura de ataque contra o presidente Lula. ""É uma eleição em que nós teremos candidaturas batendo no governo com vieses e forças diferentes. Uma eleição em que no segundo turno a tendência é 'todos contra Lula'"", afirmou. ""Nós não temos uma figura diferente como na eleição passada como a Simone ou como o Ciro Gomes que poderia jogar um papel a serviço de uma da reeleição do presidente Lula ou ou numa frente ampla. Eu não enxergo uma frente ampla contra a extrema direita nessa eleição"", acrescentou Meirelles. Para o comunicólogo, a última esperança de uma frente contra a extrema direita era com a candidatura do governador do Rio Grande do Sul, Eduardo Leite (PSD), que foi preterido pela candidatura de Ronaldo Caiado. Com isso, Meirelles afirma que está ""claro que teremos uma ida à direita um pouco mais efetiva"" nessas eleições. ""O que nós vamos ver é a extrema direita capturando a direita mais uma vez no processo eleitoral. Não existe candidatura de centro democrático ou de direita moderada.

Em entrevista ao Fórum Onze e Meia desta terça-feira (31), o presidente do Instituto Locomotiva, Renato Meirelles, afirmou que a eleição de outubro será “de todos contra Lula”. Para Meirelles, não haverá uma frente ampla contra a extrema direita e todos os outros candidatos vão adotar uma postura de ataque contra o presidente Lula.

“É uma eleição em que nós teremos candidaturas batendo no governo com vieses e forças diferentes. Uma eleição em que no segundo turno a",2026-03-31 16:29:48-03:00,https://revistaforum.com.br/politica/tv-forum-eleicao-sera-todos-contra-lula-diz-renato-meirelles-do-locomotiva/,revista_forum
Misoginia: o crime que o Brasil ainda se recusa a nomear,"A misoginia no Brasil não é invisível — é tolerada. Está nas estatísticas, nas redes sociais, nas instituições e no cotidiano, mas segue juridicamente","O país que tipificou o feminicídio ainda hesita em reconhecer a engrenagem que o produz — e, ao fazê-lo, preserva um sistema que transforma violência em rotina e discurso em arma

00:00 A+ A-

Ler o resumo da notícia O Brasil não reconhece a misoginia como crime específico, tratando-a como desvio episódico apesar de sua presença nas estatísticas, redes sociais e instituições.

Um projeto de lei busca enquadrar a misoginia como forma de violência estrutural, definindo limites entre crítica e desumanização das mulheres.

O país avançou com a Lei Maria da Penha e o reconhecimento do feminicídio, mas ainda reage apenas a casos isolados enquanto o problema opera como sistema.

A resistência à proposta é política, mas defensores argumentam que reconhecer o padrão contínuo de hostilidade é necessário diante da organização da violência em plataformas digitais.

A misoginia no Brasil não é invisível — é tolerada. Está nas estatísticas, nas redes sociais, nas instituições e no cotidiano, mas segue juridicamente diluída, tratada como desvio episódico e não como estrutura persistente. O país avançou ao consolidar mecanismos como a Lei Maria da Penha e ao reconhecer o feminicídio, mas continua evitando o ponto central: a violência contra mulheres não começa na agressão física, nem termina nela. Ela é construída antes, legitimada durante e normalizada depois. É essa engrenagem que o Direito brasileiro ainda se recusa a encarar de frente.

O debate em torno do chamado “PL da misoginia” escancara esse limite. Não se trata de inflar o Direito Penal, como alegam seus críticos, mas de reconhecer um padrão contínuo de hostilidade dirigido às mulheres enquanto grupo. Um padrão que se adapta, se reorganiza e se intensifica — sobretudo em ambientes digitais — sem encontrar resposta à altura. O problema não é excesso de regulação. É atraso em admitir o óbvio.

A proposta parte de um ponto elementar, embora politicamente incômodo: a misoginia é uma forma de violência estrutural. Ao buscar s",2026-03-26 19:40:15-03:00,https://revistaforum.com.br/opiniao/misoginia-o-crime-que-o-brasil-ainda-se-recusa-a-nomear/,revista_forum
Cientistas chineses descobrem como transformar carvão em substância essencial para a medicina,Pesquisadores chineses anunciaram um avanço na química orgânica ao desenvolver um método mais simples e eficiente para transformar compostos abundantes e de,"00:00 A+ A-

Ler o resumo da notícia Cientistas da Peking University, liderados por Jiao Ning, desenvolveram método para converter olefinas em alcinos, substâncias raras usadas em medicamentos.

A técnica, publicada em 16 de março na Nature, resolve problema化学 há mais de 160 anos utilizando selellantreno como catalisador.

Alcinos são utilizados na produção de fármacos antibacterianos, antivirais, anticançamento e pesticidas.

A descoberta pode ampliar o uso do carvão pela indústria química chinesa, reduzindo a dependência de petróleo importado.

Pesquisadores chineses anunciaram um avanço na química orgânica ao desenvolver um método mais simples e eficiente para transformar compostos abundantes e de baixo custo em substâncias de alto valor utilizadas na produção de medicamentos.

O estudo foi publicado em 16 de março na revista Nature e conduzido por uma equipe liderada por Jiao Ning, da Peking University. A pesquisa aborda um problema científico que permanecia sem solução há mais de 160 anos.

Os cientistas conseguiram converter olefinas — compostos químicos amplamente disponíveis — em alcinos, moléculas mais raras e valorizadas. Esse tipo de transformação é relevante porque os alcinos são utilizados na produção de fármacos, incluindo substâncias presentes em medicamentos antibacterianos, antivirais e anticâncer, além de pesticidas.

As olefinas possuem uma ligação dupla entre átomos de carbono, o que as torna relativamente reativas e de fácil obtenção em larga escala. Já os alcinos apresentam uma ligação tripla, que confere propriedades estruturais e químicas distintas, fundamentais para a síntese de compostos complexos.

Tradicionalmente, a conversão entre esses dois tipos de moléculas exigia condições extremas, como altas temperaturas e uso de reagentes agressivos, o que limitava sua aplicação prática. Esses métodos também podiam comprometer outras partes sensíveis das moléculas.

A equipe chinesa adotou uma abordagem diferente ao utilizar um composto pouco exp",2026-03-31 15:55:00-03:00,https://revistaforum.com.br/global/china-em-foco/cientistas-chineses-descobrem-como-transformar-carvao-em-substancia-essencial-para-a-medicina/,revista_forum
Lindbergh e Soraya acionam PF contra Alfredo Gaspar,"Na noite desta sexta-feira (27), o deputado Lindbergh Farias (PT-RJ) e a senadora Soraya Thronicke (Podemos-MS) anunciaram ter protocolado uma notícia de fato","00:00 A+ A-

Ler o resumo da notícia Deputado Lindbergh Farias (PT-RJ) e senador Soraya Thronicke (Podemos-MS) protocolaram notícia de fato na PF contra o deputado Alfredo Gaspar (PL-AL), relator da CPMI do INSS.

A accusation é de estupro de vulnerável e fraude processual envolvendo uma jovem que hoje tem 21 anos, supostamente vítima de abuso aos 13 anos.

Segundo os parlamentares, Gaspar teria pago R$ 70 mil pelo silêncio da família, com promessa de mais R$ 400 mil.

Alfredo Gaspar nega as acusações, classifica o caso como ""ataque baixo"" e apresentou vídeo da jovem negando ter nascido de estupro.

Na noite desta sexta-feira (27), o deputado Lindbergh Farias (PT-RJ) e a senadora Soraya Thronicke (Podemos-MS) anunciaram ter protocolado uma notícia de fato na Polícia Federal contra o deputado Alfredo Gaspar (PL-AL), relator da CPMI do INSS, sob a acusação de estupro de vulnerável e fraude processual.

O episódio relatado pelos parlamentares envolve o suposto estupro de uma menina de 13 anos. A vítima, que hoje tem 21 anos, teria engravidado em decorrência do abuso, e a criança teria sido registrada falsamente como filha da avó materna.

Segundo o relato de Lindbergh e Soraya, Gaspar teria usado um intermediário para pagar R$ 70 mil pelo silêncio da família, prometendo repassar outros R$ 400 mil futuramente.

“Nós estamos apresentando [a notícia-crime] porque achamos que [as denúncias] estão mais do que bem fundamentadas. Aí a Polícia Federal vai decidir se abre ou não o inquérito em cima desses elementos. E a gente tem convicção de que vai abrir, porque são acusações e denúncias muito sérias”, disse Lindbergh. “Nunca fui de falar uma coisa como essa se não houvesse elementos muito graves. A gente só quer que isso seja esclarecido.”

Alfredo Gaspar nega

Já o deputado Alfredo Gaspar, segundo o jornal O Estado de Minas, classificou o caso como um “ataque baixo” e uma “cortina de fumaça” para desviar a atenção do seu relatório.

O relator da CPMI do INSS relatou uma con",2026-03-27 22:39:47-03:00,https://revistaforum.com.br/politica/lindbergh-e-soraya-acionam-pf-contra-alfredo-gaspar/,revista_forum
CPMI do INSS: Senador Carlos Viana quer barrar relatório alternativo,"Com maioria governista, colegiado presidido por Carlos Viana deve encerrar sem aprovar relatório","Carlos Viana se esquiva

Pela manhã, o presidente da CPMI do INSS disfarçou ao ser confrontado, por duas vezes, sobre um suposto elo com o pastor André Valadão, da Igreja Lagoinha.

Segundo informações reveladas pelo portal Metrópoles, o religioso encaminhou a um interlocutor, no dia 22 de janeiro de 2026, um texto afirmando que um senador estaria agindo nos bastidores para “resguardá-lo”. Na sequência da conversa, o próprio Valadão confirma a orientação para se manter no exterior: “Senador mandou esperar. Pra eu não ir mesmo pro Brasil”.

“Ontem saiu uma notícia que deixou uma forte suspeita sobre essas CPMI ou pelo menos sobre algum senador. Uma mensagem do pastor André Valadão da igreja do preso [Fabiano] Zettel. Disse o interlocutor: ‘pastor (a mensagem que ele recebeu e mandou para um amigo), será melhor esperar para final de fevereiro ou março?. Ele disse que vai estar mais tranquilo e ele vai fazer algumas ações para lhe resguardar’. Parece que o pastor André Valadão está dizendo que alguém o avisou que ele seria blindado aqui nessa CPMI. Aí ele manda ainda para esse interlocutor: ‘o senador mandou esperar’. Para não ir mesmo para o Brasil, ele está lá nos Estados Unidos. Isso é muito grave essa suspeita, muito grave”, afirmou Alencar Santana Braga (PT-SP).

Viana não falou nada e, adiante, a deputada Dandara (PT-MG) voltou à questão ao falar da própria experiência com os pais, aposentados.

“Sabe o que eu quero ver aqui hoje, presidente, nessa CPMI? Eu quero ver a responsabilização do núcleo dos bancos e das Fintechs. Porque pegar os peixes pequenos é fácil. Eu quero ver a responsabilização dos peixes grande, dos cabeças, bancos como Banco Master, que está envolvido até o último fio de cabelo, que emprestou avião para o Nikolas”, apontou a deputada.

Com informações da Agência Senado",2026-03-27 20:42:05-03:00,https://revistaforum.com.br/politica/cpmi-do-inss-senador-carlos-viana-quer-barrar-relatorio-alternativo/,revista_forum
Secretário de Defesa dos EUA diz que guerra no Irã tem propósito divino,"Em meio à escalada de tensões e ataques contra o Irã, Hegseth não apenas exaltou o poder bélico norte-americano, como também invocou explicitamente a proteção","Declarações de Pete Hegseth reacendem debate sobre uso de discurso religioso para justificar conflitos e levantam preocupações sobre pluralismo nas Forças Armadas

SECRETáRIO DE DEFESA DOS EUA DIZ QUE GUERRA NO IRã TEM PROPóSITO DIVINO

SECRETáRIO DE DEFESA DOS EUA DIZ QUE GUERRA NO IRã TEM PROPóSITO DIVINO

00:00 A+ A-

Ler o resumo da notícia O secretario de Defesa dos EUA, Pete Hegseth, associou explicitamente a guerra contra o Irã a um propósito divino, pedindo orações em nome de Jesus Cristo pela vitória militar.

Denúncias indicam que comandantes militares norte-americanos incentivaram tropas a enxergar o conflito como parte de um plano divino, citando passagens bíblicas sobre o fim dos tempos.

Especialistas em ética militar alertam que essa retórica pode comprometer a coesão das Forças Armadas, formadas por militares de diversas crenças, e transformar uma disputa geopolítica em um embate religioso.

O discurso de Hegseth ocorre no contexto do crescimento do nacionalismo cristão nos Estados Unidos, levantando questionamentos sobre os limites da religião nas decisões de Estado.

A guerra sempre foi acompanhada por discursos de legitimidade — políticos, estratégicos e, em muitos momentos da história, religiosos. Mas recentes declarações do secretário de Defesa dos Estados Unidos, Pete Hegseth, recolocaram esse elemento espiritual no centro de um debate sensível: até que ponto a fé pode — ou deve — influenciar decisões militares de uma potência global?

Em meio à escalada de tensões e ataques contra o Irã, Hegseth não apenas exaltou o poder bélico norte-americano, como também invocou explicitamente a proteção divina sobre as tropas e a missão militar. Em pronunciamentos públicos, pediu que os americanos orassem “em nome de Jesus Cristo” pela vitória na guerra, associando diretamente o esforço militar a um propósito espiritual.

A retórica chama atenção não apenas pelo conteúdo, mas pelo contexto: trata-se do chefe civil das Forças Armadas mais poderosas do mundo",2026-03-31 13:44:37-03:00,https://revistaforum.com.br/global/secretario-de-defesa-dos-eua-diz-que-guerra-no-ira-tem-proposito-divino/,revista_forum
A história não contada do primeiro caça supersônico brasileiro,"A cerimônia realizada na fábrica da Embraer, em Gavião Peixoto (SP), marcou mais do que a apresentação de um novo vetor militar. O caça supersônico F-39E","Acordo que colocou tecnologia de caças de quarta geração em solo nacional é produto da visão estratégica de Dilma Rousseff

00:00 A+ A-

Ler o resumo da notícia Embraer apresentou o caça F-39E Gripen em Gavião Peixoto (SP), resultado do Projeto FX-2 iniciado no governo Dilma.

O Brasil chose a Saab (Suécia) em vez da Boeing (EUA), gerando pressão internacional e investigações sem provas de irregularidades.

O acordo garantiu transferência de tecnologia, com 350 engenheiros brasileiros capacitados na Suécia e 12 mil empregos gerados.

Quinze das 36 aeronaves serão fabricadas no Brasil, fortalecendo a soberania de defesa aérea na América do Sul.

A cerimônia realizada na fábrica da Embraer, em Gavião Peixoto (SP), marcou mais do que a apresentação de um novo vetor militar. O caça supersônico F-39E Gripen simboliza um capítulo pouco lembrado da política industrial brasileira — e uma decisão estratégica tomada ainda no governo de Dilma Rousseff.

Lançado no contexto do Projeto FX-2, o acordo com a sueca Saab foi alvo de forte resistência política e midiática à época.

Críticos questionavam custos, prioridades e até a escolha da parceira internacional. Muitos preferiam a aquisição de jatos da Boeing, dos EUA. Até Joe Biden, então vice de Obama, veio ao Brasil tentar convencer a presidenta da compra dos armamentos.

Dilma não retrocedeu. Optou pela opção que fazia mais sentido do ponto de vista estratégico e econômico, além de garantir a transferência de tecnologia para a Embraer.

O Ministério Público Federal tentou impor crimes à presidenta, que chegou a depor na Justiça Federal sobre a compra do caça. Os Estados Unidos, preteridos na decisão, abriram investigações contra a sueca Saab para “averiguar irregularidades”. A Inglaterra chegou a interrogar um ex-diretor da Saab sobre a venda dos Gripen para o Brasil. Um deputado bolsonarista tentou abrir uma CPI para investigar o caso.

Nunca houve prova ou acusação fundada na realidade. Todas as investigações e pressões, na ",2026-03-26 09:36:05-03:00,https://revistaforum.com.br/opiniao/a-historia-nao-contada-do-primeiro-caca-supersonico-brasileiro/,revista_forum
Tebet dá resposta desconcertante a Nunes após ataque misógino do prefeito de SP,"O prefeito de São Paulo, Ricardo Nunes (MDB), que parece ainda não ter compreendido a envergadura do cargo que ocupa por um golpe do destino, após o trágico","Pré-candidata ao Senado reagiu de forma enérgica à fala truculenta e machista do antigo colega de partido, que a classificou como “marionete de Lula”. O bolsonarista poderia ter ido dormir sem essa

00:00 A+ A-

Ler o resumo da notícia Ricardo Nunes (MDB), prefeito de São Paulo, chamou Simone Tebet de ""marionete de Lula"" ao comentar sua filiação ao PSB para disputa ao Senado.

Tebet respondeu durante evento de filiação na Alesp nesta sexta-feira (27), dizendo que ""está para nascer o homem"" que a manipule.

A ministra criticou o ataque como ofensa a todas as mulheres brasileiras e lembrou sua trajetória como prefeitos, senadores, ministra e candidata à Presidência.

Tebet oficializou entrada no PSB ao lado de Geraldo Alckmin e Tabata Amaral, compondo a chapa de Lula e Haddad nas eleições deste ano.

O prefeito de São Paulo, Ricardo Nunes (MDB), que parece ainda não ter compreendido a envergadura do cargo que ocupa por um golpe do destino, após o trágico falecimento de Bruno Covas (PSDB), resolveu testar sua faceta de “bom bolsonarista”. Na tentativa desesperada de ser aceito pela ala radical e pelo clã de Jair Bolsonaro (PL), a quem se humilha constantemente em busca de apoio, Nunes mirou na ministra Simone Tebet. O resultado? Uma resposta avassaladora que o deixou falando sozinho.

Ao comentar a filiação de Tebet ao PSB para disputar o Senado por São Paulo, o prefeito, cujas raízes políticas são tão superficiais quanto seu discurso, tentou diminuir a trajetória de uma mulher que já foi prefeita, senadora, ministra e candidata à Presidência da República. Chamou-a de “marionete de Lula”. A reação da ministra, durante o ato de filiação na Assembleia Legislativa (Alesp) nesta sexta-feira (27), foi um exercício de elegância e autoridade que Nunes, em sua insuficiência política, desconhece.

“Tá pra nascer o homem”

Sem papas na língua, Tebet desmascarou a misoginia gratuita e barata do prefeito:

“Primeiro que tá pra nascer o homem que vai me direcionar e fazer de mim um",2026-03-28 15:13:52-03:00,https://revistaforum.com.br/politica/tebet-da-resposta-desconcertante-a-nunes-apos-ataque-misogino-do-prefeito-de-sp/,revista_forum
