titulo,subtitulo,texto,data,url,portal
Governo sanciona lei que amplia licença-paternidade para 20 dias e cria salário-paternidade,,,Data Indisponível,https://canalgov.ebc.com.br/programas/brasil-em-dia/260401102449_bd-01-04-26-04-vt-ampliacao-licenca-paternidade,agencia_brasil
Rádio,,"Universidade do Estado do Rio Grande do Norte - UERN

Caso note alguma inconsistência nos dados, contate a RNCP através dos emails tvbrasil.rncp@ebc.com.br (TV) ou rncp.radios@ebc.com.br (Rádios).",Data Indisponível,https://rncp.ebc.com.br/emissoras/radio?afiliada=Universidade do Estado do Rio Grande do Norte - UERN,agencia_brasil
Rádio,,"Caso note alguma inconsistência nos dados, contate a RNCP através dos emails tvbrasil.rncp@ebc.com.br (TV) ou rncp.radios@ebc.com.br (Rádios).",Data Indisponível,https://rncp.ebc.com.br/emissoras/radio?afiliada=Rádio Encontro das Águas,agencia_brasil
Rádio,,"Caso note alguma inconsistência nos dados, contate a RNCP através dos emails tvbrasil.rncp@ebc.com.br (TV) ou rncp.radios@ebc.com.br (Rádios).",Data Indisponível,https://rncp.ebc.com.br/emissoras/radio?afiliada=Rádio Universidade FM - UFMA,agencia_brasil
"""Guerra é do Trump, não é do povo brasileiro"", diz Lula",,"Presidente disse que fará de tudo para conter preço do diesel

O presidente Luiz Inácio Lula da Silva voltou a criticar nesta terça-feira (31) a guerra no Irã e os efeitos sobre o preço internacional do petróleo, que vem encarecendo o combustível, especialmente o óleo diesel, no caso brasileiro. O país importa cerca de 30% do que consome no mercado interno.

Segundo Lula, o governo está tomando medidas possíveis e adotará todas as providências para evitar uma escalada do preço do diesel, que impacta diretamente a inflação.

""Nós tomamos todas as medidas possíveis para evitar que se aumente o óleo diesel. Mas, no governo passado, eles venderam a distribuidora [BR Distribuidora, ex-subsidiária da Petrobras]. Então, quando a gente não sobe o preço, mesmo que a Petrobras baixe o preço, ele não chega na ponta, porque os atravessadores não deixam"", afirmou o presidente, em São Paulo, durante evento que comemorou os 21 anos do Programa Universidade Para Todos (Prouni) e os 14 anos da implementação da Lei de Cotas Raciais.

Lula destacou que o governo conta com a fiscalização de órgãos como a Polícia Federal e o Ministério Público.

""Nós só vamos sossegar quando o preço do óleo diesel não subir, porque a guerra é do Trump, a guerra não é do povo brasileiro e a gente não tem que ser vítima dessa guerra"", disse.

Saiba mais no Repórter Brasil Tarde, da TV Brasil

A uma plateia formada por centenas de estudantes, Lula citou o cenário geopolítico conturbado e chamou à responsabilidade os líderes das cinco maiores potências militares do planeta: Estados Unidos, Reino Unido, França, China e Rússia, que são os membros permanentes do Conselho de Segurança da Organização das Nações Unidas (ONU).

""Vocês estão vendo o bloqueio à Cuba, o que fizeram na Venezuela, o que fizeram no Irã. E agora, o que está acontecendo com a guerra no Irã? O preço do combustível está subindo, e o preço do combustível subindo vai chegar no alface, vai chegar no feijão, vai chegar no arroz, vai chegar em t",2026-03-01 00:00:00,https://agenciabrasil.ebc.com.br/politica/noticia/2026-03/guerra-e-do-trump-nao-e-do-povo-brasileiro-diz-lula,agencia_brasil
Boletim Semana Gov - 27/3/2026 - 16h30,,,Data Indisponível,https://canalgov.ebc.com.br/programas/semana-gov-2/260327180705_27-03-2026-reprise-semana-gov,agencia_brasil
Rádio,,"Instituto Federal do Sul de Minas - IFSULDEMINAS

Caso note alguma inconsistência nos dados, contate a RNCP através dos emails tvbrasil.rncp@ebc.com.br (TV) ou rncp.radios@ebc.com.br (Rádios).",Data Indisponível,https://rncp.ebc.com.br/emissoras/radio?afiliada=Instituto Federal do Sul de Minas - IFSULDEMINAS,agencia_brasil
Rádio,,"Instituto Federal de Mato Grosso do Sul - IFMS

Caso note alguma inconsistência nos dados, contate a RNCP através dos emails tvbrasil.rncp@ebc.com.br (TV) ou rncp.radios@ebc.com.br (Rádios).",Data Indisponível,https://rncp.ebc.com.br/emissoras/radio?afiliada=Instituto Federal de Mato Grosso do Sul - IFMS,agencia_brasil
"Lula bids farewell to ministers, confirms Alckmin as running mate",The president held his first cabinet meeting of 2026 today and bid farewell to the ministers who will be leaving their posts to run in October’s elections.,"Brazilian President Luiz Inácio Lula da Silva stated Tuesday (Mar. 31) that politics has become a business, adding it is necessary to convince the people that a change in Brazil’s political landscape is possible through the election of good candidates.

Lula held his first cabinet meeting of 2026 today and bid farewell to the ministers who will be leaving their posts to run in the elections this October. At the event, Lula confirmed that Alckmin will run for vice-president again.

“We have a lot of great politicians today, but the truth is that in many cases, politics has become a business,” he noted. “Political offices come at a high price. Someone told me the other day, ‘A federal representative won’t get elected for less than 50 million reais.’ And if that’s true, we’ve reached the end of any sense of integrity in Brazilian politics,” the president went on to argue.

In Lula’s view, everyone is to blame in this process. In a bid not to “bring anyone into the spotlight,” he said, the necessary changes are not being proposed. “And things just keep getting worse, and today we’ve reached a state of decline, including in some institutions.”

Candidacies

According to the president, of the 37 government ministers, at least 18 will step down to run for elected office in October.

Among them is vice-President Geraldo Alckmin, who also served as Minister of Development, Industry, Trade, and Services.

The president and vice-president do not need to resign from office to run in the upcoming election. If they were running for another office, however, they would need to resign.

Politicians who intend to vie for office have until April 4 to leave their current positions, six months before the first round of the elections, which takes place on October 4.

During the meeting, Lula also emphasized he would not appoint new ministers and that the ministries would be headed by members of the current team, such as the then-executive secretary of the Ministry of Finance, Dario Durig",2026-03-01 00:00:00,https://agenciabrasil.ebc.com.br/en/politica/noticia/2026-03/lula-bids-farewell-ministers-confirms-alckmin-running-mate,agencia_brasil
PF realiza operação contra acusados de vazar dados de ministros do STF,Nova fase da Exfil cumpre 1 mandado de prisão e 6 de busca e apreensão. Medidas foram autorizadas pelo ministro Alexandre de Moraes.,"Nova fase da Exfil cumpre 1 mandado de prisão e 6 de busca e apreensão

A Polícia Federal (PF) realizou nesta quarta-feira (1°) a segunda fase da Operação Exfil, deflagrada para apurar acessos ilegais de informações fiscais de ministros do Supremo Tribunal Federal (STF) e seus parentes.

De acordo com a corporação, foram cumpridos um mandado de prisão e seis de busca e apreensão no Rio de Janeiro e em São Paulo. As medidas foram autorizadas pelo ministro Alexandre de Moraes, relator do caso.

A PF informou ainda que os alvos são acusados de acessar ilegalmente os sistemas da Receita Federal e vender as informações privadas de ministros.



>> Siga o canal da Agência Brasil no WhatsApp

A primeira fase da operação foi realizada em fevereiro deste ano e teve como alvo funcionários públicos lotados na Receita e auditores do órgão.

Por determinação de Moraes, os servidores investigados cumprem diversas medidas cautelares, como monitoramento por tornozeleira eletrônica, afastamento do exercício de função pública, cancelamento de passaportes e a proibição de saída do país.",2026-04-01 00:00:00,https://agenciabrasil.ebc.com.br//justica/noticia/2026-04/pf-realiza-operacao-contra-acusados-de-vazar-dados-de-ministros-do-stf,agencia_brasil
