titulo,subtitulo,texto,data,url,portal
Morre aos 78 anos o ator e diretor Dennis Carvalho,"Ator e diretor Dennis Carvalho morre aos 78 anos no Rio de Janeiro. Nome histórico da TV Globo, dirigiu sucessos como Vale Tudo e Fera Ferida","Dennis Carvalho foi um dos principais diretores da teledramaturgia brasileira e comandou sucessos como Vale Tudo e Anos Rebeldes (Foto: TV Globo / Alex Carvalho )

Morreu neste sábado (28), no Rio de Janeiro, aos 78 anos, o ator e diretor Dennis Carvalho, um dos nomes mais influentes da televisão brasileira. Natural de São Paulo, ele estava internado no Hospital Copa Star, em Copacabana, na Zona Sul da capital fluminense. A causa da morte não foi revelada, a pedido da família.

A informação foi confirmada pela assessoria do hospital, que divulgou nota lamentando o falecimento. “O Hospital Copa Star confirma com pesar o falecimento de Dennis de Carvalho neste sábado e se solidariza com a família, amigos e fãs por essa irreparável perda. O hospital também informa que não tem autorização da família para divulgar mais detalhes”, diz o comunicado.

Dennis Carvalho deixa três filhos: Leonardo Carvalho, ator, fruto do relacionamento com a atriz Christiane Torloni; Tainá, filha de Monique Alves; e Luíza, do casamento com a atriz Déborah Evelyn.

Antes de se tornar um dos principais diretores da televisão, Dennis iniciou sua trajetória artística em teleteatros e na dublagem de atrações que marcaram época. Foi dele, por exemplo, a voz brasileira do capitão Kirk na série Star Trek, conhecida no Brasil como “Jornada nas Estrelas”.

A experiência acumulada abriu portas na TV Globo, emissora com a qual manteve contrato até os dias atuais. Ao longo das décadas, consolidou-se como um dos diretores mais respeitados da teledramaturgia.

À frente de produções de enorme repercussão, Dennis dirigiu novelas que se tornaram clássicos, como Vale Tudo e Fera Ferida. A família não divulgou informações sobre velório e sepultamento.",Data Indisponível,https://www.gazetadopovo.com.br/cultura/morre-aos-78-anos-o-ator-e-diretor-dennis-carvalho/,gazetadopovo
Juiz reclama de ganhar menos que médico do SUS e sorveteiro,"Juiz da comarca de São Mateus do Sul (PR) reclama de novas regras dos penduricalhos, dizendo que ganhará menos que médico e sorveteiro.","

Um juiz da comarca de São Mateus do Sul, no Paraná, desabafou antes de uma sessão do Tribunal do Júri contra as limitações dos penduricalhos salariais impostas pelo Supremo Tribunal Federal: “A remuneração hoje de um magistrado é menor do que o médico do SUS. A hora paga ao médico generalista que atende o SUS, 40 minutos, 30 minutos, é superior à hora do magistrado. É isso que acabou com a carreira da magistratura no estado do Paraná e no Brasil”.

As declarações do juiz foram publicadas pelo portal jurídico Migalhas, que divulgou o áudio com as críticas, sem citar o nome do magistrado, cujo último contracheque líquido teria sido de R$ 120 mil. Ao comparar a remuneração da carreira com outras profissões, o juiz disse que a tendência é a de profissionais qualificados abandonarem a magistratura, como ele mesmo intenciona fazer.

""E a minha remuneração vai ser menor que a de um cara que vende sorvete. Se a ordem (OAB) quer juiz mal pago, se a ordem quer que juiz qualificado vá embora, o cara que tem formação, o cara que tem mestrado e consegue se garantir fora, vai sair. Ou você acha que vai ficar fazendo inspeção em cadeia?"", questionou, antes de arrematar: ""Eu tenho doutorado. Eu trabalho das sete da manhã às dez da noite. Não vou ficar. Eu vou embora. Vou montar uma banca e eu vou defender Lava Jato"".

""Eu quero mais é ficar em casa"", diz magistrado

O juiz não se importou em esbravejar na presença de pessoas que aguardavam atendimento judicial, e nem se deu conta de alguém poderia estar gravando. ""Porque aqui, defendendo vocês mulheres que sofrem agressão. Sou eu que dou a medida protetiva que vocês querem. Quando vocês caírem presos, porque vocês vão cair presos algum dia, às seis da tarde, de sábado. Eu não vou estar aqui para tirar ninguém. Porque se a sociedade não gosta, se a sociedade acha que está pagando muito, se a sociedade acha que o nosso trabalho não é importante, não vou ser eu que vou fazer esse trabalho"", desabafou. “Você acha que eu vou fazer iss",Data Indisponível,https://www.gazetadopovo.com.br/republica/juiz-reclama-de-ganhar-menos-que-medico-do-sus-e-sorveteiro/#comentarios?ref=comentarios-materia,gazetadopovo
Espanha fecha espaço aéreo para aviões dos EUA na guerra no Irã,Espanha ordenou o fechamento de seu espaço aéreo para voos dos Estados Unidos que participam da guerra dos americanos contra o Irã,"O governo da Espanha, do premiê socialista Pedro Sánchez, ordenou o fechamento de seu espaço aéreo para voos dos Estados Unidos que participam da guerra dos americanos e de Israel contra o Irã, que no sábado (28) completou um mês.

A Espanha também não permite o uso de suas bases aéreas de Rota e Morón por aviões americanos, nem autoriza aeronaves militares destacadas em outros países europeus a utilizarem o espaço aéreo espanhol, segundo publicou nesta segunda-feira (30) o jornal El País e confirmaram à agência EFE fontes do Ministério da Defesa espanhol.

Anteriormente, o governo Sánchez já havia anunciado, para o atual conflito no Oriente Médio, a recusa de uso das bases militares, operadas em conjunto com os EUA conforme regulamentado em um convênio bilateral, o que levou o presidente americano, Donald Trump, a ameaçar cortar o comércio com o país europeu.

A proibição anunciada nesta segunda-feira não afeta os voos comerciais, segundo relataram à EFE fontes do gestor espanhol de navegação aérea Enaire, restringindo-se apenas às operações aéreas militares.

Posteriormente, a ministra da Defesa espanhola, Margarita Robles, assegurou que o governo comunicou “clarissimamente” aos EUA, desde o início da operação militar, que a Espanha não autorizava o uso das bases nem a utilização de seu espaço aéreo para operações relacionadas à guerra.

A Espanha “não vai autorizar em nenhum caso, nem o fez, nem o faz, nem o fará, a utilização das bases de Rota e Morón para ir a uma guerra à qual somos totalmente contrários, na qual não acreditamos e que nos parece profundamente ilegal e profundamente injusta”, reiterou a ministra.

Questionado se o fechamento do espaço aéreo pode deteriorar ou prejudicar as relações com os EUA, o primeiro-vice-presidente espanhol e ministro da Economia, Carlos Cuerpo, comentou que a medida faz parte da posição do governo de não participar nem contribuir para uma guerra, segundo ele, iniciada de maneira “unilateral” e “contra a legalidade interna",Data Indisponível,https://www.gazetadopovo.com.br/mundo/espanha-fecha-espaco-aereo-avioes-eua-participam-guerra-ira/#comentarios?ref=comentarios-materia,gazetadopovo
Amizade regada a whisky: Gonet vai conduzir delação de Vorcaro?,No programa Última Análise desta terça-feira (10) os comentaristas discutem a degustação de whisky caríssimo bancada por Vorcaro.,"Nessa semana o Supremo Tribunal Federal (STF) vai analisar a decisão monocrática do ministro André Mendonça, que determinou a prisão do banqueiro Daniel Vorcaro na terceira fase da operação Compliance Zero. Se Vorcaro permanecer preso, ganha força a possibilidade de uma delação premiada.

A grande questão é quem vai ter autonomia para conduzir essa negociação se tanto o diretor-geral da Polícia Federal, Andrei Rodrigues, como o procurador-geral da República, Paulo Gonet, juntamente com Alexandre de Moras e Dias Toffoli, estiveram com outros figurões em uma degustação de whisky, em Londres, com tudo pago pelo banqueiro.

Relator da CPI do INSS chama Vorcaro de “mafioso”

Ao discursar na reunião da CPMI do INSS, o relator Alfredo Gaspar (União-AL) acusou o empresário Daniel Vorcaro de manter ""relações suspeitas"" com autoridades da República, após a prisão preventiva dele na última semana, e cobrou explicações do ministro do Supremo Tribunal Federal (STF) Alexandre de Moraes.

Durante a fala, Gaspar classificou Vorcaro como “mafioso”. “Qual é a palavra única para definir esse cidadão chamado Vorcaro? Só tem uma: mafioso, gângster, bandido”, disse o relator.

O parlamentar disse ainda que o empresário teria transferido cerca de R$ 80 milhões para a família de Moraes por meio de contratos privados firmados com o escritório de advocacia de Viviane Barci de Moraes, mulher do ministro. O valor foi estimado a partir de informações sobre um contrato de R$ 129 milhões entre o escritório e o Master, reveladas após a prisão de Vorcaro, no ano passado. O escritório confirmou, em nota divulgada nesta segunda-feira (9), ter prestado serviços ao Master entre fevereiro de 2024 e novembro de 2025, sem detalhar valores.

Fachin diz que Justiça não pode ficar “aprisionada” a interesses econômicos

O presidente do Supremo Tribunal Federal (STF), Edson Fachin, afirmou nesta terça-feira (10) que o Judiciário não pode ficar “aprisionado” a interesses econômicos, conveniências políticas ou p",Data Indisponível,https://www.gazetadopovo.com.br/ultima-analise/amizade-regada-a-whisky-gonet-vai-mesmo-conduzir-delacao-de-vorcaro/,gazetadopovo
Último voto de Barroso no STF foi contra a vida,No programa deste domingo (26) Cristina Graeml analisa o voto de Luís Roberto Barroso a favor do aborto até a 12ª semana de gestação.,"Em seu momento derradeiro no Supremo Tribunal Federal (STF), antes de sua aposentadoria antecipada, o ministro Luís Roberto Barroso decidiu pautar e votar em uma ação que buscava a liberação do aborto até a 12ª semana de gestação. Barroso, que até pouco tempo atrás presidia o STF, optou por se aposentar antes de completar 75 anos. Alguns observadores sugeriram que sua aposentadoria precoce poderia estar ligada ao medo de levar uma punição dos Estados Unidos, assim como aconteceu com Alexandre de Moraes.

O julgamento sobre a descriminalização do aborto, aberto pelo PSOL, partido de esquerda que apoia o PT, estava paralisado. Barroso pediu que fosse pautado, alegando urgência em defender a destruição de vidas, uma urgência, no mínimo, questionável.

As ""três canetadas"" e a derrota inicial

No seu último dia de trabalho, uma sexta-feira (17 de outubro), Barroso deu três decisões. Primeiramente, votou em duas Arguições de Descumprimento de Preceito Fundamental (ADPFs) que solicitavam que enfermeiros e auxiliares de enfermagem não fossem criminalizados ao auxiliar mulheres na prática de abortos, nas condições já toleradas por lei (casos de estupro, risco de vida para a gestante ou para o bebê e nos casos de bebês anencéfalos). A lei atual, contudo, fala apenas em médicos. Barroso votou a favor da participação de enfermeiros, mas foi derrotado na turma da qual fazia parte, com os ministros Flávio Dino, Edson Fachin e Gilmar Mendes.

Em seguida, o ministro solicitou ao então presidente do STF, Fachin, que pautasse a ação principal do PSOL, que estava parada. Barroso votou favoravelmente ao aborto. Este movimento replicou uma ação feita anteriormente pela ministra Rosa Weber, que também puxou um voto pró-aborto ao se aposentar para garantir que seu substituto (o ministro Cristiano Zanin) não pudesse votar na questão.

Após o voto de Barroso, o assunto retornou à gaveta, não estando, portanto, autorizado o aborto até a 12ª semana. O que ocorreu foi que Barroso e Rosa Weber ",Data Indisponível,https://www.gazetadopovo.com.br/vozes/ultimo-voto-de-barroso-no-stf-foi-contra-a-vida-dos-bebes-em-formacao/#comentarios?ref=comentarios-materia,gazetadopovo
O verdadeiro interesse de Trump na Groenlândia,"Nos últimos dias, Donald Trump deu declarações que chacoalharam o cenário internacional ao demonstrar interesse na Groenlândia","Vista aérea da camada de gelo no leste da Groenlândia. Trump reafirma seu interesse em ilha. (Foto: EFE/EPA/THOMAS TRAASDAHL )

Dias antes de sua posse como presidente reeleito dos EUA, Donald Trump deu declarações que chacoalharam o cenário internacional. Umas delas, em especial, criou até mal-estar diplomático com a Dinamarca: a ""compra"" da Groenlândia.

Tudo começou com uma publicação do ex-mandatário em sua rede social Truth Social, na época do Natal. Na ocasião, Trump escreveu que a “propriedade e o controle” do território dinamarquês autônomo é “uma necessidade absoluta” para a segurança nacional dos EUA.

Trump lembrou de pautas pendentes de seu primeiro mandato, antes da posse presidencial em 20 de janeiro. Crédito: Allison Dinner/EFE/EPA (Foto: Allison Dinner/EFE/EPA)

O republicano acrescentou que a Groenlândia é “um lugar incrível e que as pessoas se beneficiarão se ela se tornar parte da nação (EUA)” e, em uma mensagem posterior, ele frisou que “este é um acordo que precisava ser feito”.

Desde então, o futuro governante da Casa Branca e o governo da Dinamarca têm se manifestado em pronunciamentos que rondam a ""disputa"".

A primeira-ministra dinamarquesa, a social-democrata Mette Frederiksen, afirmou após as declarações de Trump: “Meu ponto de partida, e o do governo, é muito claro: o futuro da Groenlândia é definido na Groenlândia”.

Frederiksen acrescentou que, se a Groenlândia tomar uma decisão sobre seu futuro, o governo dinamarquês tomará uma posição, em referência ao direito do território à autodeterminação.

A Dinamarca, Groenlândia e Ilhas Faroe constituem a chamada Comunidade do Reino Dinamarquês, o que implica um compromisso coletivo e a responsabilidade de cuidar de sua parte do Ártico.

Nas redes sociais, o primeiro-ministro da Groenlândia, Múte Bourup Egede, também lançou a seguinte declaração: “Deixe-me repetir: a Groenlândia pertence aos groenlandeses. Nosso futuro e nossa luta pela independência é assunto nosso. Os dinamarqueses, os ameri",Data Indisponível,https://www.gazetadopovo.com.br/mundo/o-que-explica-o-interesse-de-trump-na-groenlandia/#comentarios?ref=comentarios-materia,gazetadopovo
Moraes cobra explicações sobre fala em que Eduardo diz mostrar vídeo a Bolsonaro,"Ministro usou postagem de internauta que dizia que ""esse vídeo precisa chegar ao ministro Alexandre de Moraes"".","O ministro do Supremo Tribunal Federal (STF) Alexandre de Moraes deu 24 horas para que a defesa do ex-presidente Jair Bolsonaro (PL) explique uma fala em que o ex-deputado federal Eduardo Bolsonaro (PL) menciona que estaria em contato com seu pai por meio de um vídeo. A decisão foi assinada neste domingo (29) e divulgada nesta segunda-feira (30).

""Vocês sabem por que eu estou fazendo esse vídeo? Porque eu estou mostrando para o meu pai e eu vou provar para todo mundo no Brasil que você não pode calar um movimento de forma injusta, tirando o seu líder, Jair Messias Bolsonaro. Muito obrigado"", diz o ex-deputado federal, em inglês. A fala ocorreu no último sábado (28).

Ao conceder a prisão domiciliar humanitária a Bolsonaro, Moraes impôs diversas restrições, entre elas a proibição de utilizar ""celular, telefone

ou qualquer outro meio de comunicação externa, diretamente ou por intermédio de terceiros"" e a ""proibição de gravação de vídeos ou áudios, diretamente ou por intermédio de terceiros"".

Ministro usa postagem de internauta que pede para conteúdo chegar a seu conhecimento

Despacho não cita conteúdo original ou postagem do perfil do próprio Eduardo Bolsonaro. (Foto: Reprodução/X/Julio Freiress)

No despacho, Moraes coloca uma captura de tela de um internauta que, ao divulgar um trecho da fala de Eduardo na Conservative Political Action Conference (CPAC), diz que ""esse vídeo precisa chegar ao ministro Alexandre de Moraes"".

""Eduardo Bolsonaro, no evento de extrema-direita nos Estados Unidos, estava fazendo uma transmissão ao vivo para mostrar o que tava acontecendo no evento ao Bolsonaro, que está em prisão domiciliar sem poder ter acesso a nenhuma rede social. Isso pode ser considerado descumprimento das medidas judiciais que foram impostas"", argumenta o internauta.

Jair Bolsonaro deixou o hospital DF Star nesta sexta-feira (27). Com a alta, começou a contar o prazo de 90 dias da prisão domiciliar humanitária temporária. Moraes considerou o tempo para a recuper",Data Indisponível,https://www.gazetadopovo.com.br/republica/moraes-cobra-explicacoes-sobre-fala-em-que-eduardo-diz-mostrar-video-a-bolsonaro/,gazetadopovo
Show trials: julgamentos políticos usados para perseguir opositores,"Os 'show trials' foram usados por ditaduras para eliminar opositores. De Stalin a Hitler, conheça a história desses julgamentos de fachada","Advogados atrás de pistas e testemunhas de última hora, jornalistas em frente aos tribunais, tensão nos corredores. O juiz está prestes a dar a sentença, mas todo mundo já sabe o veredicto: ele foi selado antes mesmo do julgamento começar. Poderia ser ficção, mas a história está cheia de exemplos reais. Os “show trials”, também conhecidos como julgamentos de fachada ou julgamentos políticos, são uma ferramenta usada por regimes autoritários para calar os opositores e reforçar seu poder.

Na definição do dicionário Cambridge, consistem em um julgamento organizado por um governo para ter efeito sobre a opinião pública e reduzir a oposição política, e não para encontrar a verdade. Ou seja, não importa o que for apresentado pela defesa ou acusação, o réu já está condenado.

Os primeiros julgamentos de fachada datam da década de 1930, na União Soviética, quando o ditador Joseph Stalin, depois de afundar a economia, passou a eliminar vários oponentes políticos. O objetivo era manter o poder por meio do terror, mandando um claro recado sobre o que aconteceria com os “inimigos do povo”.

Este tipo de julgamento costuma ser feito “para cumprir tabela”, com cartas marcadas. No nazismo, eram rápidos. Na URSS e na China ganhavam mais holofotes para deixarem clara as suas mensagens.

União Soviética: provas criadas e confissões sob tortura

Na União Soviética, Stalin usou três sessões para eliminar inimigos e manipular a opinião pública retratando os acusados ​​como traidores perigosos. Os “Julgamentos de Moscou” aconteceram durante o Grande Expurgo, como ficou conhecida a perseguição que levou à prisão e morte de pelo menos 750 mil pessoas, entre líderes, políticos e críticos de Stalin.

Os condenados eram fuzilados ou enviados para campos de trabalho forçado, os “gulags”, onde sofriam torturas físicas e psicológicas. Calcula-se que mais de 20 milhões de pessoas tenham passado por estes campos até sua extinção definitiva, na década de 1980.

O expurgo incluía antigos aliados, t",Data Indisponível,https://www.gazetadopovo.com.br/ideias/show-trials-julgamentos-politicos-perseguir-opositores/,gazetadopovo
"Estatais somam R$ 568 milhões ao déficit em fevereiro, aponta BC","Endividamento do governo federal acumula juros e já soma 65,5% do PIB, ampliando déficit. Leia na Gazeta do Povo.","No centro da crise, Correios tentam demissões voluntárias e iniciam aumento de carga horária em alguns setores. (Foto: Marcos Oliveira/Agência Senado )

Enquanto estados e municípios fecharam fevereiro com um superávit de R$ 13,7 bilhões, o governo federal enfrentou um déficit de R$ 29,5 bilhões. As estatais somaram mais R$ 568 milhões a um rombo que já passa de R$ 10,5 bilhões nos últimos 12 meses. Os dados são do relatório de estatísticas fiscais do Banco Central (BC), divulgado nesta terça-feira (31).

O agravamento no rombo das estatais ocorre em meio à tentativa dos Correios de implementar um plano de restruturação. A empresa anunciou, entre outras medidas, a venda de imóveis, um plano de demissão voluntária e a instituição da jornada 12x36 em algumas funções.

O documento mostra ainda uma alta nos juros da dívida pública de R$ 6 bilhões no mesmo período. Tudo isso reflete em uma dívida pública líquida no setor público de R$ 8,4 trilhões, o que equivale a 65,5% do Produto Interno Bruto (PIB). Na soma entre governo federal, Instituto Nacional do Seguro Social (INSS), estados e municípios, o valor é de R$ 10,2 trilhões, ou 79,2% do PIB.

Nesta segunda-feira (30), o BC revelou um déficit primário de R$ 30 bilhões do governo federal em fevereiro. Agora, incluindo os juros na conta, temos o déficit nominal de R$ 100,6 bilhões.

De acordo com a autoridade monetária, a inflação e a taxa básica de juros (Selic) se somaram ao endividamento como fatores que agravaram o aumento dos juros nominais.

Na última ata do Comitê de Política Monetária (Copom), havia a expectativa de uma consideração maior ao contexto da guerra no Oriente Médio. Apesar de citar o contexto global, o colegiado considerou as ""incertezas sobre a estabilização da dívida pública"" e o ""esmorecimento no esforço de reformas estruturais e disciplina fiscal"". As considerações serviram de embasamento para um corte mais tímido na Selic, de 0,25%.",Data Indisponível,https://www.gazetadopovo.com.br/economia/estatais-somam-568-milhoes-ao-deficit-em-fevereiro-aponta-bc/#comentarios?ref=comentarios-materia,gazetadopovo
"EUA reabrem embaixada na Venezuela e falam em ""novo capítulo""",O governo dos EUA retomaram nesta segunda-feira (30) oficialmente as operações de sua embaixada na Venezuela,"Fachada da Embaixada dos EUA em Caracas, Venezuela: países retomam relação rompida desde 2019 (Foto: EFE/Miguel Gutiérrez )

Os EUA retomaram nesta segunda-feira (30) oficialmente as operações de sua embaixada na Venezuela, depois que a administração de Donald Trump e o regime interino de Delcy Rodríguez restabeleceram as relações diplomáticas entre ambos os países, rompidas desde 2019.

""Hoje retomamos formalmente as operações na embaixada dos EUA em Caracas, o que marca um novo capítulo em nossa presença diplomática na Venezuela"", anunciou o Departamento de Estado americano em comunicado.

A embaixadora Laura Dogu chegou a Caracas no último mês de janeiro como encarregada de negócios para liderar a reabertura da missão diplomática americana.

A equipe chefiada por Dogu está atualmente restaurando o edifício para preparar ""o retorno do pessoal o mais rápido possível e a eventual retomada dos serviços consulares"", informou o Departamento de Estado, que não detalhou a data prevista para o retorno desses serviços.

O anúncio ocorreu depois que, na semana passada, uma delegação venezuelana liderada pelo encarregado de negócios, Félix Plasencia, visitou Washington para se reunir com membros do governo Trump e receber o controle da embaixada venezuelana nos EUA, custodiada desde 2023 pelo Departamento de Estado.

Desde a captura do ditador Nicolás Maduro por forças americanas em 3 de janeiro, a administração Trump e o regime de Delcy Rodríguez aproximaram posições e, no início de março, restabeleceram formalmente as relações diplomáticas entre os dois países.

Segundo Trump, os EUA exercem uma tutela sobre o regime chavista, que acatou as exigências de Washington para abrir o setor de petróleo e ouro da Venezuela às empresas americanas.

EUA e a Venezuela romperam relações em 2019, quando o governo Trump, em seu primeiro mandato, reconheceu o opositor Juan Guaidó, então presidente da Assembleia Nacional, como presidente interino do país.

Desde então, as atividades diplo",Data Indisponível,https://www.gazetadopovo.com.br/mundo/eua-reabrem-embaixada-na-venezuela-falam-novo-capitulo-nas-relacoes/#comentarios?ref=comentarios-materia,gazetadopovo
