annotation_id,annotator,created_at,id,justificativa_llm,lead_time,subtitulo,texto,titulo,updated_at,validado_por,vies_humano,vies_politico
1,1,2026-05-29T18:50:20.206817Z,1,Não identificada.,74.302,A Alerj (Assembleia Legislativa do Rio) escolhe hoje seu novo presidente numa eleição que deve contar com apenas um candidato: Douglas Ruas (PL). Leia no UOL,"A Alerj (Assembleia Legislativa do Rio) escolhe hoje seu novo presidente numa eleição que deve contar com apenas um candidato: Douglas Ruas (PL).



O que aconteceu



Oposição tinha nome, mas decisão da Justiça mudou cenário. Caso eleição fosse com voto fechado, Vitor Junior (PDT) também disputaria o cargo. Porém, ontem à noite, o Tribunal de Justiça do Rio decidiu que o pleito deve acontecer com voto aberto, e a frente de oito partidos decidiu se retirar da disputa.



Decisão representou derrota para grupo político de Eduardo Paes (PSD). O ex-prefeito do Rio se articulava nos bastidores para eleger um aliado. O movimento fazia parte de sua estratégia como pré-candidato ao Palácio Guanabara numa disputa que também deve ser contra Ruas, nas urnas em outubro.",Alerj escolhe novo presidente hoje em eleição que só deve ter um candidato,2026-05-29T18:50:20.206817Z,todos,NEUTRO,Neutro
10,1,2026-05-30T00:27:57.321088Z,10,"** A notícia apresenta uma análise política que destaca a possibilidade de fragmentação da base governista no Rio Grande do Sul, o que pode favorecer as forças de oposição e prejudicar a candidatura presidencial do presidente Lula.",20.259.799.999.999.900,Análise de Jeferson Miola aponta que fragmentação da base governista no Rio Grande do Sul pode favorecer forças de oposição,"A hipótese de PDT e PT do Rio Grande do Sul saírem em chapas separadas para a disputa do governo estadual pode deixar o presidente Lula sem nenhum palanque no segundo turno.



A desunião destes dois partidos que integram a base de sustentação do governo Lula em Brasília pode, potencialmente, favorecer a ida ao segundo turno da chapa apoiada pelo governador Eduardo Leite e encabeçada pelo vice-governador Gabriel Souza.



Apesar de por enquanto ostentar baixos percentuais nas pesquisas eleitorais, ficando abaixo de Juliana Brizola/PDT e Edegar Pretto/PT nas simulações, a aliança eleitoral de Gabriel Souza tem prefeitos do MDB em 126 municípios e em outros 41 do PSD, além de dezenas de vice-prefeitos, vereadores, deputados, militâncias e máquinas partidárias bem estruturadas em praticamente todos os municípios gaúchos.



As seções gaúchas do MDB e PSD são, majoritariamente, oposicionistas em relação ao governo Lula. Se Eduardo Leite for confirmado candidato presidencial, o sentimento antipetista odioso ganhará ainda mais terreno.



Portanto, se a candidatura de Gabriel Souza tiver maior votação que o desempenho individual da Juliana Brizola e do Edegar Pretto –hipótese que não pode ser desprezada– a eleição de outubro será decidida no segundo turno entre o antipetista e antilulista Gabriel Souza e o tenente-coronel bolsonarista Luciano Zucco, do PL.



Nesta circunstância, o presidente Lula não teria um palanque próprio no segundo turno no Rio Grande do Sul, o que é tremendamente preocupante no contexto de uma eleição que se afigura ainda mais renhida e difícil que a de 2022.



Além disso, a incapacidade de PT e PDT chegarem a um entendimento para a viabilização de uma candidatura única também complica a eleição de pelo menos uma das duas cadeiras em disputa para o Senado.



Isso porque o PDT poderia lançar candidatura própria ao Senado para reforçar sua candidatura majoritária; ou, o que não seria improvável, poderia se unir à chapa de Gabriel Souza, dada a pressão de setores","Se tiver dois palanques no 1º turno no RS, Lula corre o risco de ficar sem nenhum no 2º turno",2026-05-30T00:28:13.741973Z,pedro,DIREITA,Esquerda
15,1,2026-05-30T00:45:47.094268Z,15,"** A notícia é uma reportagem sobre a decisão da Primeira Turma do Supremo Tribunal Federal (STF) que manteve a cassação do mandato do ex-deputado estadual Rodrigo Bacellar, e não apresenta um viés ideológico explícito.",278.47,"A Primeira Turma do Supremo Tribunal Federal (STF) tem unanimidade para negar o recurso apresentado pela defesa do ex-deputado estadual Rodrigo Bacellar (União), do Rio de Janeiro, contra a rejeição do pedido para suspender os efeitos da decisão do Tribunal Superior Eleitoral (TSE) que cassou seu mandato e o tornou inelegível. A ministra Cármen Lúcia acompanhou o relator, Cristiano Zanin, nesta segunda-feira,...","A Primeira Turma do Supremo Tribunal Federal (STF) tem unanimidade para negar o recurso apresentado pela defesa do ex-deputado estadual Rodrigo Bacellar (União), do Rio de Janeiro, contra a rejeição do pedido para suspender os efeitos da decisão do Tribunal Superior Eleitoral (TSE) que cassou seu mandato e o tornou inelegível.



A ministra Cármen Lúcia acompanhou o relator, Cristiano Zanin, nesta segunda-feira, 20. Os ministros Flávio Dino e Alexandre de Moraes já haviam acompanhado.



00:00 / 01:00 oantagonista fullScreen



A Primeira Turma iniciou na sexta-feira, 17, em plenário virtual, o julgamento do agravo regimental. O julgamento está previsto para ir até 28 de abril.



Nunca foi tão fácil estar bem informado Siga nosso canal no WhatsApp Inscreva-se



Bacellar foi presidente da Assembleia Legislativa do Rio de Janeiro de 2 de fevereiro de 2023 a 3 de dezembro de 2025. Ele teve o mandato cassado pela TSE, em 24 de março, sob acusação de abuso de poder político e econômico nas eleições de 2022. A decisão também o tornou inelegível.



O caso envolve contratações temporárias em órgãos estaduais, que, segundo o TSE, teriam sido usadas para beneficiar aliados políticos.



Em 26 de março, a defesa de Bacellar pediu ao STF a suspensão dos efeitos da decisão do TSE. Os advogados buscavam manter o deputado estadual no cargo até o fim da tramitação do caso no Supremo.



Eles alegaram violação a princípios constitucionais, como devido processo legal e ampla defesa, além de risco de danos com a execução imediata da decisão.



Em 27 de março, porém, Zanin negou o pedido. O magistrado afirmou que ainda há possibilidade de reexame do caso no próprio TSE.



“Não se encontram esgotadas as vias recursais cabíveis”, escreveu. Segundo o ministro, “é prematura a concretização do recurso extraordinário”.



O agravo regimental contra esta decisão foi apresentado no último dia 31.



Voto de Zanin



No voto apresentado nesta sexta, Zanin afirma que diante dos fundamentos da decisão alvo do recurso e pelo fato de não ter ocorrido nenhuma mudança em relação a situação processual quanto à interposição de eventual recurso extraordinário e de seu juízo de admissibilidade pelo TSE, entende ser o caso de “manter a negativa da medida cautelar por seus próprios fundamentos”.



Prisão



Além da esfera eleitoral, Bacellar é alvo de investigação criminal.



Ele foi preso em 27 de março, em Teresópolis (RJ), por ordem do ministro Alexandre de Moraes, no âmbito de apurações sobre vazamento de informações","Por unanimidade, Primeira Turma do STF mantém cassação de Bacellar",2026-05-30T00:45:47.094268Z,pedro,NEUTRO,Neutro
21,1,2026-05-30T02:09:12.445289Z,21,"** A notícia sobre a pesquisa Datafolha não apresenta um viés ideológico explícito, mas sim uma abordagem neutra e descritiva dos resultados da pesquisa.",84.562,Ex-governador aparece atrás de Lula e Flávio Bolsonaro em cenário estimulado da pesquisa,"O ex-governador de Minas Gerais Romeu Zema (Novo) registrou 4% das intenções de voto em um cenário de primeiro turno da eleição presidencial, segundo pesquisa Datafolha divulgada neste sábado, 11. O número representa leve queda em relação ao levantamento anterior, quando ele aparecia com 5%.



No cenário estimulado, Zema fica atrás do presidente Lula (PT), que lidera com 39%, e do senador Flávio Bolsonaro (PL), com 35%.



00:00 / 01:00 oantagonista fullScreen



Em seguida aparecem Ronaldo Caiado (PSD), com 5%, Renan Santos (Missão), com 2%, e Aldo Rebelo (DC) e Cabo Daciolo (Mobiliza), ambos com 1%.



Nunca foi tão fácil estar bem informado Siga nosso canal no WhatsApp Inscreva-se



Também foram registrados 10% de votos em branco, nulo ou em nenhum dos candidatos, enquanto 4% afirmaram não saber em quem votar.



A pesquisa ouviu 2.004 eleitores em 137 municípios entre 7 e 9 de abril, com margem de erro de dois pontos percentuais.



Leia também: Lula empata com Flávio, Zema e Caiado em 2º turno, diz Datafolha



Rejeição e desconhecimento



No recorte de rejeição, 17% dos entrevistados dizem não votar em Zema de forma alguma, mesmo índice de Renan Santos.



Lula lidera a rejeição, com 48%, seguido por Flávio Bolsonaro, com 46%.



Zema também aparece com alto índice de desconhecimento: 56% afirmam não conhecê-lo.



O percentual é semelhante ao de Caiado, com 54%, enquanto Lula e Flávio têm os maiores níveis de conhecimento, de 99% e 93%, respectivamente.



Zema ‘convida’ Flávio para ser vice



Pré-candidato à Presidência, o senador Flávio Bolsonaro publicou nas redes sociais um vídeo em que aparece ao lado do ex-governador Romeu Zema, que sugere, em tom de brincadeira, que o parlamentar seja seu vice em uma eventual disputa presidencial.



“Será?”, questionou Flávio em tom descontraído.



Em seguida, os dois pré-candidatos brindam.



Na última quinta-feira, Zema voltou a descartar integrar a chapa de Flávio como vice-presidente.



“Levarei minha pré-candidatura até o final”, disse em entrevista à Rádio Gaúcha. Segundo ele, nunca houve “pedido formal” nem conversa sobre o assunto.","Zema tem 4% no primeiro turno, aponta Datafolha",2026-05-30T02:09:12.445289Z,todos,NEUTRO,Neutro
26,1,2026-05-31T01:27:23.867660Z,25,"** A notícia sobre a reabilitação de Jair Bolsonaro após cirurgia não apresenta um viés ideológico explícito, mas pode ser interpretada como tendenciosa devido à abordagem dos fatos.",131.898,"Jair Bolsonaro (PL) segue internado no hospital DF Star, onde deu inicio neste sábado (2) à reabilitação motor após passar por uma cirurgia de reparo","O ortopedista Alexandre Firmino afirmou que Bolsonaro pode ter alta na segunda-feira (4), voltando a cumprir pena de prisão domiciliar na mansão do condomínio Solar de Brasília.



00:00 A+ A-



Ler o resumo da notícia Jair Bolsonaro iniciou, neste sábado (2), reabilitação motora após cirurgia artroscópica no manguito do ombro direito, no Hospital DF Star.



O ex‑presidente, cumprindo pena de 27 anos e 3 meses, permanece internado em apartamento hospitalar e pode receber alta na segunda‑feira (4) para prisão domiciliar no condomínio Solar, em Brasília.



A operação ocorreu um dia após acordo entre Flávio Bolsonaro e o presidente do Senado, Davi Alcolumbre, que derrubou o veto de Lula ao PL da Dosimetria, projetado para reduzir a pena.



Especialistas estimam que o PL pode antecipar a passagem de Bolsonaro ao regime semiaberto, previsto para 2033, mas o cálculo definitivo ficará a cargo do STF.



Jair Bolsonaro (PL) segue internado no hospital DF Star, onde deu inicio neste sábado (2) à reabilitação motor após passar por uma cirurgia de reparo artroscópico do manguito, no ombro direito.



Segundo boletim médico, o ex-presidente, condenado a 27 anos e 3 meses de prisão, “apresentou boa evolução e bom controle álgico”, em relação às dores no local.



“No momento, segue internado em apartamento para analgesia, medidas de prevenção de trombose e iniciará protocolo de reabilitação motora e funcional”, diz o texto.



Em entrevista mais cedo à CNN, o ortopedista Alexandre Firmino afirmou que Bolsonaro pode ter alta nesta segunda-feira (4), voltando a cumprir pena de prisão domiciliar na mansão do condomínio Solar de Brasília.



Pena reduzida



A nova intervenção de Bolsonaro aconteceu um dia após o acordão firmado entre o filho, Flávio Bolsonaro (PL), e o presidente do Senado, Davi Alcolumbre (União-AP), derrubar o veto de Lula ao PL da Dosimetria, um projeto cunhado para regredir a pena de 27 anos e 3 meses imposta ao líder da tentativa de golpe de Estado, permitindo assim uma “anisti","Bolsonaro inicia reabilitação após cirurgia no ombro, diz boletim médico",2026-05-31T01:27:23.867660Z,todos,ESQUERDA,Neutro
29,1,2026-05-31T01:36:25.126686Z,28,"** A notícia apresenta uma análise crítica da queda na popularidade do presidente Lula e seu governo, destacando a perda de apoio entre os mais pobres e eleitores do Nordeste, o que sugere um viés ideológico conservador.",32.957.099.999.999.900,"Uma pesquisa presencial e nacional realizada neste mês de janeiro, conforme reportagem do UOL, revela uma queda histórica na popularidade do presidente Luiz Inácio Lula da Silva (PT) no início de seu terceiro mandato. O levantamento apontou que a aprovação do governo perdeu cinco pontos percentuais desde dezembro, resultando em um saldo","Uma pesquisa presencial e nacional realizada neste mês de janeiro, conforme reportagem do UOL, revela uma queda histórica na popularidade do presidente Luiz Inácio Lula da Silva (PT) no início de seu terceiro mandato. O levantamento apontou que a aprovação do governo perdeu cinco pontos percentuais desde dezembro, resultando em um saldo negativo inédito para o líder petista.



CONTINUA APÓS A PUBLICIDADE



Os cinco pontos perdidos entre os que avaliavam positivamente o governo não migraram para os que consideram a gestão regular. Pelo contrário, eles engrossaram o índice de rejeição, disparando por completo a avaliação de rejeição. Isso gerou um saldo negativo de dez pontos, colocando Lula em uma situação de declínio: pela primeira vez desde sua posse em 2003, há mais brasileiros considerando seu governo ruim ou péssimo do que ótimo ou bom.



Nem mesmo no auge da crise do mensalão, em 2005, Lula havia enfrentado um cenário tão adverso. Naquele momento, sua popularidade negativa chegou a superar a positiva por três pontos, mas dentro da margem de erro. Agora, a diferença está consolidada fora desse intervalo, marcando um fato inédito nos dez anos de Lula no poder.



O dado mais alarmante da pesquisa é que a queda de popularidade foi expressiva entre os principais pilares do eleitorado de Lula:



• Mais pobres;



• Menos escolarizados;



• Moradores do Nordeste.



Esses segmentos, conforme o TSE, que foram cruciais para sua vitória contra Jair Bolsonaro em 2022, apresentaram as maiores reduções na aprovação, expondo rachaduras na base mais fiel do presidente.



Um dos principais acontecimentos políticos recentes foi a repercussão da proposta de monitoramento de transações de baixo valor no Pix, anunciada pela Receita Federal. O movimento gerou forte rejeição nas redes sociais e foi amplificado por vídeos de figuras como o deputado Nikolas Ferreira (PL-MG), cujo conteúdo viralizou a ponto de alcançar números superiores à população brasileira. A resposta tardia e confusa do gove",Aprovação do governo desaba após ‘monitoramento do PIX’ e Lula perde apoio entre mais pobres e eleitores do Nordeste,2026-05-31T01:36:25.126686Z,pedro,DIREITA,Direita
31,1,2026-05-31T01:48:53.394029Z,30,"** A notícia sobre a pesquisa que avalia a gestão interina do desembargador Ricardo Couto no governo do estado do Rio de Janeiro não apresenta um viés ideológico explícito, mas pode ser interpretada como tendenciosa em relação à linha editorial do portal.",99.485,"Levantamento Futura/Apex mostra apoio de fluminenses a Ricardo Couto, enquanto Alerj pressiona STF por Douglas Ruas","Pesquisa Futura/Apex divulgada nesta quarta-feira, 6, indica que 52,9% dos eleitores fluminenses aprovam a gestão interina do desembargador Ricardo Couto, presidente do Tribunal de Justiça do Rio (TJ-RJ), à frente do governo do estado.



Outros 38,5% desaprovam o desempenho, enquanto 8,6% não souberam ou preferiram não responder.



00:00 / 01:00 oantagonista fullScreen



Na avaliação qualitativa da gestão, 31,6% classificam o governo como “ótimo/bom”, 31,3% como “regular” e 27,9% como “ruim/péssimo”.



Nunca foi tão fácil estar bem informado Siga nosso canal no WhatsApp Inscreva-se



O levantamento ouviu 1.000 eleitores entre os dias 22 e 24 de abril. A margem de erro é de 3,1 pontos percentuais, com nível de confiança de 95%.



Vacância



Ricardo Couto assumiu o governo interinamente após uma sequência de vacâncias iniciada com a renúncia do ex-governador Cláudio Castro (PL).



A linha sucessória ficou esvaziada desde que o seu ex-vice, Thiago Pampolha, foi indicado ao Tribunal de Contas do Estado (TCE-RJ). Naturalmente, a cadeira seria assumida pelo deputado estadual Rodrigo Bacellar, ex-presidente da Assembleia Legislativa do Rio, a Alerj.



No entanto, o influente político de Campos dos Goytacazes acabou sendo preso por vazamento de informações de operação contra o deputado TH Joias, ligado ao Comando Vermelho (CV).



Alerj quer Ruas



A Assembleia Legislativa do Rio de Janeiro (Alerj) cobra maior celeridade ao Supremo Tribunal Federal (STF) na definição do modelo de eleição-tampão para o Executivo fluminense.



Isso porque o deputado estadual Douglas Ruas, do PL, venceu a eleição para presidente da Casa.



Com isso, a sigla…



Siga a leitura em Crusoé. Assine e apoie o jornalismo independente.","Crusoé: Governador interino do RJ é aprovado por 53%, indica pesquisa",2026-05-31T01:48:53.394029Z,pedro,NEUTRO,Direita
32,1,2026-05-31T01:50:27.742177Z,31,"** A notícia apresenta uma narrativa que prioriza a defesa do território iraniano e a reação militar contra os EUA e Israel, o que é coerente com a linha editorial de ESQUERDA/PROGRESSISTA.",8.694.500.000.000.000,Teerã reforça estratégia militar após ataques e ultimato de Donald Trump,"247 - O Irã intensificou sua postura militar ao mobilizar mais de um milhão de combatentes para enfrentar uma possível ofensiva terrestre dos Estados Unidos. A medida ocorre em meio ao agravamento das tensões regionais, com operações de retaliação conduzidas pela Guarda Revolucionária Islâmica (IRGC) e um cenário de alerta máximo na defesa do território iraniano.



As informações foram divulgadas pela rede Telesur, com base em dados da agência iraniana Tasnim, que apontam um aumento significativo na mobilização militar e no engajamento de voluntários em resposta à agressão conjunta dos EUA e de Israel.



De acordo com fontes militares, há um forte engajamento das tropas terrestres, que estariam preparadas para reagir a qualquer tentativa de invasão. O relatório indica que os combatentes estão dispostos a transformar o território iraniano em um “inferno histórico” para as forças invasoras, caso haja avanço militar pela fronteira sul do país.



Além do contingente já organizado, centros ligados à Força Basij, à Guarda Revolucionária e ao Exército registraram milhares de inscrições de voluntários, sobretudo jovens, interessados em participar da defesa nacional. Uma fonte militar afirmou que, diante da possibilidade de intervenção, “nossos combatentes estão prontos para demonstrar que o território iraniano será o fim de qualquer estratégia de invasão”.



Nova onda de ataques amplia escalada militar



Paralelamente à mobilização terrestre, a Guarda Revolucionária iniciou sua 82ª onda de operações retaliatórias contra alvos associados à coalizão entre Estados Unidos e Israel. A ofensiva incluiu o uso de mísseis e drones avançados, com impactos reportados em sistemas militares e centros logísticos na região.



Entre os alvos atingidos, estão sistemas de defesa Patriot no Bahrein e instalações estratégicas na Arábia Saudita. Também foram relatados ataques com drones contra equipamentos militares na base de Ali al-Salem, incluindo hangares e depósitos de combustível.



No confronto",Irã mobiliza mais de 1 milhão de combatentes para defesa terrestre contra EUA,2026-05-31T01:50:27.742177Z,pedro,ESQUERDA,Esquerda
34,1,2026-05-31T02:05:22.687078Z,33,"** A notícia apresenta uma abordagem objetiva e descritiva sobre a pesquisa do Instituto Sou da Paz, sem tomar partido ou promover uma ideologia específica.",730.062,Pesquisa mostra que brasileiros mais endossam que rejeitam medidas com foco em eficácia e inteligência,"A maioria dos brasileiros discorda de ações de enfrentamento ou políticas punitivistas como as medidas principais para combater a violência no país. Pesquisa do Instituto Sou da Paz , divulgada na segunda-feira (18), mostra mais endosso do que resistência a ideias que priorizam a eficácia e a inteligência.



Um exemplo é a reação dos entrevistados ao ouvirem a frase “bandido bom é bandido morto”. Ideia consolidada entre os defensores da “linha dura” na área da segurança pública, a mensagem foi apoiada por 20%. Outros 73% concordaram com outra ideia: “nenhum bandido é bom, todos devem ser julgados, punidos e presos”.



O levamento, conduzido pela OMA Pesquisa, apresentou aos entrevistados duas frases sobre o mesmo tema. Em seis das sete mensagens testadas, o instituto identificou um descompasso entre as respostas majoritárias e as consideradas um “posicionamento estabelecido”, que em geral dominam o debate público e influenciam muitas das propostas para segurança pública.



“Há uma ideia de que as pessoas querem esse discurso populista. [Com a pesquisa] vemos que há espaço no debate para outras medidas, para outras respostas. A população não está dizendo que quer passar a mão na cabeça do criminoso. No entanto, se não cobrarmos ações diferentes, ficaremos rodando em falso”, afirma a diretora-executiva do Instituto Sou da Paz, Carolina Ricardo.



Foram entrevistadas, em novembro do ano passado, 1.115 pessoas, com idade acima de 16 anos, de 40 municípios de todas as macrorregiões. A margem de erro é de três pontos percentuais e o nível de confiança, 95%.



Em relação ao armamento da população, 73% concordaram que “com mais armas vai ter mais mortes, mais violência”. Em contraposição, 21% preferiram a frase “armar a população aumenta a segurança”.



O apoio ao uso das câmeras corporais nas fardas dos policiais chegou a 82%. Na eleição de 2022 para o governo de São Paulo, o assunto foi presente no debate, com parte dos candidatos contrários ao equipamento, entre eles o governa","Maioria rejeita ideia de que 'bandido bom é bandido morto', diz Sou da Paz",2026-05-31T02:05:22.687078Z,pedro,ESQUERDA,Neutro
35,1,2026-05-31T14:08:58.397625Z,34,"** A notícia apresenta uma declaração do delegado da Polícia Federal (PF) Fábio Shor ao Supremo Tribunal Federal (STF), que afirma existirem investigações em curso para identificar outros envolvidos na tentativa de golpe de Estado ocorrida em 2022. A notícia não apresenta uma narrativa crítica ou denunciante, mas sim relata fatos e declarações feitas durante a audiência.",43.397.998,Delegado Fabio Shor confirma existência de investigações em andamento e cita plano operacional para prender o ministro Alexandre de Moraes.,"O delegado da Polícia Federal (PF) Fábio Shor afirmou nesta terça-feira (22) ao Supremo Tribunal Federal (STF) que ainda há investigações em curso para identificar outros envolvidos na tentativa de golpe de Estado ocorrida em 2022. A declaração foi dada durante audiência de instrução da Ação Penal 2696, que apura a atuação de integrantes do chamado “núcleo 3”, acusado de planejar ações operacionais contra autoridades públicas.



CONTINUA APÓS A PUBLICIDADE



Segundo Shor, “existem investigações ainda em andamento em relação à identificação de outras pessoas que atuaram no campo operacional”. A fala ocorreu em resposta a questionamentos da defesa do policial federal Wladimir Matos Soares, um dos réus do processo. A Procuradoria-Geral da República (PGR) aponta esse núcleo como responsável por ações táticas e tentativas de pressionar o alto comando das Forças Armadas a aderir a um golpe para manter o ex-presidente Jair Bolsonaro (PL) no poder após as eleições de 2022.



Durante o depoimento, o delegado externou informações já presentes no relatório final da PF, incluindo o monitoramento de autoridades, como o então presidente eleito Luiz Inácio Lula da Silva (PT), e a existência de uma equipe pronta para prender o ministro Alexandre de Moraes. “Como nós expusemos no relatório final, havia uma equipe operacional que estava pronta para prender e executar o ministro Alexandre de Moraes”, afirmou.



Wladimir Matos Soares, além de ser acusado de compartilhar dados sobre a segurança de Lula com aliados do ex-presidente Bolsonaro, teria declarado em áudios que “mataria meio mundo” pelo ex-chefe do Executivo. Ele também teria mencionado a formação de um grupo armado para prender ministros do STF, com uso potencial de força letal. Além do policial, outros nove militares do Exército integram o núcleo investigado na ação penal.",PF afirma ao STF que ainda há suspeitos a serem identificados na suposta tentativa de golpe,2026-05-31T14:08:58.397625Z,pedro,ESQUERDA,Neutro
