titulo,subtitulo,texto,data,url,portal
Amadorismo e delírios conspiratórios marcam primeiros passos da política externa de Bolsonaro,"Os sinais enviados por Bolsonaro ao mundo é de puxa-saquismo em relação aos EUA, o que contradiz o lema ""Brasil acima de tudo"" que marcou sua campanha.","Foto: The Intercept Brasil

Quando Trump ligou para parabenizar Bolsonaro pela eleição, não havia nenhum integrante da campanha preparado para traduzir a conversa. O filho de um empresário amigo do presidente eleito foi escalado para a missão. A primeira conversa entre o presidente eleito e o presidente da economia mais forte do mundo foi intermediada por um youtuber de 24 anos. Parece uma cena de filme do Mazzaropi, mas é o jeitinho estabanado com que o bolsonarismo tem lidado com a política externa.

Bolsonaro mal foi eleito e já apresentou seu cartão de visitas para o mundo. E a primeira impressão não foi nada boa. Apesar do seu programa de governo prometer uma política externa “sem partido”, o que vimos até agora é ideologismo puro e simples. O capitão falastrão e seus comandados ainda não se deram conta de que não há mais espaço para retórica eleitoral e já colocaram o país em muitas saias justas mesmo antes de assumir o poder.

Como aquele tiozão do churrasco que não sabe de nada, mas tem uma opinião ruim para tudo, Bolsonaro e sua equipe causaram estragos nas relações com diversos países. Criticaram a China, o Mercosul, criaram atrito com os países árabes e ameaçaram sair do Acordo de Paris. “Mas ele tem voltado atrás de quase todas essas decisões, talquei?” Acontece que não é mais possível dizer e desdizer a todo momento como fez durante a campanha, mas Bolsonaro continua fazendo. No âmbito das relações internacionais, declarações têm efeitos imediatos e criam fatos políticos. Ficar apertando “Ctrl + Z” só reforça o quanto o novo governo desconhece questões básicas das relações exteriores.

Mesmo sabendo que diplomacia não é o forte da turma, ainda assim é espantoso ver o desdém com que tratam importantes parceiros comerciais, principalmente no momento em que a economia brasileira luta para sair do buraco.

Mercosul

“Mercosul, como foi feito, é totalmente ideológico. É uma prisão cognitiva. De novo: pergunta mal feita. (…) Mercosul não é prioridade. É isso ",2018-11-11,https://www.intercept.com.br/2018/11/11/amadorismo-e-delirios-conspiratorios-marcam-primeiros-passos-da-politica-externa-de-bolsonaro/,interceptbrasil
Sol Prieto: 'Políticas de gênero favorecem macroeconomia',Sol Prieto narra conquistas da pasta que liderou no Ministério da Economia da Argentina e desafios para políticas de gênero sob Javier Milei.,"No final de 2019, foi criada na Argentina a Direção Nacional de Economia, Igualdade e Gênero do Ministério da Economia. Era um espaço institucional com um desafio fundamental: pensar a economia com uma perspectiva de gênero. Além da vontade política, esse espaço, assim como outros, foi conquistado graças a uma longa tradição de lutas do movimento feminista argentino.

Para entender o saldo gerado pela pasta nos quatro anos de gestão do ex-presidente Alberto Fernández e como a economia feminista sofrerá com o extremista de direita Javier Milei, o Intercept Brasil conversou com a socióloga e cientista política Sol Prieto. Ela fez parte da direção do órgão desde o início e, em 2022, tomou a frente da equipe, com liderança vaga desde o início do governo Milei.

Os resultados das últimas eleições representam uma mudança de paradigma e grandes desafios para a sociedade argentina, e, em consequência, para os feminismos. No marco de 40 anos ininterruptos de democracia, o Poder Executivo passa a ser encabeçado por aqueles que levaram adiante uma campanha negacionista da última ditadura civil-militar, que assolou o país entre 1976 e 1983.

Apoie o Intercept FAZEMOS JORNALISMO INDEPENDENTE E SEM RABO PRESO COM OS PODEROSOS — EXISTIMOS GRAÇAS A NOSSOS APOIADORES. Apoie o Intercept Hoje

São também aqueles que negam a crise climática, os hiatos de gênero e consideram que o mercado deve ser livre e atuar sem a intervenção do estado. A nova gestão anunciou sua doutrina de choque econômico a uma população que já sofre com uma inflação interanual de 161%. Quarenta e oito horas antes de assumir, o governo anunciou uma desvalorização da moeda de 118%.

A transferência para os preços será traduzida em mais inflação e salários arrasados. E, como a economia feminista nos ensinou há muitos anos, a pobreza e o endividamento afetam, na maior parte das vezes, as mulheres e a população LGBTQIA+.

Ainda não se sabe o que será da Direção Nacional de Economia, Igualdade e Gênero do Ministério da",2023-12-26,https://www.intercept.com.br/2023/12/26/politicas-feministas-beneficiam-macroeconomia-diretora-economia-genero-argentina-sol-prieto/,interceptbrasil
Paolo Demuru: Esquerda precisa unir utopia e vida real no duelo eleitoral contra a extrema direita,"Paolo Demuru, especialista em semiótica, analisa a campanha de Zohran Mamdani e a comunicação dos progressistas para pensar em como disputar com as utopias da extrema direita.","A ESQUERDA PASSOU ALGUNS ANOS SEM SONHAR, mas está na hora de voltar. Esse é o mote do livro “Políticas do encanto” (Editora Elefante, 2024), escrito pelo semioticista italiano radicado no Brasil Paolo Demuru. “A luta da vez é a luta pela maravilha”, ele escreve, defendendo que os progressistas precisam voltar a valorizar a utopia e inventar novas histórias para reconquistar o espaço perdido para a extrema direita e seu populismo conspiratório.

Professor da Universidade Presbiteriana Mackenzie, Demuru usa a semiótica, disciplina que estuda a produção e interpretação de sentidos, para analisar a comunicação política e as histórias contadas pela extrema direita. Para falar de teorias da conspiração, ele pega emprestado o termo “fantasias de conspiração” do coletivo de escritores Wu Ming, que defende que “teoria” é uma palavra muito carregada de racionalismo, e não consegue comunicar o componente mágico presente nas conspirações contemporâneas.

Apoie o Intercept FAZEMOS JORNALISMO INDEPENDENTE E SEM RABO PRESO COM OS PODEROSOS — EXISTIMOS GRAÇAS A NOSSOS APOIADORES. Apoie o Intercept Hoje

QAnon, Illuminati, marxistas culturais que supostamente querem destruir a cultura ocidental de dentro das universidades e produtoras de cinema e complôs globais de substituição étnica aparecem como segredos fantásticos que não só empolgam quem acredita como desviam sua atenção dos reais problemas do mundo. Assim, em vez de mirar o capitalismo e os problemas que ele causa, os conspiracionistas focam em soluções simples — mas não reais — para as crises.

São essas fantasias de conspiração baseadas em ódio que “entregam a experiência do maravilhoso em um mundo onde a maravilha está em falta”, escreve Demuru em “Políticas do encanto”. Histórias que envolvem planos complexos e mistérios guardados a sete chaves incluem as pessoas em algo maior: o semioticista compara o apelo das conspirações com jogar RPG ou obras de arte participativas, como fanfics e peças de teatro que quebram a divis",2026-01-03,https://www.intercept.com.br/2026/01/03/entrevista-paolo-demuru-esquerda-utopia/,interceptbrasil
Ditadura: Crematório em SP foi criado para ocultar cadáveres,Projeto mostra como militares da ditadura tocaram plano de ocultação de corpos no Crematório da Vila Alpina com apoio da prefeitura de São Paulo.,"A ocultação de cadáveres foi apenas um entre tantos crimes cometidos durante a ditadura militar. A prática já havia sido abordada pela Comissão Nacional da Verdade e revelada pela CPI da Vala de Perus, de 1990, realizada após a descoberta de mais de mil ossadas no Cemitério Dom Bosco, em São Paulo. Um detalhe da confissão de um dos agentes da repressão, no entanto, passou quase despercebido pela comissão: o plano da ditadura para construir crematórios onde ocultar cadáveres.

Ex-delegado do Departamento de Ordem Política e Social, o Dops, agente do Serviço Nacional de Informação, o SNI, e membro do esquadrão da morte Le Cocq, Cláudio Guerra foi um dos principais depoentes na Comissão da Verdade sobre os crimes de estado ocorridos durante o regime militar. Hoje pastor evangélico, Guerra revelou em 2014 ser responsável por várias execuções e por incinerar corpos numa usina de açúcar em Campos dos Goytacazes, interior do estado do Rio, em meados dos anos 1970.

Apoie o Intercept FAZEMOS JORNALISMO INDEPENDENTE E SEM RABO PRESO COM OS PODEROSOS — EXISTIMOS GRAÇAS A NOSSOS APOIADORES. Apoie o Intercept Hoje

Em seu depoimento, ele afirmou que “até 1975, havia um acerto entre o Exército e o administrador do cemitério para que os corpos fossem enterrados clandestinamente” em Perus – onde, já em 1990, 1.049 ossadas foram encontradas em uma vala comum no cemitério local. Mas, segundo ele, devido à opinião pública, esse “esquema” deveria ser alterado. Surgiu, assim, o projeto de um crematório.

“O Cemitério de Perus foi criado para ser um crematório”, confirmou Adriano Diogo, ex-presidente da Comissão da Verdade do Estado de São Paulo. “O projeto só não foi adiante porque a empresa responsável pelos fornos se recusou a construí-los”. O projeto do crematório migrou, então, para a Vila Alpina. Poucos sabem, no entanto, que o Crematório Municipal Dr. Jayme Augusto Lopes foi viabilizado por um conluio entre funcionários municipais e defensores do regime militar. Um deles, que dá ",2022-07-25,https://www.intercept.com.br/2022/07/25/ditadura-crematorio-da-vila-alpina-ocultar-cadaveres/,interceptbrasil
Mamãe Falei mentiu à Jovem Pan para tirar desafeto do Pânico,Áudios inéditos revelam que candidato a prefeito de São Paulo acusou falsamente comediante de tentar invadir a sede do MBL armado.,"O programa Pânico no Rádio foi ao ar com uma novidade na última segunda-feira de janeiro de 2019: a estreia de Felipe Ferreira, ex-militante do Movimento Brasil Livre, o MBL, na bancada. Ferreira chegava a um dos principais produtos da reacionária rádio Jovem Pan após se tornar uma celebridade da internet como integrante do canal de humor disfarçado de noticiário chamado Jacaré de Tanga.

Com apenas 20 anos de idade, Ferreira reunia milhares de seguidores no YouTube, produzindo informações – não raro distorcidas ou falsas – que alimentavam a base bolsonarista na internet. Além de ganhar dinheiro com a propaganda que o Google veiculava no canal, o Jacaré de Tanga também recebeu pagamentos do PSL (então o partido de Jair Bolsonaro) e pelo PRTB, ainda hoje legenda do vice Hamilton Mourão.

Em um grupo num aplicativo de mensagens, os líderes nacionais do MBL se agitaram com a aparição de Ferreira no Pânico. Arthur do Val (nome do youtuber e empresário Mamãe Falei, deputado estadual pelo Patriota e pré-candidato à prefeitura de São Paulo) e os irmãos Renan e Alexandre Santos, fundadores do MBL, começam a tramar um plano para tirar o comediante do Jacaré de Tanga da Jovem Pan.

Apoie o Intercept FAZEMOS JORNALISMO INDEPENDENTE E SEM RABO PRESO COM OS PODEROSOS — EXISTIMOS GRAÇAS A NOSSOS APOIADORES. Apoie o Intercept Hoje

Era um ódio antigo. Ferreira saiu do MBL atirando. Gravou vídeos acusando os ex-colegas, entre outras coisas, de serem vassalos do governo de Michel Temer e terem o “nome sujo”, motivo pelo qual Alexandre e Renan Santos não teriam registrado o movimento quando o fundaram (Ferreira não apresentou provas das acusações). Além disso, o fundador do Jacaré de Tanga, o advogado Cléber dos Santos Teixeira, acusou Fernando Holiday de caixa dois na campanha que elegeu o jovem vereador em São Paulo. Teixeira havia sido defensor engajado de Holiday.

A briga entre os ex-aliados no MBL chegou aos tribunais após Ferreira publicar no YouTube uma ligação a Alexandre Sa",2020-09-28,https://www.intercept.com.br/2020/09/28/mamae-falei-mbl-crime-jovem-pan-panico/,interceptbrasil
Silvio Almeida: ex-aluna relata assédio antes de banca de TCC,"Ex-estudante de Direito relata que Silvio Almeida, então professor e membro da banca de monografia, insistiu para sair com ela em 2009.","Quando Carla atendeu o telefone, ela reconheceu de imediato a voz do outro lado da linha: era Silvio Almeida. O ano era 2009 e Almeida havia sido seu professor durante dois anos na graduação de Direito na Universidade São Judas Tadeu, em São Paulo. “Oi, tudo bem? Sabe quem está falando?”, teria perguntado ele.

Quinze anos depois, Carla reviveu aquele momento em entrevista ao Intercept Brasil. “Eu obviamente reconheci a voz, eu escutava ela todos os dias”, ela me disse.

Your browser does not support the video tag.

O ex-ministro Silvio Almeida foi demitido da pasta de Direitos Humanos na sexta-feira, 6, após denúncias de assédio sexual e moral praticados dentro da pasta virem à tona.

A existência das denúncias foi confirmada pela organização Me Too, uma organização sem fins lucrativos que apoia vítimas de assédio sexual. Mas Carla relata ter sido assediada por Almeida muito antes que ele chegasse ao governo.

Carla foi aluna da São Judas Tadeu entre 2005 e 2009. Na época, Silvio Almeida lecionou a disciplina de Filosofia no curso de Direito. No último ano da graduação da estudante, Almeida foi indicado para compor a banca de avaliação de sua monografia final — foi essa a ocasião da ligação, segundo ela.

Carla afirma que Almeida lhe disse no telefone: “acho que a gente devia sair para conversar sobre o seu tema porque eu não quero que você saia prejudicada”. A então estudante desconversou e disse que não tinha tempo pois trabalhava e estudava, lembra.

O professor voltou a ligar outras vezes, segundo ela, mas não “subia o tom”. Apenas reiterava que não queria que a aluna saísse prejudicada, ela lembra. Carla afirma não saber como o professor obteve seu número de telefone.

Na época, Carla contou o ocorrido apenas para as amigas próximas. Ela não buscou a reitoria da universidade por medo e porque não tinha como apresentar provas contra o professor. “Fiquei com medo dele realmente me prejudicar na monografia”, disse ela.

Foram essas amigas que enviaram para Carla ",2024-09-10,https://www.intercept.com.br/2024/09/10/ex-aluna-silvio-almeida-relata-ter-sido-assediada-banca-de-monografia/,interceptbrasil
Lições de como enfrentar Bolsonaro e a extrema-direita sem fortalecê-los,"É preciso confrontá-los com questões sobre segurança, economia e saúde, que demandam respostas complexas, e não dar espaço para proselitismo ideológico.","Diego Padgurschi/Folhapress

No último debate presidencial, o jornalista Reinaldo Azevedo fez uma pergunta bastante simples sobre dívida interna para Bolsonaro, mas que o fez perder o chão. Durante o minuto de resposta, o candidato ficou tenso como se estivesse acabado de ficar nu diante de todo o país. O mito da força e da ordem derreteu ao vivo e se transformou em um garotinho assustado, com olhar vazio. Ficou perdido como o meme do John Travolta. Foi possível enxergar em seu semblante “sofrimento interior”, ‘desequilíbrio emocional” e “angústia”— os mesmos sentimentos que o acometeram quando o deputado do PSB carioca Carlos Minc o chamou de machista, homofóbico e racista, como consta no processo que abriu contra o ex-ministro.

Entre um silêncio interminável e outro, falou qualquer coisa que lhe veio à cabeça, sem nenhuma conexão com a pergunta, e apresentou soluções constrangedoramente infantis como: “fazer com que empregados e patrões sejam amigos, e não inimigos”. Escolhido para comentar a resposta, Ciro Gomes teve a chance de escancarar ainda mais o despreparo de um candidato minúsculo, mas preferiu ser cortês, talvez para não parecer arrogante aos olhos do eleitor. Se uma pergunta trivial sobre economia causou todo esse estrago no emocional de Bolsonaro, não é difícil imaginar como seria o seu comportamento na hora de tomar grandes decisões, administrar conflitos e atender demandas complexas de uma sociedade que passa por crises de toda ordem.

O avanço recente da extrema-direita no mundo tem suscitado discussões sobre como os líderes políticos que emergem desse espectro devem ser abordados. Nos EUA, Europa e agora no Brasil, jornalistas tentam descobrir a melhor maneira de entrevistá-los sem oferecer palanque para suas propostas antidemocráticas. A experiência americana com Trump indica que confrontar os absurdos racistas e homofóbicos, por exemplo, não funciona e só ajuda a alimentar a fúria dos seus seguidores. Primeiro porque o confronto em si é uma das ",2018-08-26,https://www.intercept.com.br/2018/08/26/licoes-de-como-enfrentar-bolsonaro-e-a-extrema-direita-sem-fortalece-los/,interceptbrasil
O novo jeito de fazer política de Bolsonaro já naufragou,"O presidente eleito não quer negociar com os partidos, apenas com seus clubinhos conservadores.","Foto: Mateus Bonomi/Folhapress

Nunca existiu um político eleito que tenha cumprido todas as expectativas oferecidas durante a eleição. É natural da política, mas Bolsonaro certamente levará o chamado “estelionato eleitoral” para um novo patamar. O presidente eleito justificou a nomeação de ministros envolvidos em denúncias afirmando que a “questão ideológica é mais grave do que a corrupção”. Sobre a nomeação de um réu no Supremo, debochou: “Eu também sou réu no Supremo. E daí?”

A estupidez dos comentários já não choca mais ninguém. “Nós já fomos nos acostumando”, como tantas vezes recomendaram os militantes bolsonaristas. Mas vai ficando cada vez mais claro que a bravata moralizadora — a principal arma da campanha eleitoral — serviu apenas para ludibriar os eleitores que acreditaram que o capitão representaria um novo marco ético no país.

Quanto mais vai chegando perto da posse, mais a realidade vai se impondo sobre a bravata. Aos poucos, é possível que parte do seu eleitorado perceba que não é possível “varrer a corrupção” quando quem está com a vassoura na mão distribuiu tetas no serviço público para parentes e repassou grana da JBS para o partido mais corrompido na operação Lava Jato. Não sei se vai adiantar Sergio Moro conceder o perdão para todos os ministros. Um dos youtubers de estimação do bolsonarismo, Nando Moura, por exemplo, já mostrou insatisfação com a escolha de nomes envolvidos em corrupção nos ministérios.

A promessa de não negociar cargos com partidos também deve naufragar. A demagogia eleitoral não resistirá à realidade. As primeiras tentativas de emplacar um novo tipo de relação entre Executivo e Legislativo já não estão dando certo, como parecia óbvio.

Partidos aliados e o próprio partido de Bolsonaro já se mostram incomodados como excesso de nomeações de políticos do DEM para o primeiro escalão. Segundo a deputada Joice Hasselmann, comenta-se dentro do PSL que o futuro governo parece “ser do DEM”, haja vista os três democratas já nomeados.",2018-11-24,https://www.intercept.com.br/2018/11/24/bolsonaro-bancadas-camara-negociacao/,interceptbrasil
"MBL, Doria e Novo querem distância de Bolsonaro. Mas lembre-se: eles estão sujos de lama.","Quanto mais gente abandona o projeto da barbárie, melhor. Mas a história deve ser contada para que nunca mais o país tope um governo antidemocrático.","Foto: Marcos Côrrea/PR

Ninguém mais está querendo sair na foto ao lado de Bolsonaro. O bonde da barbárie está descendo a ladeira sem freio, e cada vez menos gente está disposta a continuar nessa roubada. Quanto mais pessoas pularem fora, melhor. Embora seja tentador, não podemos nos dar ao luxo de ficar apontando dedos. Que os desertores sejam bem-vindos. Mas também não podemos passar pano. Nem rancor, nem flores. A história precisa ser contada com precisão para que nunca mais o país tope uma proposta declaradamente antidemocrática e fascistoide.

É fundamental que um país seja transparente com sua própria história. A ditadura militar no Brasil, por exemplo, foi mal contada, e os criminosos do regime não foram devidamente julgados e condenados. Esse foi um dos motivos que nos levou a eleger um defensor do legado dos anos de chumbo.

Apoie o Intercept FAZEMOS JORNALISMO INDEPENDENTE E SEM RABO PRESO COM OS PODEROSOS — EXISTIMOS GRAÇAS A NOSSOS APOIADORES. Apoie o Intercept Hoje

Doria, MBL e partido Novo foram apoiadores entusiasmados do bolsonarismo no segundo turno das eleições. Para tirar o PT do poder, o trio liberal calculou que valeria a pena embarcar em um projeto extremista, liderado por um ex-militar que passou a vida como um parasita na Câmara e que colocou toda a sua família para mamar nas tetas do serviço público. Eles consideraram razoável apoiar um candidato que durante sua carreira assumiu ser homofóbico, incentivou a população a sonegar impostos, exaltou a tortura e chamou os direitos humanos de “esterco de vagabundo”. Não foi pouca coisa que eles aceitaram em nome do antipetismo. O “jeito novo de fazer política” abraçou o lado mais caquético e assombroso da velha política na primeira oportunidade. Ninguém irá pular desse barco sem ter manchado a roupa de lama e de sangue.

A afinidade ideológica entre eles não é pequena, é preciso dizer. São muitas as pautas que esses três atores políticos compartilham com o bolsonarismo. Seja na área política, econ",2019-08-04,https://www.intercept.com.br/2019/08/04/mbl-doria-novo-bolsonarismo/,interceptbrasil
A Igreja Universal quer nos calar,Nosso jornalismo incomodou Edir Macedo.,"Edir Macedo e seu império querem intimidar o jornalismo do Intercept. Você não leu errado. Eu te explico: no ano passado, revelamos as entranhas financeiras da Igreja Universal do Reino de Deus e investigamos um suposto esquema bilionário de lavagem de dinheiro.

Agora, a Igreja Universal entrou na justiça pedindo abertura de uma investigação policial por causa da “divulgação sem justa causa” e da quebra de sigilo dos documentos revelados. Mas, veja bem: existimos para revelar os escândalos que os poderosos teimam em esconder de você — essa é a nossa justa causa. Agora teremos que nos defender em nome de todos que acreditam na importância do jornalismo – e não será uma batalha barata.

Nossa investigação revelou um levantamento sigiloso do Ministério Público de São Paulo que mostra como a Igreja Universal embolsou, entre 2011 e 2015, R$ 33 bilhões apenas em depósitos bancários – que nem de longe são a principal fonte de captação da Universal. Entre os depósitos estão transações sob suspeita das autoridades.

Analisamos centenas de documentos para descobrir que o maior beneficiado dessas operações foi o círculo mais próximo do bispo Edir Macedo, líder da igreja. Procurada pela nossa reportagem para comentar as informações do relatório, a Universal jamais se pronunciou. Preferiu judicializar o caso, colocando em risco não só o método de trabalho de nossos jornalistas como também o de toda a imprensa.

A nossa postura – independente e sem amarras – costuma ter um preço alto. Defender a continuidade do nosso trabalho, apenas nesse caso, pode exigir do Intercept centenas de milhares de reais em honorários de advogados e custas processuais, dentro da estrutura de um veículo independente e sem anunciantes. É nossa comunidade de apoiadores que nos dá forças para equilibrar essa batalha desigual.

Nossa equipe esmiuçou transações bancárias entre as mais de 100 empresas que compõem o império econômico de Edir Macedo. Mostramos como funciona a arquitetura financeira secreta da",2023-02-27,https://www.intercept.com.br/2023/02/27/a-igreja-universal-quer-nos-calar/,interceptbrasil
