titulo,subtitulo,texto,data,url,portal
Quem é o ator que foi socorrido após publicar carta de despedida nas redes,"Na publicação feita no Instagram, o artista desabafou sobre dificuldades pessoais","247 - O ator e dublador Clécio Souto foi levado ao hospital na manhã deste domingo (29), após publicar uma carta de despedida em suas redes sociais. As informações foram divulgadas pela coluna da jornalista Fábia Oliveira, do portal Metrópoles.

Na publicação feita no Instagram, o artista desabafou sobre dificuldades pessoais, emocionais e financeiras, levantando preocupação imediata entre amigos, colegas de profissão e seguidores. O conteúdo da mensagem indicava que ele poderia tentar contra a própria vida, o que mobilizou uma rede de apoio para localizá-lo rapidamente.

No texto, Clécio iniciou agradecendo às pessoas que fizeram parte de sua trajetória profissional e pessoal: ""A todos que me apoiaram, curtiram meus trabalhos e me transmitiram tanto carinho, deixo aqui meus mais sinceros agradecimentos. Obrigado à dublagem e a todos os profissionais de dublagem que sempre foram muito gentis e amáveis comigo. Obrigado por me acolherem e por todas as oportunidades. Obrigado aos fãs, por tanto carinho!"".

Em seguida, ele revelou o sofrimento que vinha enfrentando: ""Estou indo embora, pois está doendo muito continuar aqui. A solidão, a tristeza e as dividas (estava trabalhando muito pouco) estão me consumindo"". O artista também expressou sentimentos de inadequação e frustração ao longo da vida: ""Nunca fui feliz, mas disfarcei bem. Sempre achei que não pertencia a este lugar (planeta) e falhei em praticamente todas as minhas tentativas, em todas as áreas da minha vida"".

Na parte final da carta, Clécio se despediu de forma mais direta, reforçando o tom de desespero: ""Cansei de tentar. Sei que estou deixando alguns trabalhos inacabados, mas eu não consigo mais ficar aqui. Me perdoem. Muito obrigado a todos, por tudo. Fiquem bem e em paz. Estou indo buscar a minha paz. ❤️❤️❤️😘"".

A repercussão foi imediata. Nos comentários da publicação, amigos e fãs demonstraram desespero e tentaram mobilizar ajuda. “Avisem os familiares!!!!! Rápido!!”, escreveu um seguidor. “Como assim!",2026-03-30 06:38:42+00:00,https://www.brasil247.com/geral/quem-e-o-ator-que-foi-socorrido-apos-publicar-carta-de-despedida-nas-redes,brasil247
Mearsheimer diz que EUA já perderam guerra contra o Irã e não têm saída clara do conflito,Professor afirma que Donald Trump entrou em uma escalada sem vitória decisiva à vista e alerta para o risco de colapso econômico global,"247 – O cientista político John Mearsheimer afirmou que os Estados Unidos já se encontram em uma posição extremamente desfavorável na guerra contra o Irã e que o presidente Donald Trump, atual presidente dos Estados Unidos, não dispõe de uma saída clara para encerrar o conflito sem sofrer desgaste político e estratégico. A avaliação foi feita em entrevista concedida ao jornalista Glenn Diesen, em conteúdo publicado no YouTube.

Ao longo da conversa, Mearsheimer sustentou que a aposta de Washington e de Israel em impor uma derrota rápida a Teerã fracassou e que a Casa Branca enfrenta agora um problema central: como encerrar uma guerra que não produziu vitória decisiva. “Está bastante claro que a guerra não está indo bem para os Estados Unidos”, disse. Em seguida, resumiu o impasse de forma contundente: “O problema que ele enfrenta é que não consegue encontrar uma saída”.

Guerra de atrito e impasse estratégico

Na avaliação do professor, o erro central da estratégia americana foi supor que os Estados Unidos e Israel controlariam sozinhos o ritmo da escalada, o começo e o desfecho da guerra. Para ele, essa visão ignora um dado elementar da realidade: o Irã também tem capacidade de decisão, meios de resposta e interesse em prolongar o confronto até arrancar concessões.

Mearsheimer argumenta que, sem uma derrota total e inequívoca do Irã, não existe base real para impor termos unilaterais ao país. “Ninguém consegue contar uma história plausível sobre como essa guerra termina”, afirmou. Segundo ele, ao contrário do que imaginavam setores da administração Trump, Teerã não dá sinais de colapso, nem de disposição para capitular diante de bombardeios mais intensos.

O professor acrescentou que o Irã se preparou para absorver ataques de grande escala e que sua lógica tende a ser a da guerra prolongada de desgaste. “Os iranianos têm um incentivo para continuar a guerra, transformá-la em uma guerra prolongada de atrito, e têm os meios para fazer isso”, declarou.

Irã tem meios",2026-03-11 04:01:50+00:00,https://www.brasil247.com/ideias/mearsheimer-diz-que-eua-ja-perderam-guerra-contra-o-ira-e-nao-tem-saida-clara-do-conflito,brasil247
Cuba reage a fala dos EUA e denuncia 'bloqueio punitivo',Cuba reage a declarações dos EUA e denuncia bloqueio econômico e sanções como medidas punitivas,"247 - Cuba voltou a criticar duramente a política de sanções dos Estados Unidos, classificando o bloqueio econômico como uma medida de caráter punitivo, em resposta a declarações recentes de autoridades norte-americanas que negam mudanças na política contra a ilha. A reação foi expressa pelo ministro das Relações Exteriores, Bruno Rodríguez Parrilla, que questionou publicamente a postura de Washington em mensagem divulgada na rede social X.

Rodríguez contestou diretamente a narrativa do governo norte-americano ao afirmar: “Agora, o Governo dos EUA afirma que não tomou qualquer medida ‘punitiva’ contra Cuba. O que é, senão punitivo, o bloqueio econômico? O que é, senão punitiva, a ameaça a qualquer país que exporte combustíveis para Cuba? O que são a perseguição financeira de transacções cubanas em qualquer país, a restrição a navios mercantes que atracam em portos cubanos e a proibição de visitas de norte-americanos a Cuba?”.

O chanceler cubano também questionou a manutenção de mecanismos considerados discriminatórios por Havana, como listas internacionais que classificam países e entidades sob diferentes restrições. “Que objetivo servem listas seletivas e arbitrárias como a dos Estados patrocinadores do terrorismo, a das entidades sujeitas a restrições e a dos locais sujeitos a restrições?”, indagou.

Além das sanções econômicas diretas, Rodríguez denunciou o que classificou como pressões externas sobre países da América Latina e do Caribe. Segundo ele, há tentativas de influenciar governos da região a interromper programas de cooperação médica com Cuba, afetando tanto a economia cubana quanto populações que dependem desses serviços.

O ministro destacou que essas ações têm impacto direto sobre a prestação de assistência médica internacional, considerada um dos pilares da política externa cubana. Para ele, trata-se de uma estratégia que vai além de medidas diplomáticas e econômicas, atingindo também áreas sociais sensíveis. “Uma acção claramente punitiva”, afirmo",2026-03-31 12:11:17+00:00,https://www.brasil247.com/americalatina/cuba-reage-a-fala-dos-eua-e-denuncia-bloqueio-punitivo,brasil247
"“Trump vai perder a guerra com o Irã”, diz Jeffrey Sachs","Trump vai perder a guerra com o Irã, diz Jeffrey Sachs, ao acusar o presidente dos EUA de ampliar uma escalada militar sem saída","247 - Jeffrey Sachs afirmou que Donald Trump e Benjamin Netanyahu estão conduzindo uma escalada militar que, segundo ele, não pode ser vencida e tende a aprofundar a crise no Oriente Médio. Na avaliação do economista, a guerra amplia riscos para toda a região, expõe a vulnerabilidade das monarquias do Golfo e aprofunda um cenário de instabilidade internacional.

Em entrevista ao canal ANI, publicada no YouTube, Sachs fez duras críticas à condução da política externa dos Estados Unidos e disse que Washington e Israel persistem em uma estratégia fracassada de confronto com o Irã. Ao longo da conversa, ele classificou a guerra como desnecessária, acusou a Casa Branca de ignorar alertas técnicos e afirmou que a atual ofensiva está produzindo custos profundos para o mundo.

Segundo Sachs, Estados Unidos e Israel seguem apostando em uma vitória que não virá. Para ele, a insistência em tentar controlar a política interna iraniana é fruto de uma ilusão estratégica, com consequências graves para a segurança regional e global. “Estamos caminhando para uma escalada ainda maior porque os Estados Unidos e Israel estão determinados a vencer uma guerra que não podem vencer”, afirmou.

O economista definiu o conflito como “uma guerra de escolha” e foi além ao dizer que se trata de “uma guerra de capricho”, atribuída por ele a Trump e a Netanyahu. Ainda de acordo com Sachs, a ofensiva é rejeitada pela opinião pública americana e observada com horror em grande parte do mundo. Em um dos trechos mais contundentes da entrevista, ele declarou: “Este é um desastre que está atingindo o mundo inteiro”.

Ao comentar a possibilidade de Arábia Saudita e Emirados Árabes Unidos entrarem diretamente no conflito, Sachs fez um alerta severo. Na visão dele, os países do Golfo estão excessivamente expostos e apostam de forma equivocada na proteção militar americana. “Eles serão destruídos ainda mais rapidamente se entrarem na guerra”, disse. Em seguida, reforçou a avaliação de que instalações petrolí",2026-03-30 14:00:20+00:00,https://www.brasil247.com/entrevistas/trump-vai-perder-a-guerra-com-o-ira-diz-jeffrey-sachs,brasil247
Onda de calor já tem data para acabar; Confira a previsão completa para o feriado,Março foi marcado por temperaturas elevadas e predomínio de sol em grande parte do Brasil,"247 - Após um fim de março marcado por temperaturas elevadas e predomínio de sol em grande parte do Brasil, a semana da Páscoa deve trazer uma virada no tempo. A previsão indica aumento das chuvas e queda nas temperaturas, especialmente nas regiões do Centro-Sul. As informações são da Agência Nottus.

De acordo com os meteorologistas, o último fim de semana de março ainda será de tempo firme e calor em boa parte do país, sobretudo no Sul, Sudeste e Centro-Oeste. Já nas regiões Norte e Nordeste, áreas de instabilidade continuam favorecendo pancadas de chuva mais intensas, mantendo o padrão típico dessas localidades.

A mudança no cenário climático começa a se desenhar a partir do início da semana, com o enfraquecimento de um sistema de alta pressão que vinha garantindo dias de céu aberto. Com a perda de força desse sistema, a atmosfera volta a ficar mais instável, favorecendo a formação de nuvens carregadas e o retorno das precipitações em diversas áreas.

O ponto de maior virada deve ocorrer entre a Sexta-feira Santa e o domingo de Páscoa, com a chegada de uma nova frente fria ao país. Esse sistema deve intensificar as instabilidades e provocar chuvas mais frequentes e distribuídas, principalmente nas regiões Sul, Sudeste e Centro-Oeste.Além da chuva, a frente fria também deve derrubar as temperaturas, amenizando o calor registrado nos últimos dias. A previsão aponta queda entre 4°C e 6°C na Região Sul e entre 3°C e 4°C no Sudeste e Centro-Oeste. Apesar da diminuição, não há expectativa de frio intenso, apenas de um clima mais agradável durante o feriado prolongado.

Por outro lado, nas regiões Norte e Nordeste, os efeitos da frente fria devem ser mais limitados. Nessas áreas, as temperaturas tendem a permanecer estáveis, sem mudanças significativas ao longo do período, embora as chuvas continuem ocorrendo de forma localizada.Com isso, o feriado de Páscoa deve ser marcado por um clima mais ameno e com presença de chuva em grande parte do país, contrastando com o cal",2026-03-31 06:52:06+00:00,https://www.brasil247.com/meioambiente/onda-de-calor-ja-tem-data-para-acabar-confira-a-previsao-completa-para-o-feriado,brasil247
"Brasil mapeia 1,2 milhão de hectares de manguezais e investe R$ 27,4 bilhões pelo Fundo Clima",Plano Clima 2024–2035 orienta redução de 59% a 67% das emissões até 2035 e neutralidade climática até 2050,"247 - O governo federal revelou nesta semana que o Brasil possui 1.229.644 hectares de manguezais distribuídos ao longo de sua costa — número que orienta um conjunto de metas ambiciosas: recuperar 17 mil hectares até 2030, criar seis novas Unidades de Conservação federais até 2028, capacitar 1.500 pessoas e mobilizar R$ 27,4 bilhões pelo Fundo Clima apenas em 2026, o maior orçamento da história do fundo. O Maranhão concentra a maior fatia, com mais de 512 mil hectares, seguido por Pará e Amapá. Do total mapeado, 82% estão sob proteção de Unidades de Conservação. As informações foram divulgadas pelo Ministério do Meio Ambiente e Mudança do Clima durante o evento que também marcou o lançamento do Plano Clima 2024–2035.

O levantamento atualiza o Atlas dos Manguezais Brasileiros publicado em 2018 e foi elaborado com base em imagens do satélite Sentinel-2 captadas em 2024, sob coordenação do MMA e do Ibama, com participação do MapBiomas Brasil. O mapeamento integra o Programa Nacional de Conservação e Uso Sustentável dos Manguezais do Brasil, o ProManguezal, instituído em 2024 para organizar as ações de conservação, recuperação e uso sustentável desses ecossistemas em articulação com o Sistema Nacional do Meio Ambiente.

A ministra do Meio Ambiente e Mudança do Clima, Marina Silva, destacou a importância do programa para a agenda ambiental brasileira. ""Ter iniciativas como o ProManguezal é fundamental para a proteção dos nossos manguezais. O compromisso do Brasil com o oceano e os sistemas costeiros também se concretiza por meio da criação de unidades de conservação, sejam elas de uso sustentável ou de proteção integral"", afirmou. A ministra também classificou o mapeamento como ""um grande investimento na proteção da nossa biodiversidade, dos serviços ecossistêmicos e do enfrentamento da mudança do clima, na defesa das populações locais e tradicionais.""

O presidente do Ibama, Rodrigo Agostinho, explicou a metodologia que tornou o levantamento possível. Para ele, o difer",2026-03-20 23:03:39+00:00,https://www.brasil247.com/meioambiente/brasil-mapeia-1-2-milhao-de-hectares-de-manguezais-e-investe-r-27-4-bilhoes-pelo-fundo-clima,brasil247
Shopee inaugura centro logístico no Rio Grande do Sul e busca aceleração de entregas regionais,Nova unidade no RS reduz prazos de entrega em até 50% e amplia capacidade logística para vendedores e consumidores da região,"247 - A Shopee inaugurou, na terça-feira (31), um novo centro de distribuição no modelo fulfillment no Rio Grande do Sul, reforçando sua estratégia de expansão logística no Brasil. Localizada na região metropolitana de Porto Alegre, a unidade deve reduzir em até 50% o prazo de entrega na região Sul, viabilizando entregas no mesmo dia ou no dia seguinte em cidades como Porto Alegre e Florianópolis.

Com capacidade para armazenar mais de 1 milhão de itens, o novo centro amplia a eficiência operacional da empresa e fortalece a infraestrutura logística regional. A iniciativa também deve gerar mais de mil empregos diretos e indiretos, contribuindo para o dinamismo econômico local.

A inauguração marca a expansão do modelo fulfillment da companhia no país, que passa a contar com quatro centros desse tipo em operação. A unidade no Rio Grande do Sul se soma às estruturas já existentes em São Paulo, Pernambuco e Goiás, ampliando a cobertura e a escala das operações.

O modelo fulfillment centraliza etapas como armazenagem, separação e envio de pedidos, simplificando a logística para os vendedores e permitindo maior foco na gestão e crescimento dos negócios. Ao mesmo tempo, melhora a competitividade ao reduzir prazos e elevar a qualidade da entrega ao consumidor.

De acordo com Felipe Lima, Diretor de Desenvolvimento de Negócios e Operações de Fulfillment da Shopee, a nova estrutura amplia a eficiência logística tanto para consumidores quanto para lojistas. “Com essa inauguração, levaremos ainda mais agilidade nas entregas para os consumidores da região Sul ao mesmo tempo que aceleramos os envios dos itens de vendedores do Rio Grande do Sul para todo o Brasil”, afirmou.

A operação será multicategoria, contemplando produtos de segmentos como moda, beleza e tecnologia. No estado, a empresa já mantém uma rede logística composta por um centro no modelo cross-docking, 12 hubs logísticos e mais de 150 Agências Shopee, que funcionam como pontos de coleta, retirada e logística rever",2026-03-31 15:30:21+00:00,https://www.brasil247.com/brasil/shopee-inaugura-centro-logistico-no-rio-grande-do-sul-e-busca-aceleracao-de-entregas-regionais,brasil247
"Em Juiz de Fora, resgaste do doguinho Pumba comove web: ""toda vida importa"" (vídeo)",O caso ocorreu no bairro Jóquei Clube I e foi divulgado oficialmente pelos próprios bombeiros.,"247 - Um resgate realizado pelo Corpo de Bombeiros Militar de Minas Gerais emocionou moradores e internautas após a corporação divulgar imagens do salvamento de um cachorro que ficou soterrado durante um deslizamento provocado pelas fortes chuvas em Juiz de Fora. O caso ocorreu no bairro Jóquei Clube I e foi divulgado oficialmente pelos próprios bombeiros.

Segundo a corporação, o cão, chamado Pumba, foi localizado entre os escombros após equipes iniciarem buscas na área atingida. O animal estava parcialmente soterrado, mas sobreviveu porque se encontrava dentro de sua casinha no momento do deslizamento, o que pode ter funcionado como uma espécie de proteção contra o impacto da terra e dos materiais que deslizaram.

As imagens mostram o momento em que os militares se aproximam cuidadosamente do local, trabalhando com calma para evitar novos desmoronamentos e garantir a segurança do animal. Uma das patas do cachorro estava presa sob os destroços, exigindo uma retirada lenta e delicada.

Durante o resgate, um dos bombeiros tenta tranquilizar o animal enquanto o estimula a sair.

— ""Vem cá, amigão""

Com paciência e cuidado, os militares conseguiram liberar a patinha do cão, que aos poucos se soltou e deixou o local em segurança, sendo imediatamente acolhido pela equipe de salvamento.

Animais também são vítimas das chuvas

O salvamento de Pumba simboliza uma realidade recorrente em situações de desastre natural: os impactos das tragédias sobre os animais domésticos. De acordo com o balanço divulgado pelas autoridades municipais, ao menos 35 animais já foram resgatados em Juiz de Fora desde o início do período crítico de chuvas.

As ações são realizadas em conjunto pela Secretaria de Bem-Estar Animal, pela Defesa Civil municipal e pelo Corpo de Bombeiros, que atuam tanto no resgate quanto no acolhimento emergencial dos pets encontrados em áreas de risco.

Além das buscas por vítimas humanas, as equipes também percorrem regiões afetadas à procura de animais abandonados, ",2026-02-27 06:50:50+00:00,https://www.brasil247.com/tanostrends/em-juiz-de-fora-resgaste-do-doguinho-pumba-comove-web-toda-vida-importa-video,brasil247
Marina Silva defende multilateralismo na COP15 e pede união entre países além das fronteiras,"Ministra afirma que cooperação internacional é essencial para proteger espécies migratórias, enfrentar a crise climática e conter a perda de biodiversidade","247 – A ministra do Meio Ambiente e Mudança do Clima, Marina Silva, defendeu neste domingo (22) a união entre os países e a reafirmação do multilateralismo durante a abertura da sessão de alto nível que antecede a 15ª Conferência das Nações Unidas sobre Espécies Migratórias de Animais Silvestres, a COP15, em Campo Grande (MS). Segundo a Agência Brasil, a ministra sustentou que o encontro ocorre em um momento decisivo para a cooperação internacional, em meio a um cenário global tensionado por guerras bélicas e também por disputas tarifárias.

Ao destacar o significado político e ambiental da conferência, Marina afirmou que a COP15 pode representar uma resposta coletiva a um contexto internacional marcado por incertezas e medidas unilaterais. “Esses animais silvestres nos ensinam que, tal como a natureza não reconhece fronteiras, a cooperação e a solidariedade também têm o poder de flexibilizá-las em prol do bem comum”, declarou a ministra no discurso de abertura.

A COP15 reunirá representantes de 132 países e da União Europeia, signatários da Convenção sobre a Conservação das Espécies Migratórias de Animais Silvestres, conhecida pela sigla CMS, em inglês. O objetivo central é ampliar a cooperação internacional para enfrentar desafios relacionados à conservação da biodiversidade, especialmente das espécies que atravessam territórios nacionais em seus ciclos naturais de deslocamento.

Defesa do multilateralismo em meio à crise global

Na avaliação de Marina Silva, o encontro em Mato Grosso do Sul transcende a dimensão técnica e ambiental. Para a ministra, a conferência também deve ser compreendida como uma oportunidade política para reafirmar a importância da ação coletiva diante de desafios comuns que nenhum país conseguirá resolver isoladamente.

“Diante de tantas incertezas, a cada dia, agravadas em função de medidas unilaterais, façamos desta COP15 um verdadeiro momento de contundente defesa do multilateralismo, a única forma de resolvermos os nossos problemas”, a",2026-03-23 03:16:22+00:00,https://www.brasil247.com/meioambiente/marina-silva-defende-multilateralismo-na-cop15-e-pede-uniao-entre-paises-alem-das-fronteiras,brasil247
Lula precisa reavaliar sua estratégia para obter o máximo resultado com o esforço adequado,"A imagem que o momento exige é a de um estadista experiente, maduro, que sabe exatamente quando e como intervir","Lula precisa reavaliar sua estratégia para obter o máximo resultado com o esforço adequado A imagem que o momento exige é a de um estadista experiente, maduro, que sabe exatamente quando e como intervir

A política sempre exigiu de seus protagonistas uma resistência que vai além das ideias. É uma arena de corpos, de presenças, de disponibilidade quase ininterrupta, temperada por empenho intelectual fixado na realização dos ideais.

Nesse cenário, o presidente Lula, aos 80 anos, tem feito um movimento admirável: demonstrar vigor é parte da motivação de quem zela pela própria saúde. É razão de justo orgulho, além de exemplo para quem serve de referência para todos.

As agendas densas, as viagens frequentes, os compromissos que se estendem por longas horas e diferentes estados no mesmo dia e até mesmo as imagens de corridas matinais — tudo isso responde a uma lógica de quem harmoniza uma rotina intensa com os cuidados necessários a qualquer idade.

Mas é preciso um olhar mais frio, mais estratégico, para lembrar que governar e disputar uma eleição exigem equilíbrio. São, sobretudo, exercícios de gestão de energia.

O presidente não precisa provar que é um super-homem. Precisa provar que é, como de fato é, o mais experiente e capaz para conduzir o país em um momento crítico da história nacional e mundial. E a experiência, nesse caso, não se traduz na quantidade de compromissos cumpridos em um único dia, mas na qualidade da presença em cada um deles.

O risco da exposição exacerbada é conhecido de todo estrategista: quem se mostra demais, quem acelera o ritmo sem pausas, aumenta geometricamente a margem para o erro. E aqui não se trata de fragilidade, mas de inteligência de movimento.

O ambiente midiático, vale lembrar, não é neutro. O campo adversário, alimentado por uma mídia cujo viés antilulista ficou escancarado mais uma vez no infame PowerPoint da Globonews, aguarda cada deslize como quem aguarda um ponto de virada.

E, quando um erro acontece — ou mesmo quando um",2026-03-28 10:17:22+00:00,https://www.brasil247.com/editoriais247/lula-precisa-reavaliar-sua-estrategia-para-obter-o-maximo-resultado-com-o-esforco-adequado,brasil247
