titulo,subtitulo,texto,data,url,portal
"O limite da ressignificação em Frankl, por Luiz H. Faria","A logoterapia, núcleo do pensamento de Viktor Frankl, sustenta que o ser humano é fundamentalmente movido pela vontade de sentido","O limite da ressignificação em Frankl diante da experiência de injustiça

Siga o Jornal GGN no Google e receba as principais notícias do Brasil e do Mundo Seguir no Google

por Luiz Henrique Lima Faria

Viktor Frankl (1905–1997) foi um psiquiatra austríaco cuja obra não se limita ao domínio das ideias, mas se firma na experiência concreta do limite humano. Sobrevivente dos campos de concentração nazistas, no contexto do Holocausto, Frankl escreveu não a partir da distância confortável da teoria, mas da convivência direta com a desintegração das condições mais elementares da existência. Em Man’s Search for Meaning (1946), sua reflexão se orienta pela investigação rigorosa, embora sensível, acerca de como, mesmo imerso em circunstâncias extremas de dor, privação e desumanização, o indivíduo ainda pode preservar uma dimensão interior de liberdade e dignidade. Trata-se de compreender de que modo o homem, ainda que despojado de quase tudo, permanece capaz de atribuir sentido à própria existência, recusando-se a ser reduzido à condição de mero objeto das circunstâncias que o oprimem.

A logoterapia, núcleo do pensamento de Viktor Frankl, sustenta que o ser humano é fundamentalmente movido pela vontade de sentido, isto é, por uma busca persistente por significados que ultrapassem a mera satisfação instantânea. Em contraste com Sigmund Freud (1856-1939) e Alfred Adler (1870-1937), Frankl recusa reduzir o homem a um feixe de pulsões ou a dinâmicas de dominação, compreendendo-o como um ser capaz de se posicionar diante da própria existência, inclusive quando ela se impõe sob a forma do sofrimento extremo. Nesse mau lugar, destaca-se a noção de liberdade de atitude, entendida como a capacidade propriamente humana de ressignificar a própria experiência, o que, em certos contextos, implica também reajustar expectativas, diante daquilo que não pode ser modificado. Não se trata de uma liberdade condicionada pelas circunstâncias exteriores, mas de uma liberdade interior que permite",2026-04-01 20:44:40+00:00,https://jornalggn.com.br/artigos/o-limite-da-ressignificacao-em-frankl-por-luiz-h-faria/,jornal_ggn
O caso Sicário: perguntas sem respostas,A soma das evidências produz um evento possível — ou apenas uma narrativa conveniente?,"O suposto suicídio de Sicário nas celas da Polícia Federal de Minas Gerais, ainda não está suficientemente esclarecido.

Siga o Jornal GGN no Google e receba as principais notícias do Brasil e do Mundo Seguir no Google

Sicário era o homem das tarefas barras pesadas de Daniel Vorcaro, do pagamento direto de subornos, inclusive a veículos de mídia. Há rumores – enfatizo: por enquanto, apenas rumores—, em Brasilia, do suposto pagamento de R$ 3 milhões a um veículo. Como sempre, a Polícia Federal, sob o comando do Ministro André Mendonça, limitou-se a vazar tentativa de suborno a uma mídia de esquerda.

Tudo o que a PF fez até agora foi mostrar as imagens gravadas da prisão de Sicário a uma jornalista – sem nenhuma experiência em casos criminais – para conseguir seu aval de que não houve interrupção nas gravações, o que atestaria que a causa da morte teria sido o suicídio. Ou seja, deu o aval simplesmente assistindo a gravação, sem nenhum perito isento para atestar a integralidade do vídeo.

Há muito mais interrogações no ar. Uma investigação criteriosa exigiria uma perícia neutra, sem ligações com a PF de Andrei Rodrigues, para analisar os seguintes dados, que levantei junto a especialistas:

1. A cela que permite (ou não permite)

Celas modernas, especialmente para presos sob risco, são desenhadas para não oferecer pontos de ancoragem. Sem ganchos, sem quinas, sem parafusos expostos que suportem carga. Quando aparece um gancho funcional, a primeira pergunta não é “como foi usado?”, mas “por que ele estava ali?”.

Se o ponto de fixação suporta peso e está em altura suficiente para gerar tensão, a possibilidade física existe — ainda que seja uma possibilidade que a própria instituição deveria ter eliminado. Se não suporta, ou se sua posição é incompatível com a cena descrita, a narrativa começa a ruir na base.

2. A camisa como pretexto

Camisetas comuns não são cordas. Rasgam, deformam, cedem. Para que cumpram o papel descrito em relatos de enforcamento, precisariam a",2026-03-24 14:43:36+00:00,https://jornalggn.com.br/politica/o-caso-sicario-perguntas-sem-respostas/,jornal_ggn
"Do Oscar aos unicórnios: O novo capítulo da economia digital brasileira, por Vasconcelos & Görgen","Não enxergamos o digital como cadeia produtiva - e sem isso não conseguimos nomear onde estamos, medir o que perdemos, coordenar estratégia","Do Oscar aos unicórnios

Siga o Jornal GGN no Google e receba as principais notícias do Brasil e do Mundo Seguir no Google

O novo capítulo da economia digital brasileira

por Beatriz Vasconcelos e James Görgen

Nos dois últimos anos, o Brasil foi consagrado na maior premiação do cinema mundial, com o Oscar de melhor filme internacional por Ainda Estou Aqui, de Walter Salles, em 2025, e quatro indicações para O Agente Secreto, de Kleber Mendonça Filho. Poucos dias antes, o IBGE havia divulgado os dados de desempenho do setor de Informação e Comunicação, que cresceu 6,5% em 2025. Esse segmento, que inclui telecomunicações, rádio e televisão, representou 3,6% do PIB nacional. Com a adição de setores como comércio eletrônico, serviços de TI, estima-se que a participação da economia digital alcance quase 10% do PIB nacional, igualando-se à performance da indústria de transformação e atingindo patamares de economias mais complexas do ponto de vista tecnológico.

E, no entanto, acumulamos um déficit de U$ 40 bilhões na balança de TIC em 2024. Sessenta por cento de nossas cargas de dados são processadas fora do país. O mercado de nuvem, que cresce 40% ao ano, é 90% controlado por fornecedores estrangeiros que nos cobram até 138% acima da média global. O mundo movimentou US$ 4,8 trilhões em exportações de serviços digitais em 2024, mas o Brasil participou dessa corrida majoritariamente como consumidor.

Como um país tão presente no digital captura tão pouco valor dele? A resposta começa pelo mais básico: porque ainda não enxergamos o digital como cadeia produtiva – e sem enxergá-la, não conseguimos nomear onde estamos nela, medir o que perdemos, coordenar uma resposta estratégica, nem perceber que a janela para agir está se fechando.

O mapa da economia digital

A economia digital brasileira é tratada como um conjunto de setores separados: o audiovisual como política cultural, as telecomunicações como política de infraestrutura, o software como política industrial, e os dad",2026-03-30 18:32:36+00:00,https://jornalggn.com.br/artigos/o-novo-capitulo-da-economia-digital-brasileira-por-vasconcelos-gorgen/,jornal_ggn
Rotas de Integração Sul-Americana,,"Trata-se de um projeto de cinco rotas de Integração e Desenvolvimento Sul-Americano, que surgiu como uma demanda do presidente Lula após o Consenso de Brasília, que reuniu líderes da América do Sul no dia 30 de maio de 2023 na capital federal, quando decidiram pela retomada da agenda da integração regional.

O Ministério do Planejamento e Orçamento (MPO) desenhou 5 rotas após consultar os 11 Estados brasileiros que fazem fronteira com os países da América do Sul. As rotas têm o duplo papel de incentivar e reforçar o comércio do Brasil com os países da América do Sul e reduzir o tempo e o custo do transporte de mercadorias entre o Brasil e seus vizinhos e a Ásia.

Atualmente, além de visitar cada um dos 11 Estados fronteiriços, o MPO está dialogando com os países da América do Sul sobre cada uma das rotas. Entre os mais de 9,7 mil projetos do Novo PAC, foram identificados 190 com potencial de contribuir com a integração regional.

A seleção dos projetos não pretendeu ser definitiva. O MPO está em diálogo com os governos e a sociedade civil dos Estados fronteiriços e com os países vizinhos para aprimorar as cinco rotas. Além dos recursos orçamentários, as obras de integração no território brasileiro podem contar com um financiamento de US$ 3 bilhões do BNDES (cerca de R$ 15 bilhões), enquanto os bancos regionais de desenvolvimento – Banco Interamericano de Desenvolvimento BID), Banco de Desenvolvimento da América Latina e Caribe (CAF) e Fonplata – disponibilizaram outros US$ 7 bilhões.",2050-02-01 00:00:00,https://projetobrasil.jornalggn.com.br/foruns/topico/estrategia-2050-2/,jornal_ggn
Rotas de Integração Sul-Americana,,"Trata-se de um projeto de cinco rotas de Integração e Desenvolvimento Sul-Americano, que surgiu como uma demanda do presidente Lula após o Consenso de Brasília, que reuniu líderes da América do Sul no dia 30 de maio de 2023 na capital federal, quando decidiram pela retomada da agenda da integração regional.

O Ministério do Planejamento e Orçamento (MPO) desenhou 5 rotas após consultar os 11 Estados brasileiros que fazem fronteira com os países da América do Sul. As rotas têm o duplo papel de incentivar e reforçar o comércio do Brasil com os países da América do Sul e reduzir o tempo e o custo do transporte de mercadorias entre o Brasil e seus vizinhos e a Ásia.

Atualmente, além de visitar cada um dos 11 Estados fronteiriços, o MPO está dialogando com os países da América do Sul sobre cada uma das rotas. Entre os mais de 9,7 mil projetos do Novo PAC, foram identificados 190 com potencial de contribuir com a integração regional.

A seleção dos projetos não pretendeu ser definitiva. O MPO está em diálogo com os governos e a sociedade civil dos Estados fronteiriços e com os países vizinhos para aprimorar as cinco rotas. Além dos recursos orçamentários, as obras de integração no território brasileiro podem contar com um financiamento de US$ 3 bilhões do BNDES (cerca de R$ 15 bilhões), enquanto os bancos regionais de desenvolvimento – Banco Interamericano de Desenvolvimento BID), Banco de Desenvolvimento da América Latina e Caribe (CAF) e Fonplata – disponibilizaram outros US$ 7 bilhões.",2050-02-01 00:00:00,https://projetobrasil.jornalggn.com.br/foruns/topico/estrategia-2050-2/#post-3937,jornal_ggn
Zema renuncia ao governo de Minas Gerais para disputar a Presidência,Mateus Simões (PSD) foi empossado neste domingo (22) na Assembleia Legislativa e deve disputar o governo do estado em 2026,"Romeu Zema (Novo) renunciou ao cargo de governador de Minas Gerais neste domingo (22) para se dedicar integralmente à pré-campanha pela Presidência da República. Com a saída, o vice-governador Mateus Simões (PSD) assume o Executivo estadual.

Siga o Jornal GGN no Google e receba as principais notícias do Brasil e do Mundo Seguir no Google

A cerimônia de posse aconteceu pela manhã na Assembleia Legislativa de Minas Gerais (ALMG). Em pronunciamento no plenário, Simões declarou: “Minas Gerais pode contar com meu tempo, meu trabalho e a minha dedicação integral neste período.” Depois, uma solenidade no Palácio da Liberdade, em Belo Horizonte, formalizou a transferência simbólica do cargo.

Simões é apontado por aliados como provável candidato ao governo de Minas nas eleições deste ano.

Zema anunciou sua pré-candidatura à Presidência pelo Novo em agosto de 2025. Na semana passada, reafirmou a intenção de ir até o fim da disputa como cabeça de chapa e descartou qualquer articulação de aliança com o senador Flávio Bolsonaro (PL) ou com partidos da direita tradicional.

*Com informações do g1.

LEIA TAMBÉM:",2026-03-22 16:28:03+00:00,https://jornalggn.com.br/politica/zema-renuncia-ao-governo-de-minas-gerais-para-disputar-a-presidencia/,jornal_ggn
Ásia pode enfrentar escassez de petróleo nas próximas semanas,"Ataques houthis colocam rota alternativa ao Estreito de Ormuz em perigo; mercado já pressiona preços e teme escassez, especialmente na Ásia","A crise no fornecimento global de petróleo ganhou um novo capítulo após a entrada dos rebeldes houthis no conflito no Oriente Médio, elevando o risco de interrupção em uma das rotas mais estratégicas do mundo.

Siga o Jornal GGN no Google e receba as principais notícias do Brasil e do Mundo Seguir no Google

Por conta do bloqueio do Estreito de Ormuz, a Arábia Saudita passou a desviar milhões de barris de petróleo para o porto de Yanbu, no Mar Vermelho, como alternativa para manter o fluxo global.

Cerca de 4,6 milhões de barris por dia foram embarcados a partir do porto nos últimos dias — mais de três vezes a média de 2025. Contudo, o volume é insuficiente para compensar os cerca de 15 milhões de barris diários afetados pelo fechamento de Ormuz.

Agora, esse “plano B” também está ameaçado: rebeldes houthis, apoiados pelo Irã, ampliaram sua atuação e indicaram que podem atacar embarcações no Estreito de Bab-el-Mandeb, passagem no sul do Mar Vermelho.

A rota já vinha sob pressão desde 2023, quando ataques a navios comerciais forçaram empresas a desviar embarcações por trajetos mais longos, elevando custos com combustível, seguros e frete.

Caso o estreito também se torne inviável, o impacto pode ser imediato. Analistas ouvidos pela CNN norte-americana apontam que o preço do petróleo tipo Brent crude — que já subiu cerca de 50% desde o início do conflito — pode ultrapassar US$ 150 por barril nos próximos meses.

A situação é particularmente crítica para a Ásia, que depende do Oriente Médio para cerca de 60% de seu consumo de petróleo. Países da região já começaram a adotar medidas emergenciais para conter o impacto da crise energética, diante do risco de escassez nas próximas semanas.",2026-03-30 22:00:12+00:00,https://jornalggn.com.br/economia/petroleo-crise-mar-vermelho-houthis-risco-global-2026/,jornal_ggn
"O alerta ao Brasil dos protestos contra Trump, por Gustavo Tapioca","10 milhões saem às ruas em 3.200 atos na maior jornada de protesto dos EUA, e a guerra contra o Irã aprofunda o desgaste do trumpismo","O alerta ao Brasil dos protestos contra Trump nos EUA

Siga o Jornal GGN no Google e receba as principais notícias do Brasil e do Mundo Seguir no Google

por Gustavo Tapioca

Donald Trump começou a enfrentar aquilo que os projetos autoritários mais temem: o instante em que o medo deixa de paralisar e passa a se transformar em resistência de massas. Neste sábado, 28 de março de 2026, milhões de pessoas ocuparam as ruas dos Estados Unidos e de outros países sob o lema “No Kings” — “Sem reis” — em mais de 3.200 atos espalhados pelos 50 estados.

A dimensão da mobilização, descrita por parte da imprensa internacional como uma das maiores da história recente do país, não foi apenas numérica. Foi política. Mostrou que a rejeição ao trumpismo deixou de ser um fenômeno restrito às grandes metrópoles liberais e passou a ganhar densidade nacional.

Não se trata de um detalhe de conjuntura. Trata-se de um sintoma histórico. Quando milhões vão às ruas para dizer “No kings”, o que está sendo recusado não é apenas a retórica inflada de um presidente narcisista. O alvo é um método de governo assentado na concentração de poder, na intimidação institucional, na perseguição a imigrantes, na normalização da força e na guerra como espetáculo de comando.

As ruas perceberam antes de boa parte do establishment aquilo que muitos ainda tentam diluir em eufemismos: Trump não representa apenas uma direita agressiva. Representa uma mutação autoritária do poder nos Estados Unidos.

As ruas romperam o silêncio

A força dos protestos está na escala e na nitidez. Os manifestantes reagiram à escalada militar contra o Irã, às ações repressivas contra imigrantes, ao custo de vida e à erosão das normas democráticas. O Washington Post registrou que esta foi a maior mobilização coordenada da história do próprio movimento “No Kings”. O Guardian foi além e a situou entre as maiores da história americana. Quando uma contestação alcança esse patamar, ela deixa de ser desabafo. Vira advertência.

Não foi um",2026-03-30 12:08:58+00:00,https://jornalggn.com.br/opiniao/o-alerta-ao-brasil-dos-protestos-contra-trump-por-gustavo-tapioca/,jornal_ggn
Bolsonaro terá de explicar acesso a vídeo de Eduardo em rede social,Assessoria de Michelle Bolsonaro nega que o ex-presidente teve acesso a vídeo gravado pelo filho em convenção de conservadores nos EUA,"Preso em regime domiciliar desde a última sexta-feira, o ex-presidente Jair Bolsonaro (PL) tem 24 horas para explicar, por meio de sua defesa, o suposto acesso ao vídeo do filho Eduardo.

Siga o Jornal GGN no Google e receba as principais notícias do Brasil e do Mundo Seguir no Google

A determinação é do ministro Alexandre de Moraes, do Supremo Tribunal Federal (STF), que aceitou a recomendação da Procuradoria Geral da República para converter o regime fechado em domiciliar por motivos humanitários.

De acordo com a decisão do ministro, o ex-presidente foi liberado para tratar um quadro de broncopneumonia em casa, depois de passar duas semanas em um hospital particular em Brasília.

No entanto, Bolsonaro teria de cumprir medidas cautelares rígidas, entre elas o uso de tornozeleira eletrônica, acesso às redes sociais e visitas restritas a familiares próximos.

Mesmo assim, Eduardo Bolsonaro afirmou, durante fala em um evento conservador realizado no Texas, nos Estados Unidos, que estava gravando um vídeo para mostrar ao pai.

“E vou provar a todo mundo no Brasil que você não pode calar um movimento prendendo de forma injusta o líder desse movimento”, diz o ex-parlamentar, que responde a um processo judicial por tentar atrapalhar o julgamento do pai e trama golpista.

A assessoria de Michelle Bolsonaro nega que o ex-presidente teve acesso às imagens. Já Eduardo, em resposta às críticas, questionou o possível descumprimento da medida cautelar.

“Gravei minha entrada no CPAC e disse que meu pai veria as imagens. Eis o ‘crime’, pois argumentam que meu pai não pode ter acesso a redes sociais – e olha que nem disse quando ele as veria. Não se surpreenda”, escreveu.

Advertência

Moraes apontou que o descumprimento de qualquer medida cautelar implicará na revogação da prisão domiciliar e ao retorno imediato ao regime fechado ou ao hospital penitenciário.

Esta não seria a primeira vez que Bolsonaro descumpre medidas cautelares. Em novembro, o ex-presidente se encontrava em",2026-03-30 17:31:52+00:00,https://jornalggn.com.br/justica-2/bolsonaro-tera-explicar-acesso-video-eduardo-rede-social/,jornal_ggn
EUA colocam infraestrutura energética do Irã na mira,Casa Branca pressiona Teerã enquanto guerra eleva tensão no Golfo; ilha de Kharg concentra 90% das exportações iranianas,"O presidente dos Estados Unidos, Donald Trump, ameaçou destruir a infraestrutura petrolífera da ilha de Kharg, principal centro de exportação de petróleo do Irã, caso um acordo não seja fechado “em breve”.

Siga o Jornal GGN no Google e receba as principais notícias do Brasil e do Mundo Seguir no Google

“Grandes progressos foram feitos, mas, se por algum motivo um acordo não for alcançado em breve, o que provavelmente acontecerá, e se o Estreito de Ormuz não estiver imediatamente ‘aberto para negócios’, concluiremos nossa adorável ‘estadia’ no Irã explodindo e obliterando completamente todas as suas usinas de geração de energia elétrica, poços de petróleo e a Ilha de Kharg (e possivelmente todas as usinas de dessalinização), que propositalmente ainda não ‘tocamos'”, disse Trump em sua rede Truth Social.

Localizada a 24 quilômetros da costa iraniana, no norte do Golfo Pérsico, a ilha de Kharg é fundamental para as exportações de petróleo e para a economia do país: com cerca de 8 quilômetros de comprimento e 4 a 5 quilômetros de largura, a ilha abriga uma extensa infraestrutura, incluindo tanques de armazenamento, oleodutos e terminais de carregamento offshore.

Segundo a Euronews, cerca de 90% das exportações de petróleo bruto do Irã saem do país pela ilha, grande parte destinada à China e a outros mercados asiáticos. Os terminais da ilha podem carregar aproximadamente de 1,3 a 1,6 milhão de barris de petróleo bruto por dia, graças ao acesso a águas profundas que permite a atracação de navios petroleiros de grande porte.

Em entrevista, Trump afirmou que os EUA possuem cerca de 3 mil alvos em vista no Irã, mas acrescentou que “um acordo poderia ser fechado rapidamente”. “Estamos indo extremamente bem nessa negociação, mas nunca se sabe com o Irã, porque negociamos com eles e depois sempre temos que destruí-los”, disse.",2026-03-30 19:04:56+00:00,https://jornalggn.com.br/geopolitica/eua-colocam-infraestrutura-energetica-do-ira-na-mira/,jornal_ggn
