titulo,subtitulo,texto,data,url,portal
Defesa brasileira fecha acordo estratégico de mais de R$ 19 mi para avançar sobre mercado global e reduzir dependência do orçamento público,"O governo federal formalizou um acordo de R$ 19,6 milhões para ampliar as exportações da indústria de defesa e segurança, em uma tentativa de fortalecer a","Convênio prevê apoio a empresas em feiras e rodadas de negócios para ampliar presença internacional do setor

DEFESA BRASILEIRA FECHA ACORDO ESTRATéGICO DE MAIS DE R$ 19 MI PARA AVANçAR SOBRE MERCADO GLOBAL E REDUZIR DEPENDêNCIA DO ORçAMENTO PúBLICO

DEFESA BRASILEIRA FECHA ACORDO ESTRATéGICO DE MAIS DE R$ 19 MI PARA AVANçAR SOBRE MERCADO GLOBAL E REDUZIR DEPENDêNCIA DO ORçAMENTO PúBLICO

00:00 A+ A-

Ler o resumo da notícia A matéria fornecida contém apenas a palavra ""defesa"", sem contexto adicional. Para gerar um resumo jornalístico adequado, seria necessário o texto completo da matéria.

Por favor, forneça o texto completo da matéria a ser resumida.

O governo federal formalizou um acordo de R$ 19,6 milhões para ampliar as exportações da indústria de defesa e segurança, em uma tentativa de fortalecer a presença de empresas nacionais no mercado internacional.

O convênio foi assinado na última segunda-feira (30) entre a ApexBrasil e a Abimde, com participação do ministro da Defesa, José Mucio Monteiro.

A iniciativa prevê o apoio a 74 empresas ao longo de dois anos, sendo que parte delas já atua no mercado externo. Entre as ações estão participação em feiras internacionais e realização de rodadas de negócios com compradores estrangeiros.

O objetivo é ampliar a inserção internacional do setor, considerado estratégico. O governo aposta que a expansão das exportações pode dar mais estabilidade à indústria, historicamente dependente do orçamento público.

Durante o evento, o ministro destacou que o fortalecimento do país passa por áreas como educação, ciência e tecnologia, associando esses fatores ao desenvolvimento da defesa.

Dependência do mercado externo

Dentro do governo, a avaliação é de que a exportação é fundamental para a sobrevivência do setor. A indústria de defesa enfrenta limitações no mercado interno e depende de contratos externos para manter escala e continuidade produtiva.

A estratégia também envolve coordenação com o Ministério das Relações Exteri",2026-04-01 06:00:06-03:00,https://revistaforum.com.br/brasil/defesa-brasileira-fecha-acordo-estrategico-de-mais-de-r-19-mi-para-avancar-sobre-mercado-global-e-reduzir-dependencia-do-orcamento-publico/,revista_forum
Lula fala em prisão por alta abusiva dos combustíveis e cobra corte do ICMS,"Lula disse que a guerra no Oriente Médio pressiona os combustíveis, cobrou corte do ICMS e falou em punição para alta abusiva nos preços.","Presidente diz que crise foi provocada pela guerra no Oriente Médio, nega semelhança com Bolsonaro e afirma que acordo com estados está avançado

00:00 A+ A-

Ler o resumo da notícia Lula afirmou que o governo pode prender responsáveis por aumentos abusivos nos combustíveis e pediu que consumidores denunciem postos com cobrança excessiva.

Presidente cobrou dos governadores redução do ICMS, informando que acordo para divisão do custo entre União e estados está avançado.

Lula justificou a alta dos combustíveis pela guerra no Oriente Médio e afirmou que Brasil importa 30% do diesel.

Governo federal reduziu tributos equivalentes a 32 centavos no diesel e orientou fiscalização reforçada em distribuidoras e postos.

O presidente Luiz Inácio Lula da Silva afirmou, em entrevista à TV Cidade do Ceará nesta quarta-feira (1º) que o governo poderá punir responsáveis por aumentos abusivos nos combustíveis, cobrou dos governadores uma redução do ICMS e voltou a dizer que as medidas adotadas pela União para conter a alta do diesel não se comparam às ações da gestão de Jair Bolsonaro. Segundo Lula, a pressão sobre os preços decorre da guerra no Oriente Médio e do impacto do conflito sobre o mercado internacional de energia.

A declaração foi dada ao ser questionado sobre a alta da gasolina e do diesel, a redução de impostos anunciada pelo governo federal e a possibilidade de reverter privatizações no setor. Na resposta, Lula rejeitou a comparação com Bolsonaro e disse que a situação atual é “totalmente diferente” por causa da guerra envolvendo Estados Unidos, Israel e Irã.

O presidente afirmou que o bloqueio do Estreito de Ormuz afetou o diesel e disse que o Brasil importa 30% do combustível. Também declarou que o governo federal reduziu tributos equivalentes a 32 centavos no preço do diesel para evitar novo aumento ao consumidor.

Lula cobra governadores e diz que acordo sobre ICMS está avançado

Ao detalhar a reação do Planalto, Lula disse que o governo também negocia com os ",2026-04-01 11:29:22-03:00,https://revistaforum.com.br/politica/lula-prisao-alta-abusiva-combustiveis-corte-icms/,revista_forum
Tarcísio na mira do MPE: uso do monotrilho como “estúdio de propaganda” é alvo de ação,Rui Falcão aciona MPE contra Tarcísio de Freitas por suposto uso eleitoral da Linha 17-Ouro do monotrilho antes da abertura. Entenda a denúncia e o contexto.,"00:00 A+ A-

Ler o resumo da notícia Deputado Rui Falcão (PT-SP) acionou a Procuradoria Regional Eleitoral contra o gobernador Tarcísio de Freitas, acusando-o de usar a Linha 17-Ouro para propaganda eleitoral antecipada.

O vídeo foi gravado na manhã de 31 de março de 2026, horas antes da abertura oficial ao público (16h), dentro de estações e trens ainda fechados aos cidadãos.

A representação baseia-se no artigo 73 da Lei das Eleições, que proíbe o uso de bens públicos em benefício de candidaturas, e também cita possível uso não identificado de inteligência artificial no material.

A Linha 17-Ouro recebeu R$ 27 bilhões em investimentos do Novo PAC e R$ 5,6 bilhões via BNDES, recursos federais que Tarcísio teria omitido ao atribuir a obra exclusivamente à sua gestão.

O deputado federal Rui Falcão (PT-SP) apresentou uma representação à Procuradoria Regional Eleitoral do Estado de São Paulo contra o governador Tarcísio de Freitas, acusando-o de utilizar a máquina pública para promoção político-eleitoral. O estopim da denúncia é um vídeo gravado pelo chefe do Executivo paulista no interior da Linha 17-Ouro do monotrilho na manhã de 31 de março de 2026, horas antes da inauguração oficial do ramal, que só seria aberto à população a partir das 16h daquele dia.

De acordo com a peça protocolada, Tarcísio — que já se apresenta como pré-candidato à reeleição em 2026 — valeu-se de sua condição funcional para ter acesso exclusivo e privilegiado aos trens e estações. O parlamentar argumenta que o governador converteu um equipamento público, ainda inacessível aos demais cidadãos e pré-candidatos, em um cenário privado para alavancar sua imagem e fazer comparações com gestões anteriores.

O conteúdo, publicado no perfil pessoal do governador no Instagram, ultrapassa a comunicação institucional e, segundo a denúncia, configura conduta vedada e propaganda eleitoral antecipada.

Ver essa foto no Instagram

O “estúdio” proibido e a suspeita de uso de IA

O principal eixo da represe",2026-04-01 10:46:27-03:00,https://revistaforum.com.br/politica/tarcisio-mpe-video-linha-17-ouro/,revista_forum
Lula x Flávio Bolsonaro: pesquisa Atlas mostra cenário da eleição presidencial em São Paulo,A pesquisa AtlasIntel/Estadão divulgada nesta quarta-feira (1º) revela o cenário das eleições presidenciais no maior colégio eleitoral do país. No estado de,"Confira o cenário da disputa entre Lula e Flávio Bolsonaro no estado de São Paulo

00:00 A+ A-

Ler o resumo da notícia Pesquisa AtlasIntel/Estadão divulgação em 1º mostra cenário da eleição presidencial em São Paulo; FLávio Bolsonaro (PL) lidera sobre Lula (PT) em todos os cenários.

No primeiro turno, Flávio tem 43,4% e Lula 42,5%, diferença de 0,9 ponto dentro da margem de erro de ±2 pontos percentuais, configurando empate técnico.

Nas simulações de segundo turno, Bolsonaro venceria Lula por 49% a 44% em votos totais, ou 53% a 47% em votos válidos.

A rejeição ao presidente Lula é de 53,5% (não votariam nele de jeito nenhum) e 56% desaprovam seu governo.

A pesquisa AtlasIntel/Estadão divulgada nesta quarta-feira (1º) revela o cenário das eleições presidenciais no maior colégio eleitoral do país. No estado de São Paulo, Flávio Bolsonaro (PL) aparece à frente de Lula (PT) em todos os cenários testados para a eleição presidencial de 2026.

Leia também: Haddad vence Tarcísio na capital paulista, diz pesquisa Atlas/Estadão

No primeiro turno, a diferença está dentro da margem de erro, em empate técnico. Flávio registra 43,4% das intenções de voto contra 42,5% de Lula. A diferença de apenas 0,9 ponto percentual está dentro da margem de erro de ±2 pp, o que tecnicamente configura empate.

No segundo cenário testado pela pesquisa, que substitui Ronaldo Caiado por Eduardo Leite (PSD) no campo da direita moderada, Flávio Bolsonaro mantém a liderança com 43,3%, enquanto Lula recua ligeiramente para 40,9%. A entrada de Leite, que marca 4,4%, parece corroer mais o eleitorado petista do que o bolsonarista, ampliando a vantagem do candidato do PL.

Nas simulações de segundo turno, Flávio venceria Lula por 49% a 44%, com 7,1% de brancos, nulos e indecisos.

VEJA: Haddad, Tebet, Marina: pesquisa Atlas mostra cenário para o Senado em SP

Em votos válidos, isso se traduziria em 53% a 47%. A margem é menor do que a vitória de Jair Bolsonaro contra Lula no estado em 2022, quando o ",2026-04-01 09:42:49-03:00,https://revistaforum.com.br/politica/lula-flavio-bolsonaro-pesquisa-atlas-sp/,revista_forum
"Lagoinha: Viana intermediou reunião de sócio de Valadão na Secom de Bolsonaro, que recebeu R$ 3 milhões de Zettel",Acusado de blindar a Igreja Lagoinha na CPMI do INSS e convocado a explicar o envio milionário de emendas à Ong da instituição do clã Valadão ao Supremo,"Presidente da Fundação Oásis, que aplicou R$ 700 mil em emenda de Carlos Viana no mercado financeiro, Flávio Felix foi recebido no governo Bolsonaro como representante da TV de André Valadão e ""pastor/gestor Administrativo Financeiro Grupo Igreja Batista Da Lagoinha""

LAGOINHA: VIANA INTERMEDIOU REUNIãO DE SóCIO DE VALADãO NA SECOM DE BOLSONARO, QUE RECEBEU R$ 3 MILHõES DE ZETTEL

LAGOINHA: VIANA INTERMEDIOU REUNIãO DE SóCIO DE VALADãO NA SECOM DE BOLSONARO, QUE RECEBEU R$ 3 MILHõES DE ZETTEL

00:00 A+ A-

Ler o resumo da notícia Senador Carlos Viana (Podemos-MG) intermediou reunião entre sócio de André Valadão e a Secom em novembro de 2021.

Após o encontro, a Rede Super (emissora de Valadão) recebeu R$ 756 mil em publicidade do governo Bolsonaro.

O pastor Fabiano Zettel, dono da Lagoinha Belvedere, doou R$ 3 milhões à campanha de Bolsonaro em 2022.

Carlos Viana enviou R$ 3,7 milhões em emendas à Fundação Oásis, ONG da Igreja Lagoinha która atendeu apenas 5 idosos.

Acusado de blindar a Igreja Lagoinha na CPMI do INSS e convocado a explicar o envio milionário de emendas à Ong da instituição do clã Valadão ao Supremo Tribunal Federal (STF), o senador Carlos Viana (Podemos-MG) intermediou uma reunião entre o pastor Flávio Henrique Felix Correa, sócio de André Valadão em ao menos dois empreendimentos, com representantes da Secretaria Especial de Comunicação Social (Secom) em 3 de novembro de 2021.

SAIBA MAIS:

Carlos Viana enviou R$ 3,7 milhões à Ong de Valadão que atendeu 5 idosos em Capim Branco, diz nova denúncia no STF

Emenda de Carlos Viana à ONG da Igreja Lagoinha, de André Valadão, foi aplicada no mercado financeiro, diz CGU

CPMI do INSS: deputados pedem afastamento de Carlos Viana por ligações com Banco Master, Lagoinha, André Valadão e Nikolas Ferreira

Presidente da Fundação Oásis, braço social da Igreja Lagoinha que recebeu mais de R$ 3,7 milhões em emendas do senador mineiro, Flávio Félix, como é conhecido, compareceu à reunião acompanhado de Viana e ",2026-04-01 13:46:57-03:00,https://revistaforum.com.br/politica/lagoinha-viana-socio-valadao-secom-bolsonaro-zettel/,revista_forum
Três pesquisas muito boas para Lula e ruins para os Bolsonaros,Vamos começar por São Paulo.,"A Atlas acaba de soltar o resultado de três pesquisas boas para Lula e o PT e ruins para os Bolsonaros; São Paulo, Minas e Santa Catarina. Isso mesmo, Santa Catarina

TRêS PESQUISAS MUITO BOAS PARA LULA E RUINS PARA OS BOLSONAROS

TRêS PESQUISAS MUITO BOAS PARA LULA E RUINS PARA OS BOLSONAROS

00:00 A+ A-

Ler o resumo da notícia Pesquisa AtlasIntel em SP mostra Bolsonaro (Flávio) com 43,4% e Lula com 42,5% no 1º turno; no 2º turno, Bolsonaro venceria por 49% a 44%.

Em Minas Gerais, Lula lidera com 43,7% contra 40,4% de Bolsonaro no 1º turno; no 2º turno, cenário de empate técnico (47,3% a 46,9%).

Para o Senado em Santa Catarina, Carlos Bolsonaro aparece em 3º lugar com 18,3%, atrás de Carol de Toni (30,7%) e Esperidião Amin (20,1%).

O resultado em SC indicaria que Carlos Bolsonaro não seria eleito caso o cenário se confirme em outubro.

Vamos começar por São Paulo.

O filho de Bolsonaro aparece na frente de Lula por uma margem mínima no 1º turno. Flávio tem 43,4% das intenções de voto contra 42,5% de Lula. 0,9 ponto percentual de diferença quando a margem de erro é de 2 pontos para cima e para baixo.

Nas simulações de segundo turno, Flávio venceria Lula por 49% a 44%, com 7,1% de brancos, nulos e indecisos.

Em votos válidos, isso seria um 53% a 47%. É menos do que os 55,5% a 44,5% de Bolso pai e Lula em 2022.

Se São Paulo entregar um resultado assim, Flávio não tem como tirar a diferença que Lula terá no Nordeste.

Principalmente porque em Minas há também um empate técnico.

No principal cenário de 1º turno, Lula soma 43,7% contra 40,4% do filho do seu Jair. Romeu Zema (Novo) tem só 4,7%, seguido de Renan Santos (Missão), com 3,3%. Aliás, o tal do Renan Santos parece ter se consolidado como uma via mais radical do que Flávio e se tornou o candidato dos red pills. Em São Paulo ele aparece com 5%.

No 2º turno, Lula marca 47,3% contra 46,9% de Flávio Bolsonaro.

Ou seja, temos um empate em Minas.

Mas a melhor notícia vem de Santa Catarina.

No principal cenári",2026-04-01 11:55:23-03:00,https://revistaforum.com.br/blogs/blog-do-rovai/tres-pesquisas-muito-boas-para-lula-e-ruins-para-os-bolsonaros/,revista_forum
Pesquisa identifica cela onde ditadura simulou suicído de Vladimir Herzog,Pesquisa da Universidade Federal de São Paulo (Unifesp) identificou a cela em que agentes da ditadura militar simularam o suicídio do jornalista Vladimir,"00:00 A+ A-

Ler o resumo da notícia Pesquisa da Unifesp identifica a cela no DOI-Codi de São Paulo onde agentes da ditadura simularam o suicídio de Vladimir Herzog em 25 de outubro de 1975.

A identificação foi possível através de laudos periciais, fotografias históricas e análises arquitetônicas que confirmaram correspondências estruturais no local.

A cela fica no primeiro andar do prédio dos fundos, atualmente局部 da 36ª Delegacia na Rua Tutóia, 921, mesma localização onde o tenente José Ferreira de Almeida morreu dois meses antes.

O estudo combinou arqueologia forense, pesquisa histórica e análise arquitetônica, permitindo confirmar a fraude após mais de 50 anos do assassinato do jornalista.

Pesquisa da Universidade Federal de São Paulo (Unifesp) identificou a cela em que agentes da ditadura militar simularam o suicídio do jornalista Vladimir Herzog. Ele foi torturado e assassinado em 25 de outubro de 1975, no DOI-Codi de São Paulo, órgão de repressão da ditadura militar subordinado ao Exército que funcionou entre 1969 e 1983.

Para Deborah Neves, doutora em história e pós-doutoranda na Unifesp, a identificação do local tem relevância histórica e jurídica.

“Localizar materialmente o espaço onde a ditadura encenou o falso suicídio de Vladimir Herzog permite demonstrar, com base em evidências científicas, a materialidade de fraudes cometidas por agentes do Estado.”

“Trata-se de reconhecer o lugar onde se construíram mentiras oficiais que marcaram a história brasileira e que só agora, 50 anos depois, foi possível revelar, graças à preservação garantida pelo tombamento e às pesquisas históricas, arqueológicas e arquitetônicas no espaço, feitas por universidades públicas”, afirmou.

Mais de 50 anos após seu assassinato, o local exato em que o suicídio foi forjado ainda era incerto. Com base em evidências documentais, periciais e arquitetônicas, os estudos indicaram a sala específica, dentro do prédio, onde o corpo de Vlado foi registrado em fotografia, pendurado p",2026-04-01 11:30:44-03:00,https://revistaforum.com.br/brasil/pesquisa-identifica-cela-onde-ditadura-simulou-suicido-de-vladimir-herzog/,revista_forum
Banco Master: como o bolsonarismo estendeu o tapete vermelho para o crime,"O caso Banco Master é um dos maiores escândalos financeiros da história recente do Brasil. Não se trata apenas da quebra de uma instituição privada, mas de um","Diante da dimensão do gigantesco rombo e do risco sistêmico criado, o País precisa saber quem estruturou o esquema, quem se beneficiou e quem falhou em impedir que ele acontecesse

00:00 A+ A-

Ler o resumo da notícia Banco Master foi liquidado em 2024 com rombo de R$ 40 bilhões, maior resgate da história do FGC para 1,6 milhão de investidores.

Investigações revelam doações de R$ 5 milhões do operador do banco a Bolsonaro e Tarcísio de Freitas na eleição de 2022.

Senator Ciro Nogueira propôs emenda para elevar cobertura do FGC de R$ 250 mil para R$ 1 milhão por CPF, beneficiando diretamente o Banco Master.

Ativos do banco saltaram de R$ 3,7 bilhões para R$ 82 bilhões sob gestão de Roberto Campos Neto no Banco Central.

O caso Banco Master é um dos maiores escândalos financeiros da história recente do Brasil. Não se trata apenas da quebra de uma instituição privada, mas de um esquema complexo que movimentou bilhões de reais, envolveu risco sistêmico para o sistema bancário e expôs graves falhas na supervisão regulatória – além de revelar conexões políticas que precisam ser investigadas com profundidade.

Os tentáculos do caso Master alcançaram figuras de primeira linha do bolsonarismo. O empresário Fabiano Zettel, cunhado e operador financeiro de Daniel Vorcaro, dono do banco e atualmente preso, fez doações milionárias na eleição de 2022 que escancaram os vínculos do esquema criminoso com a extrema-direita: R$ 3 milhões para a campanha de Jair Bolsonaro e outros R$ 2 milhões ao governador de São Paulo, Tarcísio de Freitas.

O deputado federal de extrema-direita Nikolas Ferreira (PL-MG) também aparece na mira das investigações. Acompanhado por influenciadores digitais e pastores, o parlamentar utilizou aeronave de Vorcaro para fazer campanha nas capitais do Nordeste durante o segundo turno das eleições presidenciais de 2022. O telefone do deputado estava cadastrado no celular do banqueiro, conforme mensagens apreendidas.

Outro nome de peso é o senador Ciro Nogueir",2026-04-01 14:09:17-03:00,https://revistaforum.com.br/debates/banco-master-como-o-bolsonarismo-estendeu-o-tapete-vermelho-para-o-crime/,revista_forum
"Lula, as dívidas e os juros",As tendências apresentadas pela maioria das pesquisas de opinião divulgadas nas últimas semanas apontam para uma aproximação das intenções de voto entre Lula,"Apesar dos indicadores positivos relativos a desemprego, a emprego e a PIB, por exemplo, o fato é que a população não parece estar nada satisfeita

00:00 A+ A-

Ler o resumo da notícia Pesquisas indicam empate técnico entre Lula e Bolsonaro para eleição de outubro; aprovação do governo Lula permanece baixa apesar de indicadores econômicos positivos.

Presidente atribui endividamento popular a consumo excessivo, mas especialistas apontam juros altos e expansão das apostas online como principais causas.

Taxa do cartão de crédito rotativo média reached 438% ao mês no terceiro mandato; BC é criticado por não regular spreads bancários.

Especialistas recomendam mudança na política econômica para reverter cenário de desaprovação às vésperas das eleições municipais.

As tendências apresentadas pela maioria das pesquisas de opinião divulgadas nas últimas semanas apontam para uma aproximação das intenções de voto entre Lula e Flávio Bolsonaro. Considerando a margem de erro dos levantamentos, o fato é que, se a eleição fosse hoje, haveria um empate técnico entre ambos. A polarização está na ordem do dia e na boca dos eleitores, sugerindo que o Brasil atravessará um período de campanha bastante acirrada, com algumas tintas que remetem ao pleito de quatro anos atrás.

O Presidente insiste em não reconhecer as indicações das pesquisas que também apuram a aprovação ou a desaprovação de seu governo. Mas também neste quesito os números são inquietantes. Apesar dos indicadores positivos relativos a desemprego, a emprego e a PIB, por exemplo, o fato é que a população não parece estar nada satisfeita com a sua situação. Boa parte dos empregos gerados são precários e informais, com remuneração bastante frágil e jornadas de trabalho extenuantes. O crescimento do PIB é pouco expressivo em quesitos como o consumo das famílias, retratando uma priorização dos recursos destinados ao agronegócio. A inflação de alimentos, energia e transporte crescem acima da média e comprometem ainda mais a ",2026-03-31 19:11:08-03:00,https://revistaforum.com.br/opiniao/lula-as-dividas-e-os-juros/,revista_forum
"Contra Lei da Misoginia, Flávio Bolsonaro cria PL inconstitucional para dar poder de juiz a PMs durante abordagem","Após confessar que é contra a Lei da Misoginia - e aliados confirmarem que ele só votou a favor para não perder votos das mulheres nas eleições presidenciais,","Após votar a favor da Lei da Misoginia para não perder votos de mulheres, Flávio Bolsonaro propõe PL inconstitucional dando poder de juiz a PMs durante abordagem. Policiais são autores por parte dos casos de violência contra as mulheres e protegem seus pares, como ocorreu recentemente em SP.

CONTRA LEI DA MISOGINIA, FLáVIO BOLSONARO CRIA PL INCONSTITUCIONAL PARA DAR PODER DE JUIZ A PMS DURANTE ABORDAGEM

CONTRA LEI DA MISOGINIA, FLáVIO BOLSONARO CRIA PL INCONSTITUCIONAL PARA DAR PODER DE JUIZ A PMS DURANTE ABORDAGEM

00:00 A+ A-

Ler o resumo da notícia Senador Flavio Bolsonaro (PL-RJ) apresentou projeto de lei que permite a policiais militares conceder medidas protetivas de urgência em casos de violência doméstica contra mulheres.

O PL, protocolado em 25 de março, é considerado inconstitucional por transferir ao PM competência exclusiva de juiz ou delegado.

Relatório de 2025 da Rede de Observatórios de Segurança registra ao menos 60 casos de violência contra mulheres cometidos por policiais em 9 estados.

Em fevereiro, uma soldado da PM foi morta em São Paulo com suspeita de feminicídio praticado por um tenente-coronel da corporação.

Após confessar que é contra a Lei da Misoginia – e aliados confirmarem que ele só votou a favor para não perder votos das mulheres nas eleições presidenciais, Flávio Bolsonaro (PL-RJ) apresentou um Projeto de Lei inconstitucional que dá poder de juiz aos policiais militares que atenderem casos de violência contra a mulher. No entanto, o filho “01” do clã Bolsonaro, historicamente ligado à machosfera redpill, ignora que boa parte dos casos de violência contra a mulher é praticada por PMs ou agentes de segurança.

Flávio, que tenta lacrar com vídeo de agressão a mulher nas redes, propõe no PL – protocolado no dia 25 de março, em meio à repercussão da Lei da Misoginia – “autorizar a autoridade policial a conceder, em caráter imediato, medidas protetivas de urgência em casos de violência doméstica e familiar contra a mulher, e dispõe s",2026-04-01 07:31:21-03:00,https://revistaforum.com.br/politica/contra-lei-da-misoginia-flavio-bolsonaro-cria-pl-inconstitucional-para-dar-poder-de-juiz-a-pms-durante-abordagem/,revista_forum
